id,catalog_number,sprocket_diameters
394548,80B13F-1B,Outside Diameter:4.660 in|Pitch Diameter:4.179 in|Caliper Diameter:3.523 in
394642,40B24F-1B,Outside Diameter:4.100 in|Pitch Diameter:3.831 in|Caliper Diameter:3.518 in
394654,40B22FP,Outside Diameter:3.780 in|Pitch Diameter:3.513 in|Caliper Diameter:3.201 in
394662,40B54FL,Outside Diameter:8.880 in|Pitch Diameter:8.599 in|Caliper Diameter:8.286 in
394666,35B23FL,Outside Diameter:2.950 in|Pitch Diameter:2.754 in|Caliper Diameter:2.548 in
394670,35B24FJ,Outside Diameter:3.070 in|Pitch Diameter:2.873 in|Caliper Diameter:2.673 in
394682,180A13,Outside Diameter:10.480 in|Pitch Diameter:9.402 in|Caliper Diameter:7.927 in
394631,40B21F-1B,Outside Diameter:3.620 in|Pitch Diameter:3.355 in|Caliper Diameter:3.033 in
394650,80B14F-1G,Outside Diameter:4.980 in|Pitch Diameter:4.494 in|Caliper Diameter:3.869 in
396085,2050B22,No. Teeth:22 |Outside Diameter:4.720 in|Pitch Diameter:4.437 in|Caliper Diameter:4.037 in
396069,160A54,Outside Diameter:35.540 in|Pitch Diameter:34.396 in|Caliper Diameter:33.271 in
396081,200A24,Outside Diameter:20.490 in|Pitch Diameter:19.152 in|Caliper Diameter:17.590 in
396089,2050B18,No. Teeth:18 |Outside Diameter:3.920 in|Pitch Diameter:3.655 in|Caliper Diameter:3.255 in
396111,100B36,Outside Diameter:15.040 in|Pitch Diameter:14.343 in|Caliper Diameter:13.593 in
396107,2042B21,Outside Diameter:7.240 in|Pitch Diameter:6.710 in|Caliper Diameter:6.066 in
396123,2052B9,Outside Diameter:4.180 in|Pitch Diameter:3.655 in|Caliper DIameter:2.850 in
396115,2042B9,Outside Diameter:3.350 in|Pitch Diameter:2.924 in|Caliper Diameter:2.255 in
396131,2052B18,Outside Diameter:7.840 in|Pitch Diameter:7.198 in|Caliper DIameter:6.448 in
396094,2052B14,Outside Diameter:6.230 in|Pitch Diameter:5.617 in|Caliper DIameter:4.867 in
396151,60B45F-1H,Outside Diameter:11.180 in|Pitch Diameter:10.752 in|Caliper Diameter:10.276 in
396135,2052B15,Outside Diameter:6.630 in|Pitch Diameter:6.012 in|Caliper DIameter:5.229 in
396147,2052B24,Outside Diameter:10.250 in|Pitch Diameter:9.577 in|Caliper DIameter:8.827 in
396196,2082A25,Outside Diameter:17.030 in|Pitch Diameter:15.958 in|Caliper Diameter:14.801 in
396139,2080A20,Outside Diameter:6.910 in|Pitch Diameter:6.472 in|Caliper Diameter:5.845 in
396155,2080A28,Outside Diameter:9.480 in|Pitch Diameter:8.988 in|Caliper Diameter:8.363 in
396163,2062A18,Outside Diameter:9.410 in|Pitch Diameter:8.638 in|Caliper Diameter:7.763 in
396200,2082A17,Outside Diameter:11.900 in|Pitch Diameter:10.885 in|Caliper Diameter:9.713 in
396159,2080A23,Outside Diameter:7.870 in|Pitch Diameter:7.413 in|Caliper Diameter:6.770 in
396208,2040B12,Outside Diameter:2.170 in|Pitch Diameter:2.000 in|Caliper Diameter:1.688 in
396233,2082B16,Outside Diameter:11.260 in|Pitch Diameter:10.252 in|Caliper Diameter:9.127 in
394674,60B54F-1F,Outside Diameter:13.330 in|Pitch Diameter:12.889 in|Caliper Diameter:12.430 in
396262,80B19F-1J,Outside Diameter:6.590 in|Pitch Diameter:6.076 in|Caliper Diameter:5.430 in
396291,2060A20,Outside Diameter:5.190 in|Pitch Diameter:4.854 in|Caliper Diameter:4.385 in
396303,2060B23,Outside Diameter:5.900 in|Pitch Diameter:5.560 in|Caliper Diameter:5.077 in
396299,2060B28,Outside Diameter:7.110 in|Pitch Diameter:6.741 in|Caliper Diameter:6.272 in
396319,41B14FJ,Outside Diameter:2.490 in|Pitch Diameter:2.247 in|Caliper Diameter:1.941 in
396307,2080B19,Outside Diameter:6.580 in|Pitch Diameter:6.160 in|Caliper Diameter:5.513 in
396311,2080B15,Outside Diameter:5.290 in|Pitch Diameter:4.917 in|Caliper Diameter:4.265 in
396323,50B19F-1B,Outside Diameter:4.120 in|Pitch Sprocket Diameter:3.798 in|Caliper Diameter:3.384 in
396315,2082B11,Outside Diameter:8.010 in|Pitch Diameter:7.099 in|Caliper Diameter:5.902 in
396335,2062B26,Outside Diameter:13.250 in|Pitch Diameter:12.444 in|Caliper Diameter:11.569 in
396347,80B19F-1D,Outside Diameter:6.590 in|Pitch Diameter:6.076 in|Caliper Diameter:5.430 in
394707,35B26FJ,Outside Diameter:3.310 in|Pitch Diameter:3.111 in|Caliper Diameter:2.911 in
394715,60B32F-1L,Outside Diameter:8.070 in|Pitch Diameter:7.652 in|Caliper Diameter:7.183 in
394703,35B26F-1C,Outside Diameter:3.310 in|Pitch Diameter:3.111 in|Caliper Diameter:2.911 in
394719,60B21F-1D,Outside Diameter:5.430 in|Pitch Diameter:5.033 in|Caliper Diameter:4.549 in
394691,35B28F-1C,Outside Diameter:3.550 in|Pitch Diameter:3.349 in|Caliper Diameter:3.149 in
394731,35B14FJ,Outside Diameter:1.870 in|Pitch Diameter:1.685 in|Caliper Diameter:1.485 in
394753,35B17FJ,Outside Diameter:2.230 in|Pitch Diameter:2.041 in|Caliper Diameter:1.832 in
394699,100B27,Outside Diameter:11.440 in|Pitch Diameter:10.768 in|Caliper Diameter:9.999 in
394744,35B20FL,Outside Diameter:2.590 in|Pitch Diameter:2.397 in|Caliper Diameter:2.197 in
394771,40B54FP,Outside Diameter:8.880 in|Pitch Diameter:8.599 in|Caliper Diameter:8.286 in
394748,80B20F-1D,Outside Diameter:6.910 in|Pitch Diameter:6.392 in|Caliper Diameter:5.767 in
394788,2050A30,No. Teeth:30 |Outside Diameter:6.320 in|Pitch Diameter:6.012 in|Caliper Diameter:5.612 in
394761,80B28F-1R,Outside Diameter:9.480 in|Pitch Diameter:8.931 in|Caliper Diameter:8.306 in
394776,35B42FJ,Outside Diameter:5.230 in|Pitch Diameter:5.018 in|Caliper Diameter:4.818 in
394800,35B54FL,Outside Diameter:6.660 in|Pitch Diameter:6.449 in|Caliper Diameter:6.249 in
394792,40B10FL,Outside Diameter:1.840 in|Pitch Diameter:1.618 in|Caliper Diameter:1.305 in
394727,80B14F-1B,Outside Diameter:4.980 in|Pitch Diameter:4.494 in|Caliper Diameter:3.869 in
394814,35B32FL,Outside Diameter:4.030 in|Pitch Diameter:3.826 in|Caliper Diameter:3.626 in
394767,35B48FJ,Outside Diameter:5.950 in|Pitch Diameter:5.734 in|Caliper Diameter:5.534 in
394796,40B10FJ,Outside Diameter:1.840 in|Pitch Diameter:1.618 in|Caliper Diameter:1.305 in
394823,60B14F-1C,Outside Diameter:3.740 in|Pitch Diameter:3.371 in|Caliper Diameter:2.902 in
394836,35B40F-1D,Outside Diameter:4.990 in|Pitch Diameter:4.780 in|Caliper Diameter:4.580 in
394846,35B40FL,Outside Diameter:4.990 in|Pitch Diameter:4.780 in|Caliper Diameter:4.580 in
394859,200C28,Outside Diameter:23.690 in|Pitch Diameter:22.330 in|Caliper Diameter:20.768 in
394855,35B36FP,Outside Diameter:4.510 in|Pitch Diameter:4.303 in|Caliper Diameter:4.103 in
394863,50B14FJ,Outside Diameter:3.110 in|Pitch Sprocket Diameter:2.809 in|Caliper Diameter:2.409 in
394875,180B15,Outside Diameter:11.930 in|Pitch Diameter:10.822 in|Caliper Diameter:9.357 in
394883,50B13FL,Outside Diameter:2.910 in|Pitch Sprocket Diameter:2.612 in|Caliper Diameter:2.193 in
394871,60B28F-1F,Outside Diameter:7.110 in|Pitch Diameter:6.698 in|Caliper Diameter:6.229 in
396384,50B13FP,Outside Diameter:2.910 in|Pitch Sprocket Diameter:2.612 in|Caliper Diameter:2.193 in
394867,50B15FL,Outside Diameter:3.320 in|Pitch Sprocket Diameter:3.006 in|Caliper Diameter:2.590 in
394809,35B60F-1B,Outside Diameter:7.380 in|Pitch Diameter:7.165 in|Caliper Diameter:6.965 in
396442,60B20F-1J,Outside Diameter:5.190 in|Pitch Diameter:4.794 in|Caliper Diameter:4.325 in
396454,40B35F-1G,Outside Diameter:5.860 in|Pitch Diameter:5.578 in|Caliper Diameter:5.260 in
396471,2050A22,No. Teeth:22 |Outside Diameter:4.720 in|Pitch Diameter:4.437 in|Caliper Diameter:4.037 in
396475,35B11FJ,Outside Diameter:1.500 in|Pitch Diameter:1.331 in|Caliper Diameter:1.117 in
396507,2060A26,Outside Diameter:6.630 in|Pitch Diameter:6.268 in|Caliper Diameter:5.799 in
396515,2082A23,Outside Diameter:15.750 in|Pitch Diameter:14.688 in|Caliper Diameter:13.528 in
396487,35B45FP,Outside Diameter:5.590 in|Pitch Diameter:5.376 in|Caliper Diameter:5.173 in
396523,2052A17,Outside Diameter:7.440 in|Pitch Diameter:6.803 in|Caliper DIameter:6.024 in
396463,2042A21,Outside Diameter:7.240 in|Pitch Diameter:6.710 in|Caliper Diameter:6.066 in
396503,60B40F-1F,Outside Diameter:9.980 in|Pitch Diameter:9.560 in|Caliper Diameter:9.091 in
396499,40B35FJ,Outside Diameter:5.860 in|Pitch Diameter:5.578 in|Caliper Diameter:5.260 in
396511,2052A13,Outside Diameter:5.820 in|Pitch Diameter:5.223 in|Caliper DIameter:4.435 in
