id,catalog_number,specifications
824155,PL019X047FL,d - Shaft O.D.:0.748 in|t1 - Shaft Dia. Tolerance:-0.0013 in +0 |D - Hub Counter I.D.:1.850 in|t2 - Hub Counter ID Tolerance:+0.0015 in -0 |l:0.748 in|L:1.075 in|Lt:1.311 in|Transmissible Torque:201 ft·lb|Transmissible Thrust:6452 lb|P - Contact Pressure - Shaft:40321 psi|P' - Contact Pressure - Hub Bore:13779 psi|Weight:0.600 lb
824111,PL4AE,d - Shaft O.D.:4.000 in|t1 - Shaft Dia. Tolerance:-0.0021 in +0 |D - Hub Counter I.D.:5.709 in|t2 - Hub Counter ID Tolerance:+0.0025 in -0 |l:1.339 in|L2:1.339 in|L:1.732 in|Lt:1.969 in|T1:0.236 in|T2:0.157 in|D1:6.102 in|Transmissible Torque:7691 ft·lb|Transmissible Thrust:45980 lb|P - Contact Pressure - Shaft:30986 psi|P' - Contact Pressure - Hub Bore:17910 psi|Weight:6.700 lb
824199,PL035X060AD,d - Shaft O.D.:1.378 in|t1 - Shaft Dia. Tolerance:-0.0015 in +0 |D - Hub Counter I.D.:2.362 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |l:1.772 in|L:1.969 in|Lt:2.205 in|Transmissible Torque:1011 ft·lb|Transmissible Thrust:18209 lb|P - Contact Pressure - Shaft:24947 psi|P' - Contact Pressure - Hub Bore:14649 psi|Weight:1.500 lb
824179,PL100X145FL,d - Shaft O.D.:3.937 in|t1 - Shaft Dia. Tolerance:-0.0021 in +0 |D - Hub Counter I.D.:5.709 in|t2 - Hub Counter ID Tolerance:+0.0025 in -0 |l:1.339 in|L:1.969 in|Lt:2.362 in|Transmissible Torque:9321 ft·lb|Transmissible Thrust:56874 lb|P - Contact Pressure - Shaft:38581 psi|P' - Contact Pressure - Hub Bore:21901 psi|Weight:6.700 lb
824212,80A44,Stock Bore Diameter:1.250 in|Style:A |No. Teeth:44 |Outside Diameter:14.580 in|Pitch Diameter:14.018 in|Caliper Diameter:13.393 in|Weight:24.300 lb|Tooth Nominal Width:0.575 in|Hardened Teeth :Yes 
824220,41B17F-1,Hub Diameter:2.234 in|LTB:1.000 in|Style:B |No. Teeth:17 |Finished Bore Diameter:1.000 in|Max. Bore:1.000 in|Weight:1.000 lb|Tooth Nominal Width:0.227 in|Hardened Teeth :Yes 
824208,60A47,Stock Bore Diameter:0.938 in|Style:A |No. Teeth:47 |Outside Diameter:11.650 in|Pitch Diameter:11.229 in|Caliper Diameter:10.754 in|Weight:12.320 lb|Tooth Nominal Width:0.459 in|Hardened Teeth :Yes 
824163,PL035X060FL,d - Shaft O.D.:1.378 in|t1 - Shaft Dia. Tolerance:-0.0015 in +0 |D - Hub Counter I.D.:2.362 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |l:0.807 in|L:1.217 in|Lt:1.453 in|Transmissible Torque:648 ft·lb|Transmissible Thrust:11307 lb|P - Contact Pressure - Shaft:37855 psi|P' - Contact Pressure - Hub Bore:17405 psi|Weight:0.900 lb
824195,PL080X120AE,d - Shaft O.D.:3.150 in|t1 - Shaft Dia. Tolerance:-0.0018 in +0 |D - Hub Counter I.D.:4.724 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |l:1.102 in|L:1.614 in|Lt:2.008 in|T1:0.177 in|T2:0.157 in|D1:5.118 in|Transmissible Torque:4846 ft·lb|Transmissible Thrust:36960 lb|P - Contact Pressure - Shaft:37710 psi|P' - Contact Pressure - Hub Bore:21031 psi|Weight:4.200 lb
824175,PL080X120FL,d - Shaft O.D.:3.150 in|t1 - Shaft Dia. Tolerance:-0.0018 in +0 |D - Hub Counter I.D.:4.724 in|t2 - Hub Counter ID Tolerance:+0.0021 in -0 |l:1.102 in|L:1.614 in|Lt:2.008 in|Transmissible Torque:4971 ft·lb|Transmissible Thrust:37766 lb|P - Contact Pressure - Shaft:38291 psi|P' - Contact Pressure - Hub Bore:21466 psi|Weight:4.100 lb
