id,catalog_number,chain_technical_data
395549,160A14,Pitch:2.000 in|Chain Size:160 
395590,240A16,Pitch:3.000 in|Chain Size:240 
395529,35B30FJ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
395598,T50B22,Pitch:0.625 in|Chain Size:50-3 
395602,140CTL60,Pitch:1.750 in|Chain Size:140 
395626,50B20F-1D,Pitch:0.625 in|Chain Size:50 
395586,2082A24,Size:C2082 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :1.125 in
395594,80B13F-1F,Pitch:1.000 in|Chain Size:80 
395582,180A60,Pitch:2.250 in|Chain Size:180 
395630,200A13,Pitch:2.500 in|Chain Size:200 
395643,180A35,Pitch:2.250 in|Chain Size:180 
395573,240A19,Pitch:3.000 in|Chain Size:240 
395659,100A42,Pitch:1.250 in|Chain Size:100 
395647,80B15F-1R,Pitch:1.000 in|Chain Size:80 
395622,100A60,Pitch:1.250 in|Chain Size:100 
395618,60B24SS,Pitch:0.750 in|Chain Size:60 
395668,200A26,Pitch:2.500 in|Chain Size:200 
395655,100A26,Pitch:1.250 in|Chain Size:100 
395677,60B33F-1L,Pitch:0.750 in|Chain Size:60 
395672,80B24F-2G,Pitch:1.000 in|Chain Size:80 
395685,100C60,Pitch:1.250 in|Chain Size:100 
395693,140B17,Pitch:1.750 in|Chain Size:140 
395701,40A46,Pitch:0.500 in|Chain Size:40 
395710,60BTL19,Pitch:0.750 in|Chain Size:60 
395689,120C45,Pitch:1.500 in|Chain Size:120 
395727,100C70,Pitch:1.250 in|Chain Size:100 
395697,41A32,Pitch:0.500 in|Chain Size:41 
395681,80B60F-2R,Pitch:1.000 in|Chain Size:80 
395664,2040B14,Size:A2040/C2040 |Pitch:1.000 in|Inside Width :0.312 in|Roller Diameter :0.313 in
395739,50A29,Pitch:0.625 in|Chain Size:50 
395706,160B22,Pitch:2.000 in|Chain Size:160 
395731,50A24,Pitch:0.625 in|Chain Size:50 
395718,40A70,Pitch:0.500 in|Chain Size:40 
395751,50B23F-1H,Pitch:0.625 in|Chain Size:50 
395763,120B19,Pitch:1.500 in|Chain Size:120 
395755,50A17,Pitch:0.625 in|Chain Size:50 
395799,40A19,Pitch:0.500 in|Chain Size:40 
395787,40A15,Pitch:0.500 in|Chain Size:40 
395795,200B24,Pitch:2.500 in|Chain Size:200 
395783,50B18SS,Pitch:0.625 in|Chain Size:50 
395811,35B11FH,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
395803,T80B21,Pitch:1.000 in|Chain Size:80-3 
395791,40A21,Pitch:0.500 in|Chain Size:40 
395759,50A16,Pitch:0.625 in|Chain Size:50 
395767,120B17,Pitch:1.500 in|Chain Size:120 
395829,180B14,Pitch:2.250 in|Chain Size:180 
395834,180B17,Pitch:2.250 in|Chain Size:180 
395864,200B17,Pitch:2.500 in|Chain Size:200 
395873,200B11,Pitch:2.500 in|Chain Size:200 
395856,50B32FP,Pitch:0.625 in|Chain Size:50 
395807,35B10FJ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
395868,180B24,Pitch:2.250 in|Chain Size:180 
395917,2042B28,Size:C2042 |Pitch:1.000 in|Inside Width :0.312 in|Roller Diameter :0.625 in
395877,80BTL23,Pitch:1.000 in|Chain Size:80 
395852,D120B24,Pitch:1.500 in|Chain Size:120-2 
395950,60B16F-1R,Pitch:0.750 in|Chain Size:60 
395926,60A12,Pitch:0.750 in|Chain Size:60 
395966,80A25,Pitch:1.000 in|Chain Size:80 
396000,80B36F-1J,Pitch:1.000 in|Chain Size:80 
396020,50A42,Pitch:0.625 in|Chain Size:50 
396004,60B21F-1H,Pitch:0.750 in|Chain Size:60 
395962,60B112,Pitch:0.750 in|Chain Size:60 
395905,60B51,Pitch:0.750 in|Chain Size:60 
396024,50A40,Pitch:0.625 in|Chain Size:50 
396053,50A84,Pitch:0.625 in|Chain Size:50 
395984,60B21F-1L,Pitch:0.750 in|Chain Size:60 
396008,100B26,Pitch:1.250 in|Chain Size:100 
396037,2050A25,Size:A2050/C2050 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.400 in
395996,60B18F-1F,Pitch:0.750 in|Chain Size:60 
396057,80A29,Pitch:1.000 in|Chain Size:80 
394492,40B20F-1B,Pitch:0.500 in|Chain Size:40 
394496,160A10,Pitch:2.000 in|Chain Size:160 
394486,40B19FJ,Pitch:0.500 in|Chain Size:40 
394476,180A17,Pitch:2.250 in|Chain Size:180 
395946,50B28F-1H,Pitch:0.625 in|Chain Size:50 
394501,35B28FL,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394505,40B19F-1C,Pitch:0.500 in|Chain Size:40 
394518,40B13F-1,Pitch:0.500 in|Chain Size:40 
394526,50B21F-1B,Pitch:0.625 in|Chain Size:50 
394522,50B45F-1L,Pitch:0.625 in|Chain Size:50 
394531,40B14FP,Pitch:0.500 in|Chain Size:40 
394535,40B12FP,Pitch:0.500 in|Chain Size:40 
394556,80B36F-1F,Pitch:1.000 in|Chain Size:80 
394572,35B11FF,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394585,50B40F-1R,Pitch:0.625 in|Chain Size:50 
394564,50A38,Pitch:0.625 in|Chain Size:50 
394514,40B35SS,Pitch:0.500 in|Chain Size:40 
394601,2062B14,Size:C2062 |Pitch:1.500 in|Inside Width :0.500 in|Roller Diameter :0.875 in
