main_image,catalog_number,specifications,chain_technical_data,sprocket_diameters,locking_bolts,id
,80B28F-1R,Hub Diameter:4.750 in|LTB:2.000 in|Style:B |No. Teeth:28 |Finished Bore Diameter:1.938 in|Max. Bore:3.250 in|Weight:15.300 lb|Tooth Nominal Width:0.575 in|Hardened Teeth :Yes ,Pitch:1.000 in|Chain Size:80 ,Outside Diameter:9.480 in|Pitch Diameter:8.931 in|Caliper Diameter:8.306 in,,394761
,35B42FJ,Hub Diameter:2.250 in|LTB:1.000 in|Style:B |No. Teeth:42 |Finished Bore Diameter:0.625 in|Max. Bore:1.500 in|Weight:1.680 lb|Tooth Nominal Width:0.168 in|Hardened Teeth:Y ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in,Outside Diameter:5.230 in|Pitch Diameter:5.018 in|Caliper Diameter:4.818 in,,394776
,35B54FL,Hub Diameter:2.250 in|LTB:1.000 in|Style:B |No. Teeth:54 |Finished Bore Diameter:0.750 in|Max. Bore:1.500 in|Weight:2.200 lb|Tooth Nominal Width:0.168 in|Hardened Teeth:Y ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in,Outside Diameter:6.660 in|Pitch Diameter:6.449 in|Caliper Diameter:6.249 in,,394800
,40B10FL,Hub Diameter:1.250 in|LTB:0.875 in|Style:B |No. Teeth:10 |Finished Bore Diameter:0.750 in|Max. Bore:0.750 in|Weight:0.240 lb|Tooth Nominal Width:0.284 in|Hardened Teeth :Yes ,Pitch:0.500 in|Chain Size:40 ,Outside Diameter:1.840 in|Pitch Diameter:1.618 in|Caliper Diameter:1.305 in,,394792
,80B14F-1B,Hub Diameter:3.250 in|LTB:1.500 in|Style:B |No. Teeth:14 |Finished Bore Diameter:1.125 in|Max. Bore:2.250 in|Weight:4.100 lb|Tooth Nominal Width:0.575 in|Hardened Teeth :Yes ,Pitch:1.000 in|Chain Size:80 ,Outside Diameter:4.980 in|Pitch Diameter:4.494 in|Caliper Diameter:3.869 in,,394727
,35A22,Stock Bore Diameter:0.500 in|Style:A |No. Teeth:22 |Outside Diameter:2.830 in|Pitch Diameter:2.635 in|Caliper Diameter:2.435 in|Weight:0.240 lb|Tooth Nom. Thickness:0.168 in|Hardened Teeth:Y ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in,,,394739
,35B32FL,Hub Diameter:2.000 in|LTB:0.875 in|Style:B |No. Teeth:32 |Finished Bore Diameter:0.750 in|Max. Bore:1.375 in|Weight:1.240 lb|Tooth Nominal Width:0.168 in|Hardened Teeth:Y ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in,Outside Diameter:4.030 in|Pitch Diameter:3.826 in|Caliper Diameter:3.626 in,,394814
,40A26,Stock Bore Diameter:0.625 in|Style:A |No. Teeth:26 |Outside Diameter:4.420 in|Pitch Diameter:4.148 in|Caliper Diameter:3.835 in|Weight:0.940 lb|Tooth Nominal Width:0.284 in|Hardened Teeth :Yes ,Pitch:0.500 in|Chain Size:40 ,,,394805
,25A28,,Pitch:0.250 in|Chain Size:25 |Inside Width :0.125 in|Roller Diameter :0.130 in,,,394819
,35B48FJ,Hub Diameter:2.250 in|LTB:1.000 in|Style:B |No. Teeth:48 |Finished Bore Diameter:0.625 in|Max. Bore:1.500 in|Weight:1.880 lb|Tooth Nominal Width:0.168 in|Hardened Teeth:Y ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in,Outside Diameter:5.950 in|Pitch Diameter:5.734 in|Caliper Diameter:5.534 in,,394767
,40B10FJ,Hub Diameter:1.250 in|LTB:0.875 in|Style:B |No. Teeth:10 |Finished Bore Diameter:0.625 in|Max. Bore:0.750 in|Weight:0.240 lb|Tooth Nominal Width:0.284 in|Hardened Teeth :Yes ,Pitch:0.500 in|Chain Size:40 ,Outside Diameter:1.840 in|Pitch Diameter:1.618 in|Caliper Diameter:1.305 in,,394796
,60B14F-1C,Hub Diameter:2.563 in|LTB:1.250 in|Style:B |No. Teeth:14 |Finished Bore Diameter:1.188 in|Max. Bore:1.750 in|Weight:1.600 lb|Tooth Nominal Width:0.459 in|Hardened Teeth :Yes ,Pitch:0.750 in|Chain Size:60 ,Outside Diameter:3.740 in|Pitch Diameter:3.371 in|Caliper Diameter:2.902 in,,394823
,35B40F-1D,Hub Diameter:2.250 in|LTB:1.000 in|Style:B |No. Teeth:40 |Finished Bore Diameter:1.250 in|Max. Bore:1.500 in|Weight:1.620 lb|Tooth Nominal Width:0.168 in|Hardened Teeth:Y ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in,Outside Diameter:4.990 in|Pitch Diameter:4.780 in|Caliper Diameter:4.580 in,,394836
,25A26,,Pitch:0.250 in|Chain Size:25 |Inside Width :0.125 in|Roller Diameter :0.130 in,,,394850
,35B40FL,Hub Diameter:2.250 in|LTB:1.000 in|Style:B |No. Teeth:40 |Finished Bore Diameter:0.750 in|Max. Bore:1.500 in|Weight:1.620 lb|Tooth Nominal Width:0.168 in|Hardened Teeth:Y ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in,Outside Diameter:4.990 in|Pitch Diameter:4.780 in|Caliper Diameter:4.580 in,,394846
,200C28,Stock Bore Diameter:1.500 in|Hub Diameter:8.500 in|LTB:4.500 in|Style:C |No. Teeth:28 |Max. Bore:5.750 in|Weight:195.000 lb|Tooth Nominal Width:1.389 in|Hardened Teeth:Yes ,Pitch:2.500 in|Chain Size:200 ,Outside Diameter:23.690 in|Pitch Diameter:22.330 in|Caliper Diameter:20.768 in,,394859
,35B36FP,Hub Diameter:2.250 in|LTB:0.875 in|Style:B |No. Teeth:36 |Finished Bore Diameter:0.875 in|Max. Bore:1.500 in|Weight:1.560 lb|Tooth Nominal Width:0.168 in|Hardened Teeth:Y ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in,Outside Diameter:4.510 in|Pitch Diameter:4.303 in|Caliper Diameter:4.103 in,,394855
,50B14FJ,Hub Diameter:2.125 in|LTB:1.000 in|Style:B |No. Teeth:14 |Finished Bore Diameter:0.625 in|Max. Bore:1.438 in|Weight:1.000 lb|Tooth Nominal Width:0.343 in|Hardened Teeth :Yes ,Pitch:0.625 in|Chain Size:50 ,Outside Diameter:3.110 in|Pitch Sprocket Diameter:2.809 in|Caliper Diameter:2.409 in,,394863
,25A23,,Pitch:0.250 in|Chain Size:25 |Inside Width :0.125 in|Roller Diameter :0.130 in,,,394840
,180B15,Stock Bore Diameter:1.500 in|Hub Diameter:7.000 in|LTB:3.125 in|Style:B |No. Teeth:15 |Max. Bore:5.250 in|Weight:48.000 lb|Tooth Nominal Width:1.301 in|Hardened Teeth:Yes ,Pitch:2.250 in|Chain Size:180 ,Outside Diameter:11.930 in|Pitch Diameter:10.822 in|Caliper Diameter:9.357 in,,394875
http://chains.ustsubaki.com/ImgMedium/triple strand.jpg,T60B15,Stock Bore Diameter:1.000 in|Hub Diameter:2.688 in|LTB:3.000 in|Style:B |No. Teeth:15 |Outside Diameter:3.980 in|Pitch Diameter:3.608 in|Caliper Diameter:3.119 in|Max. Bore:1.875 in|Weight:5.400 lb|Tooth Nominal Width:0.444 in|Hardened Teeth :Yes ,Pitch:0.750 in|Chain Size:60-3 ,,,396368
,50B13FL,Hub Diameter:1.875 in|LTB:1.000 in|Style:B |No. Teeth:13 |Finished Bore Diameter:0.750 in|Max. Bore:1.313 in|Weight:0.800 lb|Tooth Nominal Width:0.343 in|Hardened Teeth :Yes ,Pitch:0.625 in|Chain Size:50 ,Outside Diameter:2.910 in|Pitch Sprocket Diameter:2.612 in|Caliper Diameter:2.193 in,,394883
,60B28F-1F,Hub Diameter:4.000 in|LTB:1.250 in|Style:B |No. Teeth:28 |Finished Bore Diameter:1.375 in|Max. Bore:2.750 in|Weight:6.400 lb|Tooth Nominal Width:0.459 in|Hardened Teeth :Yes ,Pitch:0.750 in|Chain Size:60 ,Outside Diameter:7.110 in|Pitch Diameter:6.698 in|Caliper Diameter:6.229 in,,394871
,50B13FP,Hub Diameter:1.875 in|LTB:1.000 in|Style:B |No. Teeth:13 |Finished Bore Diameter:0.875 in|Max. Bore:1.313 in|Weight:0.800 lb|Tooth Nominal Width:0.343 in|Hardened Teeth :Yes ,Pitch:0.625 in|Chain Size:50 ,Outside Diameter:2.910 in|Pitch Sprocket Diameter:2.612 in|Caliper Diameter:2.193 in,,396384
,50B15FL,Hub Diameter:2.375 in|LTB:1.000 in|Style:B |No. Teeth:15 |Finished Bore Diameter:0.750 in|Max. Bore:1.500 in|Weight:1.200 lb|Tooth Nominal Width:0.343 in|Hardened Teeth :Yes ,Pitch:0.625 in|Chain Size:50 ,Outside Diameter:3.320 in|Pitch Sprocket Diameter:3.006 in|Caliper Diameter:2.590 in,,394867
,35B60F-1B,Hub Diameter:2.250 in|LTB:1.000 in|Style:B |No. Teeth:60 |Finished Bore Diameter:1.125 in|Max. Bore:1.500 in|Weight:2.480 lb|Tooth Nominal Width:0.168 in|Hardened Teeth:Y ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in,Outside Diameter:7.380 in|Pitch Diameter:7.165 in|Caliper Diameter:6.965 in,,394809
,60B30SS,Stock Bore Diameter:0.750 in|Hub Diameter:4.000 in|LTB:1.250 in|Style:B |No. Teeth:30 |Outside Diameter:7.590 in|Pitch Diameter:7.175 in|Caliper Diameter:6.706 in|Max. Bore:2.750 in|Weight:7.000 lb|Tooth Nominal Width:0.459 in,Pitch:0.750 in|Chain Size:60 ,,,396376
http://chains.ustsubaki.com/ImgMedium/triple strand.jpg,T50B36,Stock Bore Diameter:1.188 in|Hub Diameter:4.000 in|LTB:2.750 in|Style:B |No. Teeth:36 |Outside Diameter:7.520 in|Pitch Diameter:7.171 in|Caliper Diameter:6.771 in|Max. Bore:2.750 in|Weight:20.600 lb|Tooth Nominal Width:0.332 in|Hardened Teeth :Yes ,Pitch:0.625 in|Chain Size:50-3 ,,,396372
http://chains.ustsubaki.com/ImgMedium/triple strand.jpg,T50B18,Stock Bore Diameter:0.750 in|Hub Diameter:2.938 in|LTB:2.500 in|Style:B |No. Teeth:18 |Outside Diameter:3.920 in|Pitch Diameter:3.599 in|Caliper Diameter:3.199 in|Max. Bore:1.688 in|Weight:5.100 lb|Tooth Nominal Width:0.332 in|Hardened Teeth :Yes ,Pitch:0.625 in|Chain Size:50-3 ,,,396394
,60B20F-1J,Hub Diameter:3.875 in|LTB:1.250 in|Style:B |No. Teeth:20 |Finished Bore Diameter:1.625 in|Max. Bore:2.625 in|Weight:3.900 lb|Tooth Nominal Width:0.459 in|Hardened Teeth :Yes ,Pitch:0.750 in|Chain Size:60 ,Outside Diameter:5.190 in|Pitch Diameter:4.794 in|Caliper Diameter:4.325 in,,396442
,40B35F-1G,Hub Diameter:3.250 in|LTB:1.000 in|Style:B |No. Teeth:35 |Finished Bore Diameter:1.438 in|Max. Bore:2.250 in|Weight:3.200 lb|Tooth Nominal Width:0.284 in|Hardened Teeth :Yes ,Pitch:0.500 in|Chain Size:40 ,Outside Diameter:5.860 in|Pitch Diameter:5.578 in|Caliper Diameter:5.260 in,,396454
,D60B21,Stock Bore Diameter:1.000 in|Hub Diameter:4.125 in|LTB:2.125 in|Style:B |No. Teeth:21 |Outside Diameter:5.430 in|Pitch Diameter:5.033 in|Caliper Diameter:4.549 in|Max. Bore:2.750 in|Weight:8.820 lb|Tooth Nominal Width:0.444 in|Hardened Teeth :Yes ,Pitch:0.750 in|Chain Size:60-2 ,,,396410
,D60B26,Stock Bore Diameter:1.000 in|Hub Diameter:4.250 in|LTB:2.125 in|Style:B |No. Teeth:26 |Outside Diameter:6.630 in|Pitch Diameter:6.222 in|Caliper Diameter:5.753 in|Max. Bore:2.750 in|Weight:12.700 lb|Tooth Nominal Width:0.444 in|Hardened Teeth :Yes ,Pitch:0.750 in|Chain Size:60-2 ,,,396450
,D50B40,Stock Bore Diameter:1.188 in|Hub Diameter:4.000 in|LTB:2.125 in|Style:B |No. Teeth:40 |Outside Diameter:8.320 in|Pitch Diameter:7.966 in|Caliper Diameter:7.566 in|Max. Bore:2.750 in|Weight:16.540 lb|Tooth Nominal Width:0.332 in|Hardened Teeth :Yes ,Pitch:0.625 in|Chain Size:50-2 ,,,396426
,2050A22,Plain Bore:0.750 in|Weight:1.300 lb|Type:A |Tooth Nominal Width:0.343 in|Hardened Teeth:Yes ,Size:A2050/C2050 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.400 in,No. Teeth:22 |Outside Diameter:4.720 in|Pitch Diameter:4.437 in|Caliper Diameter:4.037 in,,396471
,D60B14,Stock Bore Diameter:1.000 in|Hub Diameter:2.500 in|LTB:2.125 in|Style:B |No. Teeth:14 |Outside Diameter:3.740 in|Pitch Diameter:3.371 in|Caliper Diameter:2.902 in|Max. Bore:1.750 in|Weight:3.240 lb|Tooth Nominal Width:0.444 in|Hardened Teeth :Yes ,Pitch:0.750 in|Chain Size:60-2 ,,,396402
http://chains.ustsubaki.com/ImgMedium/Double-Single-Spkt.jpg,DS80A18,Pitch:1.000 in|No. Teeth:18 |Outside Diameter:6.270 in|Plain Bore:1.000 in|Max. Bore:3.125 in|LTB:2.188 in|C:1.625 in|D:4.641 in|Weight:12.100 lb|Tooth Nominal Width:0.575 in|Hardened Teeth:Yes ,,,,396479
http://chains.ustsubaki.com/ImgMedium/QD Sprocket.jpg,60SH16,Hub Diameter:2.688 in|LTB:0.813 in|Style:B |No. Teeth:16 |Outside Diameter:4.220 in|Pitch Diameter:3.844 in|Caliper Diameter:3.375 in|Max. Bore:1.625 in|Weight:1.250 lb|Tooth Nominal Width:0.459 in|Hardened Teeth :Yes ,Pitch:0.750 in|Chain Size:60 ,,,396414
,35B11FJ,Hub Diameter:1.063 in|LTB:0.750 in|Style:B |No. Teeth:11 |Finished Bore Diameter:0.625 in|Max. Bore:0.563 in|Weight:0.170 lb|Tooth Nominal Width:0.168 in|Hardened Teeth:Y ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in,Outside Diameter:1.500 in|Pitch Diameter:1.331 in|Caliper Diameter:1.117 in,,396475
,D50B26,Stock Bore Diameter:1.000 in|Hub Diameter:3.750 in|LTB:1.875 in|Style:B |No. Teeth:26 |Outside Diameter:5.520 in|Pitch Diameter:5.185 in|Caliper Diameter:4.785 in|Max. Bore:2.500 in|Weight:7.540 lb|Tooth Nominal Width:0.332 in|Hardened Teeth :Yes ,Pitch:0.625 in|Chain Size:50-2 ,,,396418
,2060A26,No. Teeth:26 |Plain Bore:0.750 in|Weight:3.500 lb|Type:A |Tooth Nominal Width:0.459 in|Hardened Teeth:Yes ,Size:A2060/C2060 |Pitch:1.500 in|Inside Width :0.500 in|Roller Diameter :0.469 in,Outside Diameter:6.630 in|Pitch Diameter:6.268 in|Caliper Diameter:5.799 in,,396507
http://chains.ustsubaki.com/ImgMedium/a1621.jpg,2082A23,No. Teeth:23 |Plain Bore:1.375 in|Weight:24.900 lb|Type:A |Tooth Nominal Width:0.575 in|Hardened Teeth:Yes ,Size:C2082 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :1.125 in,Outside Diameter:15.750 in|Pitch Diameter:14.688 in|Caliper Diameter:13.528 in,,396515
http://chains.ustsubaki.com/ImgMedium/triple strand.jpg,T80B23,Stock Bore Diameter:1.000 in|Hub Diameter:5.000 in|LTB:3.875 in|Style:B |No. Teeth:23 |Outside Diameter:7.880 in|Pitch Diameter:7.344 in|Caliper Diameter:6.702 in|Max. Bore:3.313 in|Weight:33.600 lb|Tooth Nominal Width:0.557 in|Hardened Teeth :Yes ,Pitch:1.000 in|Chain Size:80-3 ,,,396531
,35B45FP,Hub Diameter:2.250 in|LTB:1.000 in|Style:B |No. Teeth:45 |Finished Bore Diameter:0.875 in|Max. Bore:1.500 in|Weight:1.780 lb|Tooth Nominal Width:0.168 in|Hardened Teeth:Y ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in,Outside Diameter:5.590 in|Pitch Diameter:5.376 in|Caliper Diameter:5.173 in,,396487
http://chains.ustsubaki.com/ImgMedium/Double-Single-Spkt.jpg,DS80A15,Pitch:1.000 in|No. Teeth:15 |Outside Diameter:5.300 in|Plain Bore:1.000 in|Max. Bore:2.375 in|LTB:2.188 in|C:1.625 in|D:3.812 in|Weight:9.100 lb|Tooth Nominal Width:0.575 in|Hardened Teeth:Yes ,,,,396483
http://chains.ustsubaki.com/ImgMedium/Double-Single-Spkt.jpg,DS100A18,Pitch:1.250 in|No. Teeth:18 |Outside Diameter:7.840 in|Plain Bore:1.250 in|Max. Bore:3.750 in|LTB:2.688 in|C:2.000 in|D:5.281 in|Weight:23.000 lb|Tooth Nominal Width:0.692 in|Hardened Teeth:Yes ,,,,396539
http://chains.ustsubaki.com/ImgMedium/a1615.jpg,2052A17,No. Teeth:17 |Plain Bore:0.750 in|Weight:3.300 lb|Type:A |Tooth Nominal Width:0.343 in|Hardened Teeth:Yes ,Size:C2052 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.750 in,Outside Diameter:7.440 in|Pitch Diameter:6.803 in|Caliper DIameter:6.024 in,,396523
http://chains.ustsubaki.com/ImgMedium/QD Sprocket.jpg,60JA11,Hub Diameter:2.063 in|LTB:0.625 in|Style:B |No. Teeth:11 |Outside Diameter:3.000 in|Pitch Diameter:2.662 in|Caliper Diameter:2.166 in|Max. Bore:1.250 in|Weight:0.460 lb|Tooth Nominal Width:0.459 in|Hardened Teeth :Yes ,Pitch:0.750 in|Chain Size:60 ,,,396535
http://chains.ustsubaki.com/ImgMedium/a1612.jpg,2042A21,Plain Bore:0.750 in|No. Teeth:21 |Weight:2.600 lb|Type:A |Tooth nominal Width:0.284 in|Hardened Teeth:Yes ,Size:C2042 |Pitch:1.000 in|Inside Width :0.312 in|Roller Diameter :0.625 in,Outside Diameter:7.240 in|Pitch Diameter:6.710 in|Caliper Diameter:6.066 in,,396463
,60B40F-1F,Hub Diameter:4.250 in|LTB:1.250 in|Style:B |No. Teeth:40 |Finished Bore Diameter:1.375 in|Max. Bore:2.750 in|Weight:11.200 lb|Tooth Nominal Width:0.459 in|Hardened Teeth :Yes ,Pitch:0.750 in|Chain Size:60 ,Outside Diameter:9.980 in|Pitch Diameter:9.560 in|Caliper Diameter:9.091 in,,396503
,40B35FJ,Hub Diameter:3.250 in|LTB:1.000 in|Style:B |No. Teeth:35 |Finished Bore Diameter:0.625 in|Max. Bore:2.250 in|Weight:3.200 lb|Tooth Nominal Width:0.284 in|Hardened Teeth :Yes ,Pitch:0.500 in|Chain Size:40 ,Outside Diameter:5.860 in|Pitch Diameter:5.578 in|Caliper Diameter:5.260 in,,396499
http://chains.ustsubaki.com/ImgMedium/Double-Single-Spkt.jpg,DS50A19,Pitch:0.625 in|No. Teeth:19 |Outside Diameter:4.120 in|Plain Bore:0.625 in|Max. Bore:2.062 in|LTB:1.656 in|C:1.312 in|D:3.078 in|Weight:3.700 lb|Tooth Nominal Width:0.343 in|Hardened Teeth:Yes ,,,,396559
http://chains.ustsubaki.com/ImgMedium/triple strand.jpg,T80B12,Stock Bore Diameter:1.000 in|Hub Diameter:2.844 in|LTB:3.625 in|Style:B |No. Teeth:12 |Outside Diameter:4.330 in|Pitch Diameter:3.864 in|Caliper Diameter:3.239 in|Max. Bore:1.875 in|Weight:7.500 lb|Tooth Nominal Width:0.557 in|Hardened Teeth :Yes ,Pitch:1.000 in|Chain Size:80-3 ,,,396547
,D60B18,Stock Bore Diameter:1.000 in|Hub Diameter:3.500 in|LTB:2.125 in|Style:B |No. Teeth:18 |Outside Diameter:4.700 in|Pitch Diameter:4.319 in|Caliper Diameter:3.850 in|Max. Bore:2.375 in|Weight:6.240 lb|Tooth Nominal Width:0.444 in|Hardened Teeth :Yes ,Pitch:0.750 in|Chain Size:60-2 ,,,396398
http://chains.ustsubaki.com/ImgMedium/TL Spkt.jpg,D50ATL19,LTB:1.000 in|Style:A |No. Teeth:19 |Outside Diameter:4.120 in|Pitch Diameter:3.797 in|Caliper Diameter:3.384 in|Max. Bore:1.625 in|Weight:1.600 lb|Tooth Nominal Width:0.332 in|Hardened Teeth :Yes ,Pitch:0.625 in|Chain Size:50-2 ,,,396543
http://chains.ustsubaki.com/ImgMedium/a1615.jpg,2052A13,No. Teeth:13 |Plain Bore:0.750 in|Weight:1.800 lb|Type:A |Tooth Nominal Width:0.343 in|Hardened Teeth:Yes ,Size:C2052 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.750 in,Outside Diameter:5.820 in|Pitch Diameter:5.223 in|Caliper DIameter:4.435 in,,396511
http://chains.ustsubaki.com/ImgMedium/Double-Single-Spkt.jpg,DS50A16,Pitch:0.625 in|No. Teeth:16 |Outside Diameter:3.520 in|Plain Bore:0.625 in|Max. Bore:1.688 in|LTB:1.656 in|C:1.312 in|D:2.500 in|Weight:2.400 lb|Tooth Nominal Width:0.343 in|Hardened Teeth:Yes ,,,,396580
http://chains.ustsubaki.com/ImgMedium/triple strand.jpg,T50B12,Stock Bore Diameter:0.625 in|Hub Diameter:1.688 in|LTB:2.500 in|Style:B |No. Teeth:12 |Outside Diameter:2.710 in|Pitch Diameter:2.415 in|Caliper Diameter:2.015 in|Max. Bore:1.125 in|Weight:1.840 lb|Tooth Nominal Width:0.332 in|Hardened Teeth :Yes ,Pitch:0.625 in|Chain Size:50-3 ,,,396568
http://chains.ustsubaki.com/ImgMedium/Double-Single-Spkt.jpg,DS40A17,Pitch:0.500 in|No. Teeth:17 |Outside Diameter:2.980 in|Plain Bore:0.500 in|Max. Bore:1.312 in|LTB:1.406 in|C:1.125 in|D:2.125 in|Weight:1.600 lb|Tooth Nominal Width:0.284 in|Hardened Teeth:Yes ,,,,396572
,60B54F-2G,Hub Diameter:4.250 in|LTB:1.250 in|Style:B |No. Teeth:54 |Finished Bore Diameter:2.438 in|Max. Bore:2.750 in|Weight:21.000 lb|Tooth Nominal Width:0.459 in|Hardened Teeth :Yes ,Pitch:0.750 in|Chain Size:60 ,Outside Diameter:13.330 in|Pitch Diameter:12.889 in|Caliper Diameter:12.430 in,,396555
http://chains.ustsubaki.com/ImgMedium/QD Sprocket.jpg,140M70,Hub Diameter:9.000 in|LTB:5.188 in|Style:C1 |No. Teeth:70 |Outside Diameter:40.020 in|Pitch Diameter:39.006 in|Caliper Diameter:38.006 in|Max. Bore:5.500 in|Weight:264.000 lb|Tooth Nominal Width:0.924 in|Hardened Teeth:Yes ,Pitch:1.750 in|Chain Size:140 ,,,396629
http://chains.ustsubaki.com/ImgMedium/Double-Single-Spkt.jpg,DS40A21,Pitch:0.500 in|No. Teeth:21 |Outside Diameter:3.620 in|Plain Bore:0.625 in|Max. Bore:1.750 in|LTB:1.406 in|C:1.125 in|D:2.781 in|Weight:2.900 lb|Tooth Nominal Width:0.284 in|Hardened Teeth:Yes ,,,,396584
http://chains.ustsubaki.com/ImgMedium/QD Sprocket.jpg,120SF13,Hub Diameter:4.625 in|LTB:1.250 in|Style:B |No. Teeth:13 |Outside Diameter:6.990 in|Pitch Diameter:6.269 in|Caliper Diameter:5.347 in|Max. Bore:2.938 in|Weight:6.100 lb|Tooth Nominal Width:0.894 in|Hardened Teeth :Yes ,Pitch:1.500 in|Chain Size:120 ,,,396621
,40B21FL,Hub Diameter:2.750 in|LTB:1.000 in|Style:B |No. Teeth:21 |Finished Bore Diameter:0.750 in|Max. Bore:1.875 in|Weight:1.530 lb|Tooth Nominal Width:0.284 in|Hardened Teeth :Yes ,Pitch:0.500 in|Chain Size:40 ,Outside Diameter:3.620 in|Pitch Diameter:3.355 in|Caliper Diameter:3.033 in,,396625
http://chains.ustsubaki.com/ImgMedium/QD Sprocket.jpg,120F32,Hub Diameter:6.625 in|LTB:2.500 in|Style:C |No. Teeth:32 |Outside Diameter:16.130 in|Pitch Diameter:15.303 in|Caliper Diameter:14.428 in|Max. Bore:3.938 in|Weight:50.500 lb|Tooth Nominal Width:0.894 in,Pitch:1.500 in|Chain Size:120 ,,,396645
,50B17F-1H,Hub Diameter:2.688 in|LTB:1.000 in|Style:B |No. Teeth:17 |Finished Bore Diameter:1.500 in|Max. Bore:1.875 in|Weight:1.600 lb|Tooth Nominal Width:0.343 in|Hardened Teeth :Yes ,Pitch:0.625 in|Chain Size:50 ,Outside Diameter:3.720 in|Pitch Sprocket Diameter:3.401 in|Caliper Diameter:2.987 in,,394896
,50B17FL,Hub Diameter:2.688 in|LTB:1.000 in|Style:B |No. Teeth:17 |Finished Bore Diameter:0.750 in|Max. Bore:1.875 in|Weight:1.600 lb|Tooth Nominal Width:0.343 in|Hardened Teeth :Yes ,Pitch:0.625 in|Chain Size:50 ,Outside Diameter:3.720 in|Pitch Sprocket Diameter:3.401 in|Caliper Diameter:2.987 in,,394892
http://chains.ustsubaki.com/ImgMedium/QD Sprocket.jpg,140F36,Hub Diameter:6.625 in|LTB:2.500 in|Style:C |No. Teeth:36 |Outside Diameter:21.050 in|Pitch Diameter:20.079 in|Caliper Diameter:19.080 in|Max. Bore:3.938 in|Weight:84.000 lb|Tooth Nominal Width:0.924 in|Hardened Teeth:Yes ,Pitch:1.750 in|Chain Size:140 ,,,396633
,60B38F-1F,Hub Diameter:4.250 in|LTB:1.250 in|Style:B |No. Teeth:38 |Finished Bore Diameter:1.375 in|Max. Bore:2.750 in|Weight:10.500 lb|Tooth Nominal Width:0.459 in|Hardened Teeth :Yes ,Pitch:0.750 in|Chain Size:60 ,Outside Diameter:9.500 in|Pitch Diameter:9.083 in|Caliper Diameter:8.614 in,,394908
,60B20SS,Stock Bore Diameter:0.750 in|Hub Diameter:3.875 in|LTB:1.250 in|Style:B |No. Teeth:20 |Outside Diameter:5.190 in|Pitch Diameter:4.794 in|Caliper Diameter:4.325 in|Max. Bore:2.625 in|Weight:4.600 lb|Tooth Nominal Width:0.459 in,Pitch:0.750 in|Chain Size:60 ,,,394912
,50B12F-1D,Hub Diameter:1.984 in|LTB:1.000 in|Style:B |No. Teeth:12 |Finished Bore Diameter:1.250 in|Max. Bore:1.250 in|Weight:0.700 lb|Tooth Nominal Width:0.343 in|Hardened Teeth :Yes ,Pitch:0.625 in|Chain Size:50 ,Outside Diameter:2.710 in|Pitch Sprocket Diameter:2.415 in|Caliper Diameter:2.015 in,,394945
,41B24FJ,Hub Diameter:3.250 in|LTB:1.000 in|Style:B |No. Teeth:24 |Finished Bore Diameter:0.625 in|Max. Bore:0.625 in|Weight:2.240 lb|Tooth Nominal Width:0.227 in|Hardened Teeth :Yes ,Pitch:0.500 in|Chain Size:41 ,Outside Diameter:4.100 in|Pitch Diameter:3.831 in|Caliper Diameter:3.525 in,,394953
,60B40F-2G,Hub Diameter:4.250 in|LTB:1.250 in|Style:B |No. Teeth:40 |Finished Bore Diameter:2.438 in|Max. Bore:2.750 in|Weight:11.200 lb|Tooth Nominal Width:0.459 in|Hardened Teeth :Yes ,Pitch:0.750 in|Chain Size:60 ,Outside Diameter:9.980 in|Pitch Diameter:9.560 in|Caliper Diameter:9.091 in,,394916
http://chains.ustsubaki.com/ImgMedium/QD Sprocket.jpg,1.20E+18,Hub Diameter:6.000 in|LTB:1.625 in|Style:B |No. Teeth:18 |Outside Diameter:9.410 in|Pitch Diameter:8.639 in|Caliper Diameter:7.764 in|Max. Bore:3.500 in|Weight:14.800 lb|Tooth Nominal Width:0.894 in|Hardened Teeth :Yes ,Pitch:1.500 in|Chain Size:120 ,,,396641
