id,catalog_number,cad,type
129404,052729,https://mro-host.herokuapp.com/file_download/?name=baldor2d_052729_front.dxf,front
129404,052729,https://mro-host.herokuapp.com/file_download/?name=baldor2d_052729_right.dxf,right
129404,052729,https://mro-host.herokuapp.com/file_download/?name=baldor2d_052729_top.dxf,top
131325,136118,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136118_front.dxf,front
131325,136118,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136118_right.dxf,right
131325,136118,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136118_top.dxf,top
125316,048043,https://mro-host.herokuapp.com/file_download/?name=baldor2d_048043_front.dxf,front
125316,048043,https://mro-host.herokuapp.com/file_download/?name=baldor2d_048043_right.dxf,right
125316,048043,https://mro-host.herokuapp.com/file_download/?name=baldor2d_048043_top.dxf,top
122764,023527,https://mro-host.herokuapp.com/file_download/?name=baldor2d_023527_front.dxf,front
122764,023527,https://mro-host.herokuapp.com/file_download/?name=baldor2d_023527_right.dxf,right
122764,023527,https://mro-host.herokuapp.com/file_download/?name=baldor2d_023527_top.dxf,top
128779,124942,https://mro-host.herokuapp.com/file_download/?name=baldor2d_124942_front.dxf,front
128779,124942,https://mro-host.herokuapp.com/file_download/?name=baldor2d_124942_right.dxf,right
128779,124942,https://mro-host.herokuapp.com/file_download/?name=baldor2d_124942_top.dxf,top
129241,071380,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071380_front.dxf,front
129241,071380,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071380_right.dxf,right
129241,071380,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071380_top.dxf,top
122721,023570,https://mro-host.herokuapp.com/file_download/?name=baldor2d_023570_front.dxf,front
122721,023570,https://mro-host.herokuapp.com/file_download/?name=baldor2d_023570_right.dxf,right
122721,023570,https://mro-host.herokuapp.com/file_download/?name=baldor2d_023570_top.dxf,top
129286,071461,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071461_front.dxf,front
129286,071461,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071461_right.dxf,right
129286,071461,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071461_top.dxf,top
791902,076195,https://mro-host.herokuapp.com/file_download/?name=baldor2d_076195_front.dxf,front
791902,076195,https://mro-host.herokuapp.com/file_download/?name=baldor2d_076195_right.dxf,right
791902,076195,https://mro-host.herokuapp.com/file_download/?name=baldor2d_076195_top.dxf,top
131301,065653,https://mro-host.herokuapp.com/file_download/?name=baldor2d_065653_front.dxf,front
131301,065653,https://mro-host.herokuapp.com/file_download/?name=baldor2d_065653_right.dxf,right
131301,065653,https://mro-host.herokuapp.com/file_download/?name=baldor2d_065653_top.dxf,top
129276,071457,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071457_front.dxf,front
129276,071457,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071457_right.dxf,right
129276,071457,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071457_top.dxf,top
128511,069590,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069590_front.dxf,front
128511,069590,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069590_right.dxf,right
128511,069590,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069590_top.dxf,top
127231,127742,https://mro-host.herokuapp.com/file_download/?name=baldor2d_127742_front.dxf,front
127231,127742,https://mro-host.herokuapp.com/file_download/?name=baldor2d_127742_right.dxf,right
127231,127742,https://mro-host.herokuapp.com/file_download/?name=baldor2d_127742_top.dxf,top
131405,131177,https://mro-host.herokuapp.com/file_download/?name=baldor2d_131177_front.dxf,front
131405,131177,https://mro-host.herokuapp.com/file_download/?name=baldor2d_131177_right.dxf,right
131405,131177,https://mro-host.herokuapp.com/file_download/?name=baldor2d_131177_top.dxf,top
132887,127525,https://mro-host.herokuapp.com/file_download/?name=baldor2d_127525_front.dxf,front
132887,127525,https://mro-host.herokuapp.com/file_download/?name=baldor2d_127525_right.dxf,right
132887,127525,https://mro-host.herokuapp.com/file_download/?name=baldor2d_127525_top.dxf,top
132952,127717,https://mro-host.herokuapp.com/file_download/?name=baldor2d_127717_front.dxf,front
132952,127717,https://mro-host.herokuapp.com/file_download/?name=baldor2d_127717_right.dxf,right
132952,127717,https://mro-host.herokuapp.com/file_download/?name=baldor2d_127717_top.dxf,top
122983,066465,https://mro-host.herokuapp.com/file_download/?name=baldor2d_066465_front.dxf,front
122983,066465,https://mro-host.herokuapp.com/file_download/?name=baldor2d_066465_right.dxf,right
122983,066465,https://mro-host.herokuapp.com/file_download/?name=baldor2d_066465_top.dxf,top
791635,136744,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136744_front.dxf,front
791635,136744,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136744_right.dxf,right
791635,136744,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136744_top.dxf,top
134116,131743,https://mro-host.herokuapp.com/file_download/?name=baldor2d_131743_front.dxf,front
134116,131743,https://mro-host.herokuapp.com/file_download/?name=baldor2d_131743_right.dxf,right
134116,131743,https://mro-host.herokuapp.com/file_download/?name=baldor2d_131743_top.dxf,top
133533,070801,https://mro-host.herokuapp.com/file_download/?name=baldor2d_070801_front.dxf,front
133533,070801,https://mro-host.herokuapp.com/file_download/?name=baldor2d_070801_right.dxf,right
133533,070801,https://mro-host.herokuapp.com/file_download/?name=baldor2d_070801_top.dxf,top
130579,069560,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069560_front.dxf,front
130579,069560,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069560_right.dxf,right
130579,069560,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069560_top.dxf,top
