id,catalog_number,cad
125093,023175,https://mro-host.herokuapp.com/file_download/?name=baldor3d_023175.dxf
130964,125633,https://mro-host.herokuapp.com/file_download/?name=baldor3d_125633.dxf
124825,033905,https://mro-host.herokuapp.com/file_download/?name=baldor3d_033905.dxf
130773,125153,https://mro-host.herokuapp.com/file_download/?name=baldor3d_125153.dxf
131412,023016,https://mro-host.herokuapp.com/file_download/?name=baldor3d_023016.dxf
130849,023292,https://mro-host.herokuapp.com/file_download/?name=baldor3d_023271.dxf
128403,069390,https://mro-host.herokuapp.com/file_download/?name=baldor3d_069390.dxf
791467,136790,https://mro-host.herokuapp.com/file_download/?name=baldor3d_136790.dxf
131339,130365,https://mro-host.herokuapp.com/file_download/?name=baldor3d_130365.dxf
125192,062307,https://mro-host.herokuapp.com/file_download/?name=baldor3d_062307.dxf
125223,131744,https://mro-host.herokuapp.com/file_download/?name=baldor3d_131744.dxf
128660,125896,https://mro-host.herokuapp.com/file_download/?name=baldor3d_125896.dxf
123596,050146,https://mro-host.herokuapp.com/file_download/?name=baldor3d_050146.dxf
130088,066306,https://mro-host.herokuapp.com/file_download/?name=baldor3d_066306.dxf
127429,129204,https://mro-host.herokuapp.com/file_download/?name=baldor3d_129204.dxf
125742,019263,https://mro-host.herokuapp.com/file_download/?name=baldor3d_019263.dxf
125503,126628,https://mro-host.herokuapp.com/file_download/?name=baldor3d_126628.dxf
125508,128822,https://mro-host.herokuapp.com/file_download/?name=baldor3d_128822.dxf
127337,129748,https://mro-host.herokuapp.com/file_download/?name=baldor3d_129748.dxf
130756,066234,https://mro-host.herokuapp.com/file_download/?name=baldor3d_066234.dxf
130552,070918,https://mro-host.herokuapp.com/file_download/?name=baldor3d_070918.dxf
129346,131120,https://mro-host.herokuapp.com/file_download/?name=baldor3d_131120.dxf
128316,069735,https://mro-host.herokuapp.com/file_download/?name=baldor3d_069735.dxf
130641,071325,https://mro-host.herokuapp.com/file_download/?name=baldor3d_071325.dxf
791497,136994,https://mro-host.herokuapp.com/file_download/?name=baldor3d_136994.dxf
5002775,063369,https://mro-host.herokuapp.com/file_download/?name=baldor3d_063369.dxf
122649,023162,https://mro-host.herokuapp.com/file_download/?name=baldor3d_023162.dxf
132286,053763,https://mro-host.herokuapp.com/file_download/?name=baldor3d_053763.dxf
124751,032950,https://mro-host.herokuapp.com/file_download/?name=baldor3d_032950.dxf
122819,069060,https://mro-host.herokuapp.com/file_download/?name=baldor3d_069060.dxf
127545,129040,https://mro-host.herokuapp.com/file_download/?name=baldor3d_129040.dxf
132928,058515,https://mro-host.herokuapp.com/file_download/?name=baldor3d_058515.dxf
130118,123792,https://mro-host.herokuapp.com/file_download/?name=baldor3d_123792.dxf
129124,071133,https://mro-host.herokuapp.com/file_download/?name=baldor3d_071133.dxf
129291,071470,https://mro-host.herokuapp.com/file_download/?name=baldor3d_071470.dxf
132313,131740,https://mro-host.herokuapp.com/file_download/?name=baldor3d_131740.dxf
786397,071921,https://mro-host.herokuapp.com/file_download/?name=baldor3d_071921.dxf
126904,125539,https://mro-host.herokuapp.com/file_download/?name=baldor3d_125539.dxf
132135,034260,https://mro-host.herokuapp.com/file_download/?name=baldor3d_034260.dxf
123799,035107,https://mro-host.herokuapp.com/file_download/?name=baldor3d_035107.dxf
127339,129750,https://mro-host.herokuapp.com/file_download/?name=baldor3d_129750.dxf
134018,070893,https://mro-host.herokuapp.com/file_download/?name=baldor3d_070893.dxf
128531,069460,https://mro-host.herokuapp.com/file_download/?name=baldor3d_069460.dxf
132319,131384,https://mro-host.herokuapp.com/file_download/?name=baldor3d_131384.dxf
127836,129250,https://mro-host.herokuapp.com/file_download/?name=baldor3d_129250.dxf
130419,130300,https://mro-host.herokuapp.com/file_download/?name=baldor3d_130300.dxf
128590,069581,https://mro-host.herokuapp.com/file_download/?name=baldor3d_069581.dxf
123346,125054,https://mro-host.herokuapp.com/file_download/?name=baldor3d_125054.dxf
126231,104019,https://mro-host.herokuapp.com/file_download/?name=baldor3d_104019.dxf
791588,076323,https://mro-host.herokuapp.com/file_download/?name=baldor3d_076323.dxf
131406,131839,https://mro-host.herokuapp.com/file_download/?name=baldor3d_131839.dxf
130461,062542,https://mro-host.herokuapp.com/file_download/?name=baldor3d_062542.dxf
133571,071616,https://mro-host.herokuapp.com/file_download/?name=baldor3d_071616.dxf
791352,076010,https://mro-host.herokuapp.com/file_download/?name=baldor3d_076010.dxf
128653,125886,https://mro-host.herokuapp.com/file_download/?name=baldor3d_125886.dxf
130998,056612,https://mro-host.herokuapp.com/file_download/?name=baldor3d_056612.dxf
