id,catalog_number,key1,key2,description
2931234,4871.015.000.000000,FD15CFH,FD,Ringspann 4871.015.000.000000 FD15CFH CAM CLUTCH
2931233,4871.012.002.000000,FD12CFR,FD,Ringspann 4871.012.002.000000 FD12CFR CAM CLUTCH
2931232,4871.012.001.000000,FD12CFP,FD,Ringspann 4871.012.001.000000 FD12CFP CAM CLUTCH
2931231,4871.012.000.000000,FD12CFH,FD,Ringspann 4871.012.000.000000 FD12CFH CAM CLUTCH
2931230,4867.310.501.150h84,FXM31096UX*150MM,FXM,Ringspann 4867.310.501.150h84 FXM31096UX*150MM INTERNAL BACKSTOP KW36X84MM
2931229,4867.290.502.M01060,FXM29096UX*6+34,FXM,Ringspann 4867.290.502.M01060 FXM29096UX*6+34 INTERNAL BACKSTOP KW134X34
2931228,4867.290.501.M01060,FXM29070UX*6+34,FXM,Ringspann 4867.290.501.M01060 FXM29070UX*6+34 INTERNAL BACKSTOP KW134X34
2931227,4867.260.501.M01033,FXM26063UX*4+18,FXM,Ringspann 4867.260.501.M01033 FXM26063UX*4+18 INTERNAL BACKSTOP KW1X12
2931226,4867.260.501.150h84,FXM26063UX*150MM,FXM,Ringspann 4867.260.501.150h84 FXM26063UX*150MM INTERNAL BACKSTOP
2931225,4867.260.501.105h64,FXM26063UX*105MM,FXM,Ringspann 4867.260.501.105h64 FXM26063UX*105MM INTERNAL BACKSTOP KW28X64MM
2931224,4867.240.502.M01160,FXM24096UX*5+34,FXM,Ringspann 4867.240.502.M01160 FXM24096UX*5+34 INTERNAL BACKSTOP KW114X34
2931223,4867.240.502.105h64,FXM24096UX*105MM,FXM,Ringspann 4867.240.502.105h64 FXM24096UX*105MM INTERNAL BACKSTOP KW28X64MM
2931222,4867.240.501.M01105,FXM24063UX*180MM,FXM,Ringspann 4867.240.501.M01105 FXM24063UX*180MM INTERNAL BACKSTOP
2931221,4867.240.501.140h84,FXM24063UX*140MM,FXM,Ringspann 4867.240.501.140h84 FXM24063UX*140MM INTERNAL BACKSTOP
2931220,4867.240.501.120h74,FXM24063UX*120MM,FXM,Ringspann 4867.240.501.120h74 FXM24063UX*120MM INTERNAL BACKSTOP
2931219,4867.200.501.M00788,FXM20063SX*5+12,FXM,Ringspann 4867.200.501.M00788 FXM20063SX*5+12 INTERNAL BACKSTOP KW1*14X716
2931218,4867.200.501.M00292,FXM20063SX*6,FXM,Ringspann 4867.200.501.M00292 FXM20063SX*6 INTERNAL BACKSTOP KW1*12X12
2931217,4867.200.501.130h74,FXM20063SX*130MM,FXM,Ringspann 4867.200.501.130h74 FXM20063SX*130MM INTERNAL BACKSTOP
2931216,4867.200.501.125h74,FXM20063SX*125MM,FXM,Ringspann 4867.200.501.125h74 FXM20063SX*125MM INTERNAL BACKSTOP KW32X18MM
2931215,4867.200.501.090h54,FXM20063SX*90MM,FXM,Ringspann 4867.200.501.090h54 FXM20063SX*90MM INTERNAL BACKSTOP KW25X5.4MM
2931214,4867.170.502.130h74,FXM17063SX*130MM,FXM,Ringspann 4867.170.502.130h74 FXM17063SX*130MM INTERNAL BACKSTOP
2931213,4867.170.502.123h74,FXM17063SX*123MM,FXM,Ringspann 4867.170.502.123h74 FXM17063SX*123MM INTERNAL BACKSTOP
2931212,4867.170.502.120h74,FXM17063SX*120MM,FXM,Ringspann 4867.170.502.120h74 FXM17063SX*120MM INTERNAL BACKSTOP
2931211,4867.170.502.100h64,FXM17063SX*100MM,FXM,Ringspann 4867.170.502.100h64 FXM17063SX*100MM INTERNAL BACKSTOP KW28X64MM
2931210,4867.170.502.085h31,FXM17063SX*85MM,FXM,Ringspann 4867.170.502.085h31 FXM17063SX*85MM INTERNAL BACKSTOP
2931209,4867.140.502.M00850,FXM14050SX*4,FXM,Ringspann 4867.140.502.M00850 FXM14050SX*4 INTERNAL BACKSTOP KW1X38
2931208,4867.140.502.M00765,FXM14050SX*4,FXM,Ringspann 4867.140.502.M00765 FXM14050SX*4 INTERNAL BACKSTOP KW1X12
2931207,4867.140.502.M00750,FXM14050SX*2+78,FXM,Ringspann 4867.140.502.M00750 FXM14050SX*2+78 INTERNAL BACKSTOP KW34X38
2931206,4867.140.502.M00737,FXM14050SX*2,FXM,Ringspann 4867.140.502.M00737 FXM14050SX*2 INTERNAL BACKSTOP KW12X14
2931205,4867.140.502.100h64,FXM14050SX*100MM,FXM,Ringspann 4867.140.502.100h64 FXM14050SX*100MM INTERNAL BACKSTOP
2931204,4867.140.502.085h54,FXM14050SX*85MM,FXM,Ringspann 4867.140.502.085h54 FXM14050SX*85MM INTERNAL BACKSTOP
2931203,4867.140.502.070h49,FXM14050SX*70MM,FXM,Ringspann 4867.140.502.070h49 FXM14050SX*70MM INTERNAL BACKSTOP
2931202,4867.140.502.065h44,FXM14050SX*65MM,FXM,Ringspann 4867.140.502.065h44 FXM14050SX*65MM INTERNAL BACKSTOP
