id,catalog_number,factors
5066739,230/500KYMBW507C08,e - ISO Factor:0.21 |Y0 - ISO Factor:3.26 |Y1 - ISO Factor:4.85 |Y2 - ISO Factor:3.18 |Reference Thermal Speed Rating (Grease):510 |Reference Thermal Speed Rating (Oil):580 |Cg - Geometry Factor:0.1037 
5066740,230/500KYMBW507C08C3,e - ISO Factor:0.21 |Y0 - ISO Factor:3.26 |Y1 - ISO Factor:4.85 |Y2 - ISO Factor:3.18 |Reference Thermal Speed Rating (Grease):510 |Reference Thermal Speed Rating (Oil):580 |Cg - Geometry Factor:0.1037 
5066742,230/500KYMBW906AC3,e - ISO Factor:0.21 |Y0 - ISO Factor:3.26 |Y1 - ISO Factor:4.85 |Y2 - ISO Factor:3.18 |Reference Thermal Speed Rating (Grease):510 |Reference Thermal Speed Rating (Oil):580 |Cg - Geometry Factor:0.1037 
5066767,240RU91R6,Reference Thermal Speed Rating (Grease):790 |Reference Thermal Speed Rating (Oil):880 |Cg - Geometry Factor:0.1756 
5066890,209K,Limiting Speed (Grease):4620 rpm|Limiting Speed (Oil):5380 rpm
5066741,230/500KYMBW906A,e - ISO Factor:0.21 |Y0 - ISO Factor:3.26 |Y1 - ISO Factor:4.85 |Y2 - ISO Factor:3.18 |Reference Thermal Speed Rating (Grease):510 |Reference Thermal Speed Rating (Oil):580 |Cg - Geometry Factor:0.1037 
5067085,2MM9116WI,Limiting Speed (Grease):10300 rpm|Limiting Speed (Oil):20600 rpm
5067096,3MM212WI,Limiting Speed (Grease):14300 rpm|Limiting Speed (Oil):28600 rpm
5067378,239/670KYMBW507C08,e - ISO Factor:0.16 |Y0 - ISO Factor:4.15 |Y1 - ISO Factor:6.18 |Y2 - ISO Factor:4.06 |Reference Thermal Speed Rating (Grease):350 |Reference Thermal Speed Rating (Oil):410 |Cg - Geometry Factor:0.1238 
5067121,3MM301WI,Limiting Speed (Grease):42800 rpm|Limiting Speed (Oil):85600 rpm
5067931,24092YMBW33W45AC3,e - ISO Factor:0.28 |Y0 - ISO Factor:2.37 |Y1 - ISO Factor:3.53 |Y2 - ISO Factor:2.32 |Reference Thermal Speed Rating (Grease):390 |Reference Thermal Speed Rating (Oil):430 |Cg - Geometry Factor:0.0991 
5067163,213W,Limiting Speed (Grease):2700 rpm|Limiting Speed (Oil):3240 rpm
5067969,230/630YMBW507C08,e - ISO Factor:0.21 |Y0 - ISO Factor:3.18 |Y1 - ISO Factor:4.74 |Y2 - ISO Factor:3.11 |Reference Thermal Speed Rating (Grease):370 |Reference Thermal Speed Rating (Oil):420 |Cg - Geometry Factor:0.1204 
5067973,23184YMBW507C08C3,e - ISO Factor:0.31 |Y0 - ISO Factor:2.21 |Y1 - ISO Factor:3.2 |Y2 - ISO Factor:2.16 |Reference Thermal Speed Rating (Grease):440 |Reference Thermal Speed Rating (Oil):480 |Cg - Geometry Factor:0.0957 
5067976,23288KYMBW507C08,e - ISO Factor:0.35 |Y0 - ISO Factor:1.95 |Y1 - ISO Factor:2.91 |Y2 - ISO Factor:1.91 |Reference Thermal Speed Rating (Grease):300 |Reference Thermal Speed Rating (Oil):320 |Cg - Geometry Factor:0.101 
5067974,231/500YMBW507C08,e - ISO Factor:0.3 |Y0 - ISO Factor:2.22 |Y1 - ISO Factor:3.3 |Y2 - ISO Factor:2.17 |Reference Thermal Speed Rating (Grease):330 |Reference Thermal Speed Rating (Oil):360 |Cg - Geometry Factor:0.1073 
5067971,23184YMBW509C08C3,e - ISO Factor:0.31 |Y0 - ISO Factor:2.21 |Y1 - ISO Factor:3.2 |Y2 - ISO Factor:2.16 |Reference Thermal Speed Rating (Grease):440 |Reference Thermal Speed Rating (Oil):480 |Cg - Geometry Factor:0.0957 
5067966,23092YMBW509C08,e - ISO Factor:0.22 |Y0 - ISO Factor:3.06 |Y1 - ISO Factor:4.56 |Y2 - ISO Factor:2.99 |Reference Thermal Speed Rating (Grease):550 |Reference Thermal Speed Rating (Oil):640 |Cg - Geometry Factor:0.0991 
5068305,2MM209WI,Limiting Speed (Grease):17500 rpm|Limiting Speed (Oil):35000 rpm
5068384,MM305K,Limiting Speed (Grease):26500 rpm|Limiting Speed (Oil):53000 rpm
5068392,2MM306WI,Limiting Speed (Grease):22100 rpm|Limiting Speed (Oil):44200 rpm
5068426,214W,Limiting Speed (Grease):2560 rpm|Limiting Speed (Oil):3080 rpm
5068395,MM307K,Limiting Speed (Grease):19400 rpm|Limiting Speed (Oil):38800 rpm
5068386,2MM305WI,Limiting Speed (Grease):26200 rpm|Limiting Speed (Oil):52400 rpm
5068345,2MM213WI,Limiting Speed (Grease):12100 rpm|Limiting Speed (Oil):24200 rpm
