id,catalog_number,factors
5119690,22320EMW33C3,e - ISO Factor:0.33 |Y0 - ISO Factor:2.06 |Y1 - ISO Factor:3.07 |Y2 - ISO Factor:2.02 |Reference Thermal Speed Rating (Grease):2500 |Reference Thermal Speed Rating (Oil):2900 |Cg - Geometry Factor:0.0746 
5119684,26250KEMW33C4,e - ISO Factor:0.3 |Y0 - ISO Factor:2.28 |Y1 - ISO Factor:3.39 |Y2 - ISO Factor:2.23 |Reference Thermal Speed Rating (Grease):620 |Reference Thermal Speed Rating (Oil):680 |Cg - Geometry Factor:0.1105 
5119692,22320KEMW33C3,e - ISO Factor:0.33 |Y0 - ISO Factor:2.06 |Y1 - ISO Factor:3.07 |Y2 - ISO Factor:2.02 |Reference Thermal Speed Rating (Grease):2500 |Reference Thermal Speed Rating (Oil):2900 |Cg - Geometry Factor:0.0746 
5119687,22320EMW33W800C3,e - ISO Factor:0.33 |Y0 - ISO Factor:2.06 |Y1 - ISO Factor:3.07 |Y2 - ISO Factor:2.02 |Reference Thermal Speed Rating (Grease):2500 |Reference Thermal Speed Rating (Oil):2900 |Cg - Geometry Factor:0.0746 
5119678,23164EJW509C08C3,e - ISO Factor:0.31 |Y0 - ISO Factor:2.14 |Y1 - ISO Factor:3.19 |Y2 - ISO Factor:2.1 |Reference Thermal Speed Rating (Grease):620 |Reference Thermal Speed Rating (Oil):690 |Cg - Geometry Factor:0.1313 
5119696,23252KEJW507C08C2,e - ISO Factor:0.34 |Y0 - ISO Factor:1.98 |Y1 - ISO Factor:2.95 |Y2 - ISO Factor:1.94 |Reference Thermal Speed Rating (Grease):650 |Reference Thermal Speed Rating (Oil):710 |Cg - Geometry Factor:0.1185 
5119691,22320EMW33W800C4,e - ISO Factor:0.33 |Y0 - ISO Factor:2.06 |Y1 - ISO Factor:3.07 |Y2 - ISO Factor:2.02 |Reference Thermal Speed Rating (Grease):2500 |Reference Thermal Speed Rating (Oil):2900 |Cg - Geometry Factor:0.0746 
5119693,22320EMW33W82,e - ISO Factor:0.33 |Y0 - ISO Factor:2.06 |Y1 - ISO Factor:3.07 |Y2 - ISO Factor:2.02 |Reference Thermal Speed Rating (Grease):2500 |Reference Thermal Speed Rating (Oil):2900 |Cg - Geometry Factor:0.0746 
5119711,6024-RS,Grease Reference Speed:4200 rpm|Oil Reference Speed:6100 rpm
5119702,23252KEJW507C08C3,e - ISO Factor:0.34 |Y0 - ISO Factor:1.98 |Y1 - ISO Factor:2.95 |Y2 - ISO Factor:1.94 |Reference Thermal Speed Rating (Grease):650 |Reference Thermal Speed Rating (Oil):710 |Cg - Geometry Factor:0.1185 
5119701,22320EMW33W800W40IC4,e - ISO Factor:0.33 |Y0 - ISO Factor:2.06 |Y1 - ISO Factor:3.07 |Y2 - ISO Factor:2.02 |Reference Thermal Speed Rating (Grease):2500 |Reference Thermal Speed Rating (Oil):2900 |Cg - Geometry Factor:0.0746 
5119714,23252EJW507C08C2,e - ISO Factor:0.34 |Y0 - ISO Factor:1.98 |Y1 - ISO Factor:2.95 |Y2 - ISO Factor:1.94 |Reference Thermal Speed Rating (Grease):650 |Reference Thermal Speed Rating (Oil):710 |Cg - Geometry Factor:0.1185 
5119716,23252EJW507C08C4,e - ISO Factor:0.34 |Y0 - ISO Factor:1.98 |Y1 - ISO Factor:2.95 |Y2 - ISO Factor:1.94 |Reference Thermal Speed Rating (Grease):650 |Reference Thermal Speed Rating (Oil):710 |Cg - Geometry Factor:0.1185 
5119703,23252KEJW507C08C4,e - ISO Factor:0.34 |Y0 - ISO Factor:1.98 |Y1 - ISO Factor:2.95 |Y2 - ISO Factor:1.94 |Reference Thermal Speed Rating (Grease):650 |Reference Thermal Speed Rating (Oil):710 |Cg - Geometry Factor:0.1185 
5119670,23164EJW507C08C3,e - ISO Factor:0.31 |Y0 - ISO Factor:2.14 |Y1 - ISO Factor:3.19 |Y2 - ISO Factor:2.1 |Reference Thermal Speed Rating (Grease):620 |Reference Thermal Speed Rating (Oil):690 |Cg - Geometry Factor:0.1313 
5119700,22320EMW32W82,e - ISO Factor:0.33 |Y0 - ISO Factor:2.06 |Y1 - ISO Factor:3.07 |Y2 - ISO Factor:2.02 |Reference Thermal Speed Rating (Grease):2500 |Reference Thermal Speed Rating (Oil):2900 |Cg - Geometry Factor:0.0746 
5119609,23056KEJW507C08C4,e - ISO Factor:0.23 |Y0 - ISO Factor:2.92 |Y1 - ISO Factor:4.35 |Y2 - ISO Factor:2.86 |Reference Thermal Speed Rating (Grease):1100 |Reference Thermal Speed Rating (Oil):1300 |Cg - Geometry Factor:0.1182 
5119697,6014-Z-C3,Grease Reference Speed:6400 rpm|Oil Reference Speed:9300 rpm
5119715,23252EJW507C08C3,e - ISO Factor:0.34 |Y0 - ISO Factor:1.98 |Y1 - ISO Factor:2.95 |Y2 - ISO Factor:1.94 |Reference Thermal Speed Rating (Grease):650 |Reference Thermal Speed Rating (Oil):710 |Cg - Geometry Factor:0.1185 
5119727,22320EMW33C4,e - ISO Factor:0.33 |Y0 - ISO Factor:2.06 |Y1 - ISO Factor:3.07 |Y2 - ISO Factor:2.02 |Reference Thermal Speed Rating (Grease):2500 |Reference Thermal Speed Rating (Oil):2900 |Cg - Geometry Factor:0.0746 
5119717,23252EJW509C08,e - ISO Factor:0.34 |Y0 - ISO Factor:1.98 |Y1 - ISO Factor:2.95 |Y2 - ISO Factor:1.94 |Reference Thermal Speed Rating (Grease):650 |Reference Thermal Speed Rating (Oil):710 |Cg - Geometry Factor:0.1185 
5119734,23152EMBW509C08,e - ISO Factor:0.3 |Y0 - ISO Factor:2.23 |Y1 - ISO Factor:3.31 |Y2 - ISO Factor:2.18 |Reference Thermal Speed Rating (Grease):830 |Reference Thermal Speed Rating (Oil):930 |Cg - Geometry Factor:0.1162 
5119730,22320EMW22C3,e - ISO Factor:0.33 |Y0 - ISO Factor:2.06 |Y1 - ISO Factor:3.07 |Y2 - ISO Factor:2.02 |Reference Thermal Speed Rating (Grease):2500 |Reference Thermal Speed Rating (Oil):2900 |Cg - Geometry Factor:0.0746 
5119705,6016-Z-C3,Grease Reference Speed:5800 rpm|Oil Reference Speed:8400 rpm
5119755,23926EMW33C3,e - ISO Factor:0.18 |Y0 - ISO Factor:3.83 |Y1 - ISO Factor:5.7 |Y2 - ISO Factor:3.75 |Reference Thermal Speed Rating (Grease):2400 |Reference Thermal Speed Rating (Oil):300 |Cg - Geometry Factor:0.0758 
5119736,23064EJW507C08C2,e - ISO Factor:0.23 |Y0 - ISO Factor:2.93 |Y1 - ISO Factor:4.36 |Y2 - ISO Factor:2.86 |Reference Thermal Speed Rating (Grease):880 |Reference Thermal Speed Rating (Oil):1000 |Cg - Geometry Factor:0.1278 
5119767,239/1180KYMBW33W45A,e - ISO Factor:0.15 |Y0 - ISO Factor:4.51 |Y1 - ISO Factor:6.71 |Y2 - ISO Factor:4.41 |Reference Thermal Speed Rating (Grease):170 |Reference Thermal Speed Rating (Oil):190 |Cg - Geometry Factor:0.1675 
5119725,6236-C3,Grease Reference Speed:2600 rpm|Oil Reference Speed:3700 rpm
5119756,23030EMW833,e - ISO Factor:0.21 |Y0 - ISO Factor:3.14 |Y1 - ISO Factor:4.68 |Y2 - ISO Factor:3.07 |Reference Thermal Speed Rating (Grease):2100 |Reference Thermal Speed Rating (Oil):2600 |Cg - Geometry Factor:0.0856 
5119738,23064EJW507C08C4,e - ISO Factor:0.23 |Y0 - ISO Factor:2.93 |Y1 - ISO Factor:4.36 |Y2 - ISO Factor:2.86 |Reference Thermal Speed Rating (Grease):880 |Reference Thermal Speed Rating (Oil):1000 |Cg - Geometry Factor:0.1278 
5119775,23240KEMBW33W800C4,e - ISO Factor:0.33 |Y0 - ISO Factor:2.06 |Y1 - ISO Factor:3.06 |Y2 - ISO Factor:2.01 |Reference Thermal Speed Rating (Grease):920 |Reference Thermal Speed Rating (Oil):1000 |Cg - Geometry Factor:0.1003 
5119699,6011-Z-C3,Grease Reference Speed:7800 rpm|Oil Reference Speed:11000 rpm
5119770,23260EMBW525C08,e - ISO Factor:0.34 |Y0 - ISO Factor:2 |Y1 - ISO Factor:2.98 |Y2 - ISO Factor:1.96 |Reference Thermal Speed Rating (Grease):530 |Reference Thermal Speed Rating (Oil):580 |Cg - Geometry Factor:0.1297 
5119737,23064EJW507C08C3,e - ISO Factor:0.23 |Y0 - ISO Factor:2.93 |Y1 - ISO Factor:4.36 |Y2 - ISO Factor:2.86 |Reference Thermal Speed Rating (Grease):880 |Reference Thermal Speed Rating (Oil):1000 |Cg - Geometry Factor:0.1278 
5119778,22344KEJW33W45AC3,e - ISO Factor:0.32 |Y0 - ISO Factor:2.08 |Y1 - ISO Factor:3.1 |Y2 - ISO Factor:2.04 |Reference Thermal Speed Rating (Grease):940 |Reference Thermal Speed Rating (Oil):1100 |Cg - Geometry Factor:0.1096 
5119800,23244EMBW33W27W45AC3,e - ISO Factor:0.35 |Y0 - ISO Factor:1.95 |Y1 - ISO Factor:2.9 |Y2 - ISO Factor:1.9 |Reference Thermal Speed Rating (Grease):830 |Reference Thermal Speed Rating (Oil):920 |Cg - Geometry Factor:0.1051 
5119794,24040EJW841,e - ISO Factor:0.31 |Y0 - ISO Factor:2.16 |Y1 - ISO Factor:3.22 |Y2 - ISO Factor:2.12 |Reference Thermal Speed Rating (Grease):1100 |Reference Thermal Speed Rating (Oil):1300 |Cg - Geometry Factor:0.0956 
5119771,23264EMBW525C08,e - ISO Factor:0.34 |Y0 - ISO Factor:1.98 |Y1 - ISO Factor:2.94 |Y2 - ISO Factor:1.93 |Reference Thermal Speed Rating (Grease):490 |Reference Thermal Speed Rating (Oil):530 |Cg - Geometry Factor:0.1354 
5119823,23064KEJW507C08C4,e - ISO Factor:0.23 |Y0 - ISO Factor:2.93 |Y1 - ISO Factor:4.36 |Y2 - ISO Factor:2.86 |Reference Thermal Speed Rating (Grease):880 |Reference Thermal Speed Rating (Oil):1000 |Cg - Geometry Factor:0.1278 
5119821,23064KEJW507C08C2,e - ISO Factor:0.23 |Y0 - ISO Factor:2.93 |Y1 - ISO Factor:4.36 |Y2 - ISO Factor:2.86 |Reference Thermal Speed Rating (Grease):880 |Reference Thermal Speed Rating (Oil):1000 |Cg - Geometry Factor:0.1278 
5119816,22248EJW33W45AC2,e - ISO Factor:0.27 |Y0 - ISO Factor:2.46 |Y1 - ISO Factor:3.67 |Y2 - ISO Factor:2.41 |Reference Thermal Speed Rating (Grease):1100 |Reference Thermal Speed Rating (Oil):1300 |Cg - Geometry Factor:0.1117 
5119783,22312EMW833C3,e - ISO Factor:0.34 |Y0 - ISO Factor:1.98 |Y1 - ISO Factor:2.94 |Y2 - ISO Factor:1.93 |Reference Thermal Speed Rating (Grease):4100 |Reference Thermal Speed Rating (Oil):4900 |Cg - Geometry Factor:0.0532 
5119822,23064KEJW507C08C3,e - ISO Factor:0.23 |Y0 - ISO Factor:2.93 |Y1 - ISO Factor:4.36 |Y2 - ISO Factor:2.86 |Reference Thermal Speed Rating (Grease):880 |Reference Thermal Speed Rating (Oil):1000 |Cg - Geometry Factor:0.1278 
5119828,23256KEJW507C08C3,e - ISO Factor:0.33 |Y0 - ISO Factor:2.07 |Y1 - ISO Factor:3.08 |Y2 - ISO Factor:2.02 |Reference Thermal Speed Rating (Grease):590 |Reference Thermal Speed Rating (Oil):650 |Cg - Geometry Factor:0.1232 
5119818,22248EJW33W45AC4,e - ISO Factor:0.27 |Y0 - ISO Factor:2.46 |Y1 - ISO Factor:3.67 |Y2 - ISO Factor:2.41 |Reference Thermal Speed Rating (Grease):1100 |Reference Thermal Speed Rating (Oil):1300 |Cg - Geometry Factor:0.1117 
5119817,22248EJW33W45AC3,e - ISO Factor:0.27 |Y0 - ISO Factor:2.46 |Y1 - ISO Factor:3.67 |Y2 - ISO Factor:2.41 |Reference Thermal Speed Rating (Grease):1100 |Reference Thermal Speed Rating (Oil):1300 |Cg - Geometry Factor:0.1117 
5119850,22344EJW33W45AC6,e - ISO Factor:0.32 |Y0 - ISO Factor:2.08 |Y1 - ISO Factor:3.1 |Y2 - ISO Factor:2.04 |Reference Thermal Speed Rating (Grease):940 |Reference Thermal Speed Rating (Oil):1100 |Cg - Geometry Factor:0.1096 
5119854,21319EJW33C3,e - ISO Factor:0.22 |Y0 - ISO Factor:3.02 |Y1 - ISO Factor:4.5 |Y2 - ISO Factor:2.96 |Reference Thermal Speed Rating (Grease):3000 |Reference Thermal Speed Rating (Oil):3600 |Cg - Geometry Factor:0.0716 
5119851,24140EMBW841,e - ISO Factor:0.39 |Y0 - ISO Factor:1.74 |Y1 - ISO Factor:2.59 |Y2 - ISO Factor:1.7 |Reference Thermal Speed Rating (Grease):790 |Reference Thermal Speed Rating (Oil):850 |Cg - Geometry Factor:0.097 
5119819,22209EJW33C5,e - ISO Factor:0.26 |Y0 - ISO Factor:2.64 |Y1 - ISO Factor:3.93 |Y2 - ISO Factor:2.58 |Reference Thermal Speed Rating (Grease):5500 |Reference Thermal Speed Rating (Oil):6800 |Cg - Geometry Factor:0.0462 
5119858,23064EJW509C08C3,e - ISO Factor:0.23 |Y0 - ISO Factor:2.93 |Y1 - ISO Factor:4.36 |Y2 - ISO Factor:2.86 |Reference Thermal Speed Rating (Grease):880 |Reference Thermal Speed Rating (Oil):1000 |Cg - Geometry Factor:0.1278 
5119842,23064EJW25W507C08C3,e - ISO Factor:0.23 |Y0 - ISO Factor:2.93 |Y1 - ISO Factor:4.36 |Y2 - ISO Factor:2.86 |Reference Thermal Speed Rating (Grease):880 |Reference Thermal Speed Rating (Oil):1000 |Cg - Geometry Factor:0.1278 
5119866,23144KEJW40IW534C4,e - ISO Factor:0.31 |Y0 - ISO Factor:2.17 |Y1 - ISO Factor:3.24 |Y2 - ISO Factor:2.12 |Reference Thermal Speed Rating (Grease):1000 |Reference Thermal Speed Rating (Oil):1200 |Cg - Geometry Factor:0.1033 
5119868,23260EJW507C08C2,e - ISO Factor:0.34 |Y0 - ISO Factor:2 |Y1 - ISO Factor:2.98 |Y2 - ISO Factor:1.96 |Reference Thermal Speed Rating (Grease):530 |Reference Thermal Speed Rating (Oil):580 |Cg - Geometry Factor:0.1297 
5119862,22248KEJW33W45AC3,e - ISO Factor:0.27 |Y0 - ISO Factor:2.46 |Y1 - ISO Factor:3.67 |Y2 - ISO Factor:2.41 |Reference Thermal Speed Rating (Grease):1100 |Reference Thermal Speed Rating (Oil):1300 |Cg - Geometry Factor:0.1117 
5119861,22248KEJW33W45AC2,e - ISO Factor:0.27 |Y0 - ISO Factor:2.46 |Y1 - ISO Factor:3.67 |Y2 - ISO Factor:2.41 |Reference Thermal Speed Rating (Grease):1100 |Reference Thermal Speed Rating (Oil):1300 |Cg - Geometry Factor:0.1117 
5119870,23260EJW507C08C4,e - ISO Factor:0.34 |Y0 - ISO Factor:2 |Y1 - ISO Factor:2.98 |Y2 - ISO Factor:1.96 |Reference Thermal Speed Rating (Grease):530 |Reference Thermal Speed Rating (Oil):580 |Cg - Geometry Factor:0.1297 
5119875,23140EJW33C2,e - ISO Factor:0.31 |Y0 - ISO Factor:2.15 |Y1 - ISO Factor:3.2 |Y2 - ISO Factor:2.1 |Reference Thermal Speed Rating (Grease):1200 |Reference Thermal Speed Rating (Oil):1400 |Cg - Geometry Factor:0.0978 
5119872,23256EJW507C08C3,e - ISO Factor:0.33 |Y0 - ISO Factor:2.07 |Y1 - ISO Factor:3.08 |Y2 - ISO Factor:2.02 |Reference Thermal Speed Rating (Grease):590 |Reference Thermal Speed Rating (Oil):650 |Cg - Geometry Factor:0.1232 
5119884,23138EJW507C08C4,e - ISO Factor:0.3 |Y0 - ISO Factor:2.26 |Y1 - ISO Factor:3.36 |Y2 - ISO Factor:2.21 |Reference Thermal Speed Rating (Grease):1200 |Reference Thermal Speed Rating (Oil):1400 |Cg - Geometry Factor:0.0954 
5119883,23138EJW507C08C2,e - ISO Factor:0.3 |Y0 - ISO Factor:2.26 |Y1 - ISO Factor:3.36 |Y2 - ISO Factor:2.21 |Reference Thermal Speed Rating (Grease):1200 |Reference Thermal Speed Rating (Oil):1400 |Cg - Geometry Factor:0.0954 
5119881,23130EJW33C2,e - ISO Factor:0.29 |Y0 - ISO Factor:2.32 |Y1 - ISO Factor:3.45 |Y2 - ISO Factor:2.26 |Reference Thermal Speed Rating (Grease):1600 |Reference Thermal Speed Rating (Oil):1900 |Cg - Geometry Factor:0.0879 
5119856,21319EJW33C4,e - ISO Factor:0.22 |Y0 - ISO Factor:3.02 |Y1 - ISO Factor:4.5 |Y2 - ISO Factor:2.96 |Reference Thermal Speed Rating (Grease):3000 |Reference Thermal Speed Rating (Oil):3600 |Cg - Geometry Factor:0.0716 
5119859,22344EJW33W45AC3,e - ISO Factor:0.32 |Y0 - ISO Factor:2.08 |Y1 - ISO Factor:3.1 |Y2 - ISO Factor:2.04 |Reference Thermal Speed Rating (Grease):940 |Reference Thermal Speed Rating (Oil):1100 |Cg - Geometry Factor:0.1096 
5119878,23260EJW525C08,e - ISO Factor:0.34 |Y0 - ISO Factor:2 |Y1 - ISO Factor:2.98 |Y2 - ISO Factor:1.96 |Reference Thermal Speed Rating (Grease):530 |Reference Thermal Speed Rating (Oil):580 |Cg - Geometry Factor:0.1297 
5119882,23130EJW33C4,e - ISO Factor:0.29 |Y0 - ISO Factor:2.32 |Y1 - ISO Factor:3.45 |Y2 - ISO Factor:2.26 |Reference Thermal Speed Rating (Grease):1600 |Reference Thermal Speed Rating (Oil):1900 |Cg - Geometry Factor:0.0879 
5119876,23140EJW33C4,e - ISO Factor:0.31 |Y0 - ISO Factor:2.15 |Y1 - ISO Factor:3.2 |Y2 - ISO Factor:2.1 |Reference Thermal Speed Rating (Grease):1200 |Reference Thermal Speed Rating (Oil):1400 |Cg - Geometry Factor:0.0978 
5119855,21319EJW33C2,e - ISO Factor:0.22 |Y0 - ISO Factor:3.02 |Y1 - ISO Factor:4.5 |Y2 - ISO Factor:2.96 |Reference Thermal Speed Rating (Grease):3000 |Reference Thermal Speed Rating (Oil):3600 |Cg - Geometry Factor:0.0716 
5119889,23264EJW507C08C2,e - ISO Factor:0.34 |Y0 - ISO Factor:1.98 |Y1 - ISO Factor:2.94 |Y2 - ISO Factor:1.93 |Reference Thermal Speed Rating (Grease):490 |Reference Thermal Speed Rating (Oil):530 |Cg - Geometry Factor:0.1354 
5119892,23260KEJW906AC3,e - ISO Factor:0.34 |Y0 - ISO Factor:2 |Y1 - ISO Factor:2.98 |Y2 - ISO Factor:1.96 |Reference Thermal Speed Rating (Grease):530 |Reference Thermal Speed Rating (Oil):580 |Cg - Geometry Factor:0.1297 
5119869,23260EJW507C08C3,e - ISO Factor:0.34 |Y0 - ISO Factor:2 |Y1 - ISO Factor:2.98 |Y2 - ISO Factor:1.96 |Reference Thermal Speed Rating (Grease):530 |Reference Thermal Speed Rating (Oil):580 |Cg - Geometry Factor:0.1297 
5119891,23264EJW507C08C4,e - ISO Factor:0.34 |Y0 - ISO Factor:1.98 |Y1 - ISO Factor:2.94 |Y2 - ISO Factor:1.93 |Reference Thermal Speed Rating (Grease):490 |Reference Thermal Speed Rating (Oil):530 |Cg - Geometry Factor:0.1354 
5119874,23252EMBW507C08C2SLC,e - ISO Factor:0.34 |Y0 - ISO Factor:1.98 |Y1 - ISO Factor:2.95 |Y2 - ISO Factor:1.94 |Reference Thermal Speed Rating (Grease):650 |Reference Thermal Speed Rating (Oil):710 |Cg - Geometry Factor:0.1185 
5119890,23264EJW507C08C3,e - ISO Factor:0.34 |Y0 - ISO Factor:1.98 |Y1 - ISO Factor:2.94 |Y2 - ISO Factor:1.93 |Reference Thermal Speed Rating (Grease):490 |Reference Thermal Speed Rating (Oil):530 |Cg - Geometry Factor:0.1354 
5119886,23260KEJW507C08C4,e - ISO Factor:0.34 |Y0 - ISO Factor:2 |Y1 - ISO Factor:2.98 |Y2 - ISO Factor:1.96 |Reference Thermal Speed Rating (Grease):530 |Reference Thermal Speed Rating (Oil):580 |Cg - Geometry Factor:0.1297 
5119905,23044EJW33C2,e - ISO Factor:0.24 |Y0 - ISO Factor:2.77 |Y1 - ISO Factor:4.13 |Y2 - ISO Factor:2.71 |Reference Thermal Speed Rating (Grease):1400 |Reference Thermal Speed Rating (Oil):1700 |Cg - Geometry Factor:0.1014 
5119903,23264KEJW507C08C3,e - ISO Factor:0.34 |Y0 - ISO Factor:1.98 |Y1 - ISO Factor:2.94 |Y2 - ISO Factor:1.93 |Reference Thermal Speed Rating (Grease):490 |Reference Thermal Speed Rating (Oil):530 |Cg - Geometry Factor:0.1354 
5119906,23044EJW33C4,e - ISO Factor:0.24 |Y0 - ISO Factor:2.77 |Y1 - ISO Factor:4.13 |Y2 - ISO Factor:2.71 |Reference Thermal Speed Rating (Grease):1400 |Reference Thermal Speed Rating (Oil):1700 |Cg - Geometry Factor:0.1014 
5119912,23264EJW525C08,e - ISO Factor:0.34 |Y0 - ISO Factor:1.98 |Y1 - ISO Factor:2.94 |Y2 - ISO Factor:1.93 |Reference Thermal Speed Rating (Grease):490 |Reference Thermal Speed Rating (Oil):530 |Cg - Geometry Factor:0.1354 
5119894,23260KEJW906AC4,e - ISO Factor:0.34 |Y0 - ISO Factor:2 |Y1 - ISO Factor:2.98 |Y2 - ISO Factor:1.96 |Reference Thermal Speed Rating (Grease):530 |Reference Thermal Speed Rating (Oil):580 |Cg - Geometry Factor:0.1297 
5119895,23240EMBW33SLE,e - ISO Factor:0.33 |Y0 - ISO Factor:2.06 |Y1 - ISO Factor:3.06 |Y2 - ISO Factor:2.01 |Reference Thermal Speed Rating (Grease):920 |Reference Thermal Speed Rating (Oil):1000 |Cg - Geometry Factor:0.1003 
5119902,23264KEJW906AC3,e - ISO Factor:0.34 |Y0 - ISO Factor:1.98 |Y1 - ISO Factor:2.94 |Y2 - ISO Factor:1.93 |Reference Thermal Speed Rating (Grease):490 |Reference Thermal Speed Rating (Oil):530 |Cg - Geometry Factor:0.1354 
5119911,23076EJW507C08C4,e - ISO Factor:0.22 |Y0 - ISO Factor:3.08 |Y1 - ISO Factor:4.58 |Y2 - ISO Factor:3.01 |Reference Thermal Speed Rating (Grease):710 |Reference Thermal Speed Rating (Oil):830 |Cg - Geometry Factor:0.1419 
5119918,23052EJW33C4,e - ISO Factor:0.24 |Y0 - ISO Factor:2.85 |Y1 - ISO Factor:4.24 |Y2 - ISO Factor:2.78 |Reference Thermal Speed Rating (Grease):1100 |Reference Thermal Speed Rating (Oil):1300 |Cg - Geometry Factor:0.1126 
5119910,23076EJW507C08C3,e - ISO Factor:0.22 |Y0 - ISO Factor:3.08 |Y1 - ISO Factor:4.58 |Y2 - ISO Factor:3.01 |Reference Thermal Speed Rating (Grease):710 |Reference Thermal Speed Rating (Oil):830 |Cg - Geometry Factor:0.1419 
5119909,23076EJW507C08C2,e - ISO Factor:0.22 |Y0 - ISO Factor:3.08 |Y1 - ISO Factor:4.58 |Y2 - ISO Factor:3.01 |Reference Thermal Speed Rating (Grease):710 |Reference Thermal Speed Rating (Oil):830 |Cg - Geometry Factor:0.1419 
5119916,23034EJW33C2,e - ISO Factor:0.22 |Y0 - ISO Factor:3.02 |Y1 - ISO Factor:4.49 |Y2 - ISO Factor:2.95 |Reference Thermal Speed Rating (Grease):1800 |Reference Thermal Speed Rating (Oil):2200 |Cg - Geometry Factor:0.0933 
5119926,23034EJW33C4,e - ISO Factor:0.22 |Y0 - ISO Factor:3.02 |Y1 - ISO Factor:4.49 |Y2 - ISO Factor:2.95 |Reference Thermal Speed Rating (Grease):1800 |Reference Thermal Speed Rating (Oil):2200 |Cg - Geometry Factor:0.0933 
5119917,23052EJW33C2,e - ISO Factor:0.24 |Y0 - ISO Factor:2.85 |Y1 - ISO Factor:4.24 |Y2 - ISO Factor:2.78 |Reference Thermal Speed Rating (Grease):1100 |Reference Thermal Speed Rating (Oil):1300 |Cg - Geometry Factor:0.1126 
5119922,22336EJW33C2,e - ISO Factor:0.32 |Y0 - ISO Factor:2.13 |Y1 - ISO Factor:3.17 |Y2 - ISO Factor:2.08 |Reference Thermal Speed Rating (Grease):1200 |Reference Thermal Speed Rating (Oil):1300 |Cg - Geometry Factor:0.0988 
5119936,23172EJW507C08C3,e - ISO Factor:0.29 |Y0 - ISO Factor:2.29 |Y1 - ISO Factor:3.42 |Y2 - ISO Factor:2.24 |Reference Thermal Speed Rating (Grease):530 |Reference Thermal Speed Rating (Oil):590 |Cg - Geometry Factor:0.1427 
5119929,23076KEJW507C08C4,e - ISO Factor:0.22 |Y0 - ISO Factor:3.08 |Y1 - ISO Factor:4.58 |Y2 - ISO Factor:3.01 |Reference Thermal Speed Rating (Grease):710 |Reference Thermal Speed Rating (Oil):830 |Cg - Geometry Factor:0.1419 
5119938,23076EJW509C08,e - ISO Factor:0.22 |Y0 - ISO Factor:3.08 |Y1 - ISO Factor:4.58 |Y2 - ISO Factor:3.01 |Reference Thermal Speed Rating (Grease):710 |Reference Thermal Speed Rating (Oil):830 |Cg - Geometry Factor:0.1419 
5119921,22336EJW33C4,e - ISO Factor:0.32 |Y0 - ISO Factor:2.13 |Y1 - ISO Factor:3.17 |Y2 - ISO Factor:2.08 |Reference Thermal Speed Rating (Grease):1200 |Reference Thermal Speed Rating (Oil):1300 |Cg - Geometry Factor:0.0988 
5119914,23264EJW45C,e - ISO Factor:0.34 |Y0 - ISO Factor:1.98 |Y1 - ISO Factor:2.94 |Y2 - ISO Factor:1.93 |Reference Thermal Speed Rating (Grease):490 |Reference Thermal Speed Rating (Oil):530 |Cg - Geometry Factor:0.1354 
5119933,23076KEJW906AC4,e - ISO Factor:0.22 |Y0 - ISO Factor:3.08 |Y1 - ISO Factor:4.58 |Y2 - ISO Factor:3.01 |Reference Thermal Speed Rating (Grease):710 |Reference Thermal Speed Rating (Oil):830 |Cg - Geometry Factor:0.1419 
5119935,23172EJW507C08C2,e - ISO Factor:0.29 |Y0 - ISO Factor:2.29 |Y1 - ISO Factor:3.42 |Y2 - ISO Factor:2.24 |Reference Thermal Speed Rating (Grease):530 |Reference Thermal Speed Rating (Oil):590 |Cg - Geometry Factor:0.1427 
5119928,23076KEJW507C08C3,e - ISO Factor:0.22 |Y0 - ISO Factor:3.08 |Y1 - ISO Factor:4.58 |Y2 - ISO Factor:3.01 |Reference Thermal Speed Rating (Grease):710 |Reference Thermal Speed Rating (Oil):830 |Cg - Geometry Factor:0.1419 
5119904,23264KEJW906AC4,e - ISO Factor:0.34 |Y0 - ISO Factor:1.98 |Y1 - ISO Factor:2.94 |Y2 - ISO Factor:1.93 |Reference Thermal Speed Rating (Grease):490 |Reference Thermal Speed Rating (Oil):530 |Cg - Geometry Factor:0.1354 
5119947,23068EJW507C08C3,e - ISO Factor:0.23 |Y0 - ISO Factor:2.96 |Y1 - ISO Factor:4.4 |Y2 - ISO Factor:2.89 |Reference Thermal Speed Rating (Grease):800 |Reference Thermal Speed Rating (Oil):930 |Cg - Geometry Factor:0.135 
5119946,23068EJW507C08C2,e - ISO Factor:0.23 |Y0 - ISO Factor:2.96 |Y1 - ISO Factor:4.4 |Y2 - ISO Factor:2.89 |Reference Thermal Speed Rating (Grease):800 |Reference Thermal Speed Rating (Oil):930 |Cg - Geometry Factor:0.135 
5119937,23172EJW507C08C4,e - ISO Factor:0.29 |Y0 - ISO Factor:2.29 |Y1 - ISO Factor:3.42 |Y2 - ISO Factor:2.24 |Reference Thermal Speed Rating (Grease):530 |Reference Thermal Speed Rating (Oil):590 |Cg - Geometry Factor:0.1427 
5119958,23172EJW33W45AC3,e - ISO Factor:0.29 |Y0 - ISO Factor:2.29 |Y1 - ISO Factor:3.42 |Y2 - ISO Factor:2.24 |Reference Thermal Speed Rating (Grease):530 |Reference Thermal Speed Rating (Oil):590 |Cg - Geometry Factor:0.1427 
