id,catalog_number,specifications
5059769,GRA106RRB,Bore Size d:1 3/8 in 34.9 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.145 in 3.68 mm|Dimension B1:1.531 in 38.9 mm|Dimension B2:0.673 in 17.1 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:GRA..RRB 
5059727,G1106KRRB,Bore Size d:1 3/8 in 34.9 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.145 in 3.68 mm|Dimension B1:2.016 in 51.2 mm|Dimension B2:0.673 in 17.1 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KRRB 
5059721,G1014KRRB,Bore Size d:7/8 in 22.2 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.152 in 3.86 mm|Dimension B1:1.748 in 44.4 mm|Dimension B2:0.531 in 13.5 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KRRB 
5059719,1112KRRB,Bore Size d:1 3/4 in 44.5 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:2.220 in 56.4 mm|Dimension B2:0.720 in 18.3 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:1..KRRB 
5059763,GRA100RRB,Bore Size d:1 in 25.4 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.142 in 3.61 mm|Dimension B1:1.220 in 31 mm|Dimension B2:0.531 in 13.5 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:GRA..RRB 
5059735,G1112KRRB,Bore Size d:1 3/4 in 44.5 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.179 in 4.55 mm|Dimension B1:2.220 in 56.4 mm|Dimension B2:0.720 in 18.3 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KRRB 
5059745,RA107RRB,Bore Size d:1 7/16 in 36.5 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:1.531 in 38.9 mm|Dimension B2:0.673 in 17.1 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:RA..RRB 
5059747,GN108KLLB,Bore Size d:1 1/2 in 38.1 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Labyrinth Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.182 in 4.62 mm|Dimension B1:2.252 in 57.2 mm|Dimension B2:0.811 in 20.6 mm|Series:Medium-Duty |Weight:0.5 lb 0.2 Kg|Sub Series:GN..KLLB 
5059737,GE60KRRB,Bore Size d:2.362 in 60 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.202 in 5.13 mm|Dimension B1:3.063 in 77.8 mm|Dimension B2:0.874 in 22.2 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:GE..KRRB 
5059779,GE20KRRB,Bore Size d:0.787 in 20 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.135 in 3.43 mm|Dimension B1:1.720 in 43.7 mm|Dimension B2:0.531 in 13.5 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:GE..KRRB 
5059731,G1112KLLB,Bore Size d:1 3/4 in 44.5 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Labyrinth Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.179 in 4.55 mm|Dimension B1:2.220 in 56.4 mm|Dimension B2:0.720 in 18.3 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KLLB 
5059740,GRA107RRB,Bore Size d:1 7/16 in 36.5 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.145 in 3.68 mm|Dimension B1:1.531 in 38.9 mm|Dimension B2:0.673 in 17.1 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:GRA..RRB 
5059772,RA115RRB2,Bore Size d:2 in 50.8 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:1.720 in 43.7 mm|Dimension B2:0.720 in 18.3 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:RA..RRB 
5059791,G1102KPPB3,"Bore Size d:1 1/8 in 28.6 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.165 in 4.19 mm|Dimension B1:1.906 in 48.4 mm|Dimension B2:0.626 in 15.9 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KPPB2,3,4 "
5059639,GYM1203KRRB,Bore Size d:2 3/16 in 55.6 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.202 in 5.13 mm|Series:Medium-Duty |Weight:0.5 lb 0.2 Kg|Sub Series:GYM..KRRB 
5059793,G1102KRRB,Bore Size d:1 1/8 in 28.6 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.156 in 3.96 mm|Dimension B1:1.906 in 48.4 mm|Dimension B2:0.626 in 15.9 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KRRB 
