id,catalog_number,basic_load_ratings
5059831,294/560EM,Static Load Rating:54370 kN 12222000 lbf|Dynamic Load Rating:13010 kN 2926000 lbf|Thermal Speed Rating:280 rpm
5059839,YA010RRB,Static Load Rating:1060 lbf 4700 N|Dynamic Load Rating:2360 lbf 10600 N
5059850,GRA200RRB,Static Load Rating:6400 lbf 28500 N|Dynamic Load Rating:10800 lbf 48000 N
5059845,RA101RRB,Static Load Rating:2500 lbf 11100 N|Dynamic Load Rating:4900 lbf 21800 N
5059865,RAE35RRB,Static Load Rating:3400 lbf 15100 N|Dynamic Load Rating:6400 lbf 28500 N
5059644,GYM1207KRRB,Static Load Rating:9650 lbf 43000 N|Dynamic Load Rating:15600 lbf 69500 N
5059807,1207KRRB,Static Load Rating:8000 lbf 35600 N|Dynamic Load Rating:13200 lbf 58800 N
5059840,GRAE17RRB,Static Load Rating:1060 lbf 4700 N|Dynamic Load Rating:2360 lbf 10600 N
5059686,GYA115RRB2,Static Load Rating:5100 lbf 22700 N|Dynamic Load Rating:8800 lbf 39200 N
5059849,GN200KRRB,Static Load Rating:9300 lbf 41500 N|Dynamic Load Rating:18000 lbf 80000 N
5059848,RA106RRB,Static Load Rating:3400 lbf 15100 N|Dynamic Load Rating:6400 lbf 28500 N
5059646,GYM1208KRRB,Static Load Rating:9650 lbf 43000 N|Dynamic Load Rating:15600 lbf 69500 N
5059854,29464EM,Static Load Rating:18909 kN 4251000 lbf|Dynamic Load Rating:5155 kN 1159000 lbf|Thermal Speed Rating:530 rpm
5059741,GYA107RRB,Static Load Rating:3400 lbf 15100 N|Dynamic Load Rating:6400 lbf 28500 N
5059808,G1207KLLB,Static Load Rating:8000 lbf 35600 N|Dynamic Load Rating:13200 lbf 58500 N
5059852,RA200RRB,Static Load Rating:6400 lbf 28500 N|Dynamic Load Rating:10800 lbf 48000 N
5059866,GN107KLLB,Static Load Rating:4500 lbf 20000 N|Dynamic Load Rating:9100 lbf 40500 N
5059863,GRAE35RRB,Static Load Rating:3400 lbf 15100 N|Dynamic Load Rating:6400 lbf 28500 N
5059870,1102KRRB,Static Load Rating:2500 lbf 11100 N|Dynamic Load Rating:4900 lbf 21800 N
5059884,GRA012RRB,Static Load Rating:1400 lbf 6200 N|Dynamic Load Rating:3200 lbf 14300 N
5059894,29476EM,Static Load Rating:24870 kN 5592000 lbf|Dynamic Load Rating:6490 kN 1460000 lbf|Thermal Speed Rating:440 rpm
5059776,GYAE50RRB,Static Load Rating:5100 lbf 22700 N|Dynamic Load Rating:8800 lbf 39200 N
5060008,2MM9112WI,C0 - Static Radial Rating:30500 N 6860 lbf|Ce - Dynamic Radial Rating:38800 N 8730 lbf
5060041,MM9108K,Ce - Dynamic Radial Rating:18600 N 4180 lbf|C0 - Static Radial Rating:11600 N 2600 lbf
5060045,MM204K,Ce - Dynamic Radial Rating:14200 N 3190 lbf|C0 - Static Radial Rating:6500 N 1460 lbf
5060044,MM203K,Ce - Dynamic Radial Rating:10600 N 2380 lbf|C0 - Static Radial Rating:4700 N 1060 lbf
5059770,GYA106RRB,Static Load Rating:3400 lbf 15100 N|Dynamic Load Rating:6400 lbf 28500 N
5060082,5212K,C0 - Static Radial Rating:88800 N 14000 lbf|Ce - Dynamic Radial Rating:85000 N 19300 lbf
5060080,5211W,C0 - Static Radial Rating:62000 N 16000 lbf|Ce - Dynamic Radial Rating:84000 N 19000 lbf
5060075,5210W,C0 - Static Radial Rating:56000 N 12700 lbf|Ce - Dynamic Radial Rating:66600 N 15000 lbf
5059726,GYM1100KRRB,Static Load Rating:2500 lbf 11100 N|Dynamic Load Rating:4900 lbf 21800 N
5060022,2MM206WI,C0 - Static Radial Rating:14700 N 3310 lbf|Ce - Dynamic Radial Rating:25500 N 5740 lbf
5060111,312W,Ce - Dynamic Radial Rating:122000 N 27500 lbf|C0 - Static Radial Rating:78000 N 17600 lbf
5060114,313K,Ce - Dynamic Radial Rating:104000 N 23600 lbf|C0 - Static Radial Rating:59500 N 13400 lbf
5060101,7321WN MBR,C0 - Static Radial Rating:191000 N 43000 lbf|Ce - Dynamic Radial Rating:226000 N 51000 lbf
5060506,2MM9118WI,C0 - Static Radial Rating:68900 N 15500 lbf|Ce - Dynamic Radial Rating:79600 N 17900 lbf
5060490,2MM207WI,C0 - Static Radial Rating:20000 N 4490 lbf|Ce - Dynamic Radial Rating:33700 N 7580 lbf
5060514,2MM9120WI,C0 - Static Radial Rating:77400 N 17400 lbf|Ce - Dynamic Radial Rating:83600 N 18800 lbf
5060073,5210K,C0 - Static Radial Rating:44400 N 10000 lbf|Ce - Dynamic Radial Rating:62000 N 14000 lbf
5060318,5212W,C0 - Static Radial Rating:72000 N 20000 lbf|Ce - Dynamic Radial Rating:103000 N 23800 lbf
5059814,GYAE55RRB,Static Load Rating:6400 lbf 28500 N|Dynamic Load Rating:10800 lbf 48000 N
5060649,2MM9117WI,C0 - Static Radial Rating:58700 N 13200 lbf|Ce - Dynamic Radial Rating:66700 N 15000 lbf
5060078,5211K,C0 - Static Radial Rating:71000 N 12700 lbf|Ce - Dynamic Radial Rating:76000 N 17300 lbf
5060611,MM9122K,Ce - Dynamic Radial Rating:83400 N 18700 lbf|C0 - Static Radial Rating:66700 N 15000 lbf
5060744,2MM9100WI,C0 - Static Radial Rating:2200 N 490 lbf|Ce - Dynamic Radial Rating:5410 N 1210 lbf
5059881,GYM1300KRRB,Static Load Rating:12000 lbf 53400 N|Dynamic Load Rating:18000 lbf 80200 N
5060588,2MM9107WI,C0 - Static Radial Rating:13700 N 3070 lbf|Ce - Dynamic Radial Rating:21200 N 4760 lbf
