id,catalog_number,abutment_and_fillet_dimensions
5119241,23988EMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:479.000 mm 18.900 in|Da - Outer Ring Backing Diameter:566.000 mm 22.300 in"
5119248,23984EMBW507C08,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:454.000 mm 17.900 in|Da - Outer Ring Backing Diameter:531.000 mm 20.900 in"
5119237,23984EMBW33C3,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:454.000 mm 17.900 in|Da - Outer Ring Backing Diameter:531.000 mm 20.900 in"
5119255,23972KEMBW507C08C4,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:389.000 mm 15.300 in|Da - Outer Ring Backing Diameter:455.000 mm 17.900 in"
5119220,23968EMBW33C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:369.000 mm 14.500 in|Da - Outer Ring Backing Diameter:435.000 mm 17.100 in"
5119270,22260KEMBW33W45A,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:355.000 mm 14.000 in|Da - Outer Ring Backing Diameter:484.000 mm 19.100 in"
5119247,23972EMBW507C08C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:389.000 mm 15.300 in|Da - Outer Ring Backing Diameter:455.000 mm 17.900 in"
5119254,23972KEMBW507C08C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:389.000 mm 15.300 in|Da - Outer Ring Backing Diameter:455.000 mm 17.900 in"
5119232,23968EMBW33W40IC3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:369.000 mm 14.500 in|Da - Outer Ring Backing Diameter:435.000 mm 17.100 in"
5119228,23964EMBW33C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:349.000 mm 13.800 in|Da - Outer Ring Backing Diameter:414.000 mm 16.300 in"
5119268,22264EMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:380.000 mm 15.000 in|Da - Outer Ring Backing Diameter:519.000 mm 20.400 in"
5119259,22260EMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:355.000 mm 14.000 in|Da - Outer Ring Backing Diameter:484.000 mm 19.100 in"
5119280,23976EMBW507C08C3,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:416.000 mm 16.400 in|Da - Outer Ring Backing Diameter:488.000 mm 19.200 in"
5119282,23972EMBW509C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:389.000 mm 15.300 in|Da - Outer Ring Backing Diameter:455.000 mm 17.900 in"
5119272,23972EMBW84W509C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:389.000 mm 15.300 in|Da - Outer Ring Backing Diameter:455.000 mm 17.900 in"
5119300,22352KEMBW33W45AC4,"R - Inner Ring ""To Clear"" Radius:5.000 mm 0.200 in|r - Outer Ring ""To Clear"" Radius:5.000 mm 0.200 in|da - Inner Ring Backing Diameter:321.000 mm 12.600 in|Da - Outer Ring Backing Diameter:475.000 mm 18.700 in"
5119271,23972EMBW509C08,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:389.000 mm 15.300 in|Da - Outer Ring Backing Diameter:455.000 mm 17.900 in"
5119276,22348EMBW525,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:297.000 mm 11.700 in|Da - Outer Ring Backing Diameter:439.000 mm 17.300 in"
5119274,22264KEMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:380.000 mm 15.000 in|Da - Outer Ring Backing Diameter:519.000 mm 20.400 in"
5119252,22256EMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:331.000 mm 13.000 in|Da - Outer Ring Backing Diameter:449.000 mm 17.700 in"
5119262,22348EMBW40IW534C3,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:297.000 mm 11.700 in|Da - Outer Ring Backing Diameter:439.000 mm 17.300 in"
5119244,22252EMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:309.000 mm 12.200 in|Da - Outer Ring Backing Diameter:430.000 mm 16.900 in"
5119217,23988KEMBW33W45A,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:479.000 mm 18.900 in|Da - Outer Ring Backing Diameter:566.000 mm 22.300 in"
5119266,23976EMBW33C3,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:416.000 mm 16.400 in|Da - Outer Ring Backing Diameter:488.000 mm 19.200 in"
5119289,22348EMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:297.000 mm 11.700 in|Da - Outer Ring Backing Diameter:439.000 mm 17.300 in"
5119310,24172EMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:406.000 mm 16.000 in|Da - Outer Ring Backing Diameter:545.000 mm 21.400 in"
5119305,22356KEMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:5.000 mm 0.200 in|r - Outer Ring ""To Clear"" Radius:5.000 mm 0.200 in|da - Inner Ring Backing Diameter:345.000 mm 13.600 in|Da - Outer Ring Backing Diameter:511.000 mm 20.100 in"
5119299,22352KEMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:5.000 mm 0.200 in|r - Outer Ring ""To Clear"" Radius:5.000 mm 0.200 in|da - Inner Ring Backing Diameter:321.000 mm 12.600 in|Da - Outer Ring Backing Diameter:475.000 mm 18.700 in"
5119315,24076EMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:418.000 mm 16.400 in|Da - Outer Ring Backing Diameter:520.000 mm 20.500 in"
5119313,24076KEMBW33W45AC4,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:418.000 mm 16.400 in|Da - Outer Ring Backing Diameter:520.000 mm 20.500 in"
5119297,22352EMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:5.000 mm 0.200 in|r - Outer Ring ""To Clear"" Radius:5.000 mm 0.200 in|da - Inner Ring Backing Diameter:321.000 mm 12.600 in|Da - Outer Ring Backing Diameter:475.000 mm 18.700 in"
5119316,24076EMBW33W45AC4,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:418.000 mm 16.400 in|Da - Outer Ring Backing Diameter:520.000 mm 20.500 in"
5119278,22348KEMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:297.000 mm 11.700 in|Da - Outer Ring Backing Diameter:439.000 mm 17.300 in"
5119317,24172KEMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:406.000 mm 16.000 in|Da - Outer Ring Backing Diameter:545.000 mm 21.400 in"
5119307,22356EMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:5.000 mm 0.200 in|r - Outer Ring ""To Clear"" Radius:5.000 mm 0.200 in|da - Inner Ring Backing Diameter:345.000 mm 13.600 in|Da - Outer Ring Backing Diameter:511.000 mm 20.100 in"
5119323,24080EMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:442.000 mm 17.400 in|Da - Outer Ring Backing Diameter:555.000 mm 21.900 in"
5119311,24172EMBW33W45AC4,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:406.000 mm 16.000 in|Da - Outer Ring Backing Diameter:545.000 mm 21.400 in"
5119324,24080EMBW33W45AC4,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:442.000 mm 17.400 in|Da - Outer Ring Backing Diameter:555.000 mm 21.900 in"
5119333,24168KEMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:385.000 mm 15.200 in|Da - Outer Ring Backing Diameter:525.000 mm 20.700 in"
5119327,24080KEMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:442.000 mm 17.400 in|Da - Outer Ring Backing Diameter:555.000 mm 21.900 in"
5119367,22328KEJW33C3,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:182.000 mm 7.100 in|Da - Outer Ring Backing Diameter:270.000 mm 10.600 in"
5119377,22318KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:116.000 mm 4.600 in|Da - Outer Ring Backing Diameter:171.000 mm 6.700 in"
5119342,22238KEMBW33W40IC4,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:226.000 mm 8.900 in|Da - Outer Ring Backing Diameter:310.000 mm 12.200 in"
5119371,22324EJW33C2,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:157.000 mm 6.200 in|Da - Outer Ring Backing Diameter:234.000 mm 9.200 in"
5119325,24172KEMBW879BC7,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:406.000 mm 16.000 in|Da - Outer Ring Backing Diameter:545.000 mm 21.400 in"
5119386,22328EJW33C2,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:182.000 mm 7.100 in|Da - Outer Ring Backing Diameter:270.000 mm 10.600 in"
5119384,22324EJW33C4,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:157.000 mm 6.200 in|Da - Outer Ring Backing Diameter:234.000 mm 9.200 in"
5119385,22328EJW33C4,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:182.000 mm 7.100 in|Da - Outer Ring Backing Diameter:270.000 mm 10.600 in"
5119375,22318EJW33C4,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:116.000 mm 4.600 in|Da - Outer Ring Backing Diameter:171.000 mm 6.700 in"
5119348,23976EMBW507C08C2,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:416.000 mm 16.400 in|Da - Outer Ring Backing Diameter:488.000 mm 19.200 in"
5119365,22328KEJW33C2,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:182.000 mm 7.100 in|Da - Outer Ring Backing Diameter:270.000 mm 10.600 in"
5119353,22324EJW33W800C4,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:157.000 mm 6.200 in|Da - Outer Ring Backing Diameter:234.000 mm 9.200 in"
5119369,22324KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:157.000 mm 6.200 in|Da - Outer Ring Backing Diameter:234.000 mm 9.200 in"
5119399,22326KEJW33C3,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:169.000 mm 6.700 in|Da - Outer Ring Backing Diameter:252.000 mm 9.900 in"
5119368,22328EJW33W800C4,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:182.000 mm 7.100 in|Da - Outer Ring Backing Diameter:270.000 mm 10.600 in"
5119393,22326EJW33C4,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:169.000 mm 6.700 in|Da - Outer Ring Backing Diameter:252.000 mm 9.900 in"
5119412,22230KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:179.000 mm 7.000 in|Da - Outer Ring Backing Diameter:246.000 mm 9.700 in"
5119391,22326EJW33C2,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:169.000 mm 6.700 in|Da - Outer Ring Backing Diameter:252.000 mm 9.900 in"
5119403,23230EJW33C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:178.000 mm 7.000 in|Da - Outer Ring Backing Diameter:247.000 mm 9.700 in"
5119397,22326EJW33W22C3,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:169.000 mm 6.700 in|Da - Outer Ring Backing Diameter:252.000 mm 9.900 in"
5119410,22230EJW33C4,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:179.000 mm 7.000 in|Da - Outer Ring Backing Diameter:246.000 mm 9.700 in"
5119400,22326EJW33W800C4,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:169.000 mm 6.700 in|Da - Outer Ring Backing Diameter:252.000 mm 9.900 in"
5119408,22230EJW33C2,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:179.000 mm 7.000 in|Da - Outer Ring Backing Diameter:246.000 mm 9.700 in"
5119429,23148EMBW33W45AC08,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:276.000 mm 10.900 in|Da - Outer Ring Backing Diameter:364.000 mm 14.300 in"
5119440,24034EJW841C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:189.000 mm 7.400 in|Da - Outer Ring Backing Diameter:240.000 mm 9.500 in"
5119414,22230KEJW33W40IC4,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:179.000 mm 7.000 in|Da - Outer Ring Backing Diameter:246.000 mm 9.700 in"
5119413,22230KEJW33C4,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:179.000 mm 7.000 in|Da - Outer Ring Backing Diameter:246.000 mm 9.700 in"
5119439,24034EJW841C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:189.000 mm 7.400 in|Da - Outer Ring Backing Diameter:240.000 mm 9.500 in"
5119456,22234KEJW33W40IC4,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:204.000 mm 8.000 in|Da - Outer Ring Backing Diameter:281.000 mm 11.100 in"
5119432,22320EJW33W800C4,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:131.000 mm 5.100 in|Da - Outer Ring Backing Diameter:193.000 mm 7.600 in"
5119446,24124EJW33W21A,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:135.000 mm 5.300 in|Da - Outer Ring Backing Diameter:182.000 mm 7.200 in"
5119363,22318EJW33W800C4,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:116.000 mm 4.600 in|Da - Outer Ring Backing Diameter:171.000 mm 6.700 in"
5119452,22232KEJW33C4,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:192.000 mm 7.500 in|Da - Outer Ring Backing Diameter:264.000 mm 10.400 in"
5119469,22315EJW33C2,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:97.000 mm 3.800 in|Da - Outer Ring Backing Diameter:144.000 mm 5.700 in"
5119428,22226EJW841C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:155.000 mm 6.100 in|Da - Outer Ring Backing Diameter:210.000 mm 8.300 in"
5119458,24034KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:189.000 mm 7.400 in|Da - Outer Ring Backing Diameter:240.000 mm 9.500 in"
5119451,22232EJW33C2,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:192.000 mm 7.500 in|Da - Outer Ring Backing Diameter:264.000 mm 10.400 in"
5119460,24034EJW33C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:189.000 mm 7.400 in|Da - Outer Ring Backing Diameter:240.000 mm 9.500 in"
5119449,22232KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:192.000 mm 7.500 in|Da - Outer Ring Backing Diameter:264.000 mm 10.400 in"
5119472,22234EJW33C4,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:204.000 mm 8.000 in|Da - Outer Ring Backing Diameter:281.000 mm 11.100 in"
5119437,26348EMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:286.000 mm 11.270 in|Da - Outer Ring Backing Diameter:410.000 mm 16.150 in"
5119474,22234KEJW33C3,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:204.000 mm 8.000 in|Da - Outer Ring Backing Diameter:281.000 mm 11.100 in"
5119457,24034EJW901C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:189.000 mm 7.400 in|Da - Outer Ring Backing Diameter:240.000 mm 9.500 in"
5119461,24034EJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:189.000 mm 7.400 in|Da - Outer Ring Backing Diameter:240.000 mm 9.500 in"
5119462,24034EJW33C2,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:189.000 mm 7.400 in|Da - Outer Ring Backing Diameter:240.000 mm 9.500 in"
5119480,22315EJW33W800C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:97.000 mm 3.800 in|Da - Outer Ring Backing Diameter:144.000 mm 5.700 in"
5119473,22234EJW33C2,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:204.000 mm 8.000 in|Da - Outer Ring Backing Diameter:281.000 mm 11.100 in"
5119482,26344KEMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:265.000 mm 10.420 in|Da - Outer Ring Backing Diameter:372.000 mm 14.630 in"
5119484,22315KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:97.000 mm 3.800 in|Da - Outer Ring Backing Diameter:144.000 mm 5.700 in"
5119475,22234KEJW33C4,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:204.000 mm 8.000 in|Da - Outer Ring Backing Diameter:281.000 mm 11.100 in"
5119478,22315EJW33C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:97.000 mm 3.800 in|Da - Outer Ring Backing Diameter:144.000 mm 5.700 in"
5119479,22315EJW841,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:97.000 mm 3.800 in|Da - Outer Ring Backing Diameter:144.000 mm 5.700 in"
5119510,22330EJW33C4,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:194.000 mm 7.600 in|Da - Outer Ring Backing Diameter:288.000 mm 11.300 in"
5119486,26344EMBW33W45AC3,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.160 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.160 in|da - Inner Ring Backing Diameter:265.000 mm 10.420 in|Da - Outer Ring Backing Diameter:372.000 mm 14.630 in"
5119523,22320EJW33W22C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:131.000 mm 5.100 in|Da - Outer Ring Backing Diameter:193.000 mm 7.600 in"
5119522,23032EJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:180.000 mm 7.100 in|Da - Outer Ring Backing Diameter:224.000 mm 8.800 in"
5119508,22330EJW33W800C4,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.120 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.120 in|da - Inner Ring Backing Diameter:194.000 mm 7.600 in|Da - Outer Ring Backing Diameter:288.000 mm 11.300 in"
5119519,22320EJW33C4,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:131.000 mm 5.100 in|Da - Outer Ring Backing Diameter:193.000 mm 7.600 in"
