id,catalog_number,abutment_and_fillet_dimensions
5060490,2MM207WI,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:42.200 mm 1.660 in|Da - Outer Ring Backing Diameter:65.300 mm 2.570 in"
5060514,2MM9120WI,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:109.900 mm 4.330 in|Da - Outer Ring Backing Diameter:140.800 mm 5.550 in"
5060073,5210K,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:56.769 mm 2.235 in|Da - Outer Ring Backing Diameter:81.788 mm 3.220 in"
5060318,5212W,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:69.596 mm 2.740 in|Da - Outer Ring Backing Diameter:99.695 mm 3.925 in"
5060649,2MM9117WI,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:94.100 mm 3.710 in|Da - Outer Ring Backing Diameter:122.100 mm 4.810 in"
5060078,5211K,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:62.865 mm 2.475 in|Da - Outer Ring Backing Diameter:91.948 mm 3.620 in"
5060611,MM9122K,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.079 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.079 in|da - Inner Ring Backing Diameter:122.300 mm 4.820 in|Da - Outer Ring Backing Diameter:158.400 mm 6.240 in"
5060744,2MM9100WI,"R - Inner Ring ""To Clear"" Radius:0.300 mm 0.012 in|r - Outer Ring ""To Clear"" Radius:0.300 mm 0.012 in|da - Inner Ring Backing Diameter:13.300 mm 0.530 in|Da - Outer Ring Backing Diameter:23.200 mm 0.920 in"
5060588,2MM9107WI,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:40.600 mm 1.600 in|Da - Outer Ring Backing Diameter:56.600 mm 2.230 in"
5060747,2MM202WI,"R - Inner Ring ""To Clear"" Radius:0.600 mm 0.024 in|r - Outer Ring ""To Clear"" Radius:0.600 mm 0.024 in|da - Inner Ring Backing Diameter:18.900 mm 0.750 in|Da - Outer Ring Backing Diameter:31.100 mm 1.230 in"
5060832,2MM203WI,"R - Inner Ring ""To Clear"" Radius:0.600 mm 0.024 in|r - Outer Ring ""To Clear"" Radius:0.600 mm 0.024 in|da - Inner Ring Backing Diameter:21.500 mm 0.850 in|Da - Outer Ring Backing Diameter:35.700 mm 1.410 in"
5060795,2MM9109WI,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:51.300 mm 2.020 in|Da - Outer Ring Backing Diameter:69.300 mm 2.730 in"
5060862,2MM9124WI,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.079 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.079 in|da - Inner Ring Backing Diameter:132.500 mm 5.220 in|Da - Outer Ring Backing Diameter:168.300 mm 6.630 in"
5060837,2MM204WI,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:25.800 mm 1.020 in|Da - Outer Ring Backing Diameter:41.500 mm 1.640 in"
5060816,MM205K,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:30.900 mm 1.220 in|Da - Outer Ring Backing Diameter:47.100 mm 1.860 in"
5060948,2MM219WI,"R - Inner Ring ""To Clear"" Radius:2.100 mm 0.079 in|r - Outer Ring ""To Clear"" Radius:2.100 mm 0.079 in|da - Inner Ring Backing Diameter:108.600 mm 4.280 in|Da - Outer Ring Backing Diameter:157.100 mm 6.190 in"
5061084,MM208K,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:47.200 mm 1.860 in|Da - Outer Ring Backing Diameter:73.200 mm 2.880 in"
5060860,MM9124K,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.079 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.079 in|da - Inner Ring Backing Diameter:132.500 mm 5.220 in|Da - Outer Ring Backing Diameter:168.300 mm 6.630 in"
5060945,MM207K,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:42.200 mm 1.660 in|Da - Outer Ring Backing Diameter:65.300 mm 2.570 in"
5060890,3MM205WI,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:30.900 mm 1.220 in|Da - Outer Ring Backing Diameter:47.100 mm 1.860 in"
5060886,2MM205WI,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:30.900 mm 1.220 in|Da - Outer Ring Backing Diameter:47.100 mm 1.860 in"
5061130,2MM9316WI,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:86.100 mm 3.390 in|Da - Outer Ring Backing Diameter:104.400 mm 4.110 in"
5061134,MM209K,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:52.300 mm 2.060 in|Da - Outer Ring Backing Diameter:78.200 mm 3.080 in"
5060817,MM206K,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:36.500 mm 1.440 in|Da - Outer Ring Backing Diameter:56.000 mm 2.210 in"
5061158,2MM208WI,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:47.200 mm 1.860 in|Da - Outer Ring Backing Diameter:73.200 mm 2.880 in"
5061149,7406W,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:39.100 mm 1.540 in|Da - Outer Ring Backing Diameter:81.000 mm 3.190 in"
5061104,3MM306WI,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:37.500 mm 1.480 in|Da - Outer Ring Backing Diameter:65.200 mm 2.570 in"
5061142,7310WN,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.079 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.079 in|da - Inner Ring Backing Diameter:72.340 mm 2.848 in|Da - Outer Ring Backing Diameter:88.650 mm 3.490 in"
5061071,MM9126K,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.079 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.079 in|da - Inner Ring Backing Diameter:144.200 mm 5.680 in|Da - Outer Ring Backing Diameter:186.600 mm 7.350 in"
5061174,MM212K,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:69.300 mm 2.730 in|Da - Outer Ring Backing Diameter:101.400 mm 3.990 in"
5061136,7408W,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.079 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.079 in|da - Inner Ring Backing Diameter:50.000 mm 1.970 in|Da - Outer Ring Backing Diameter:100.100 mm 3.940 in"
5061183,7207WN,"R - Inner Ring ""To Clear"" Radius:1.100 mm 0.043 in|r - Outer Ring ""To Clear"" Radius:1.100 mm 0.043 in|da - Inner Ring Backing Diameter:38.900 mm 1.530 in|Da - Outer Ring Backing Diameter:65.000 mm 2.560 in"
5061147,7405W,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:34.000 mm 1.340 in|Da - Outer Ring Backing Diameter:71.100 mm 2.800 in"
