id;catalog_number;attr
154312;TLK450334;nan
154316;TLK4503716;nan
154320;TLK4504065;nan
154324;TLK4504275;nan
154328;TLK4504716;nan
154332;TLK450512;nan
154336;TLK4505585;nan
154340;TLK450612;nan
154348;TLK45071516;nan
154352;TLK4508;nan
154356;TLK45095135;nan
154360;TLK5002050;nan
154364;TLK5002860;nan
154368;TLK5003875;nan
154372;TLK5004890;nan
154376;TLK500605105;nan
154416;FA5504;nan
154437;RA5502;nan
154441;V2B6280AL;nan
154445;V4B6280AL;nan
154461;CS6002;nan
154505;6202582;nan
154529;6202805;nan
154549;6202920;nan
154565;8011360;nan
154581;CT1203-L;nan
154597;CT2205;nan
154609;CT3401;nan
817941;DPA2080L120.00;nan
154617;DPB2040L120.00;nan
817949;DPC2060L120.00;nan
817953;DPD2060L120.00;nan
154637;DPE2100L120.00;nan
154641;GB1002-5G120.00;nan
154645;GB1006-3G120.00;nan
817959;GB3001-5G120.00;nan
154665;GC2040-3G120.00;nan
154669;GC2100-9G120.00;nan
154677;GC3635-3G120.00;nan
154681;GC3680-9G120.00;nan
154685;GR1001-3A120.00;nan
154693;GR1101-3S120.00;nan
154697;GS1025-9G120.00;nan
154705;GT1040-3G120.00;nan
154725;MB1004;nan
154729;MC0003;nan
818004;NC1001L120.00;nan
818008;NC1005L120.00;nan
818012;NC1035L120.00;nan
818016;NC1080L120.00;nan
818024;NC2025L120.00;nan
818028;NC2060L120.00;nan
154765;NC3540L120.00;nan
154769;NC3625L120.00;nan
154821;5700420;nan
154825;5700457;nan
154829;5700474;nan
154849;6202990042;nan
154853;6202990050;nan
154861;6202990032U;nan
154885;1032070;nan
154921;4907009;nan
154937;4908030;nan
154945;4911067;nan
154949;4911072;nan
154953;4912062;nan
154961;4912070;nan
154965;4917003;nan
154969;4917007;nan
154977;4930101;nan
154998;4940001;nan
155002;4940005;nan
155010;4940013;nan
155014;4940017;nan
155018;4940022;nan
155022;4940026;nan
155094;5260540;nan
155131;0408090;nan
2863796;L04FULLWELD240V;nan
817552;493170030M;nan
817569;L04BY40ASG;nan
817598;4940091;nan
817602;5700310;nan
817622;5700613;nan
817642;B0803;nan
817650;B121035;nan
817658;B121080;nan
817670;B122100;nan
817678;B122114;nan
817690;B122214;nan
817698;B122314;nan
817702;B122415;nan
817706;B122515;nan
817714;B151070;nan
817726;B152212;nan
817734;B152715;nan
817754;B301120;nan
817762;B302108;nan
817770;B302208;nan
817774;B302500;nan
817782;B401035;nan
817786;B401045;nan
817794;B401090;nan
817810;B402014;nan
817814;B402107;nan
817834;B402308;nan
817842;B402615;nan
817846;B601028;nan
817850;B601045;nan
817854;B601075;nan
817858;B601110;nan
817874;B602110;nan
817894;B602415;nan
817898;B602700;nan
817902;B801016;nan
817914;B802004;nan
817922;B802102;nan
817926;B802110;nan
817930;B802300;nan
817942;DPA2081L120.00;nan
154621;DPB2100L120.00;nan
817954;DPD2080L120.00;nan
154652;GB3000-5G120.00;nan
817962;H0243;nan
817990;H2602;nan
154747;NC1100L120.00;nan
154759;NC2040L120.00;nan
818042;T121028;nan
818046;T121048;nan
818050;T121170;nan
818058;T122211;nan
818074;T122800;nan
818078;T151095;nan
818102;T301075;nan
818106;T301130;nan
818110;T301170;nan
818114;T301220;nan
818122;T302014;nan
818134;T302312;nan
818138;T302412;nan
818142;T302607;nan
818146;T401018;nan
818150;T401085;nan
818158;T401400;nan
818170;T402508;nan
818174;T402715;nan
818178;T601018;nan
818186;T601063;nan
818190;T601095;nan
818198;T601300;nan
818206;T602211;nan
818210;T602412;nan
818218;T8015;nan
818238;T82103;nan
818242;T82114;nan
818246;T82206;nan
818258;T82314;nan
818266;T901019;nan
817535;04100202;nan
817547;493120030M;nan
817551;493160030M;nan
817576;L04OP802M;nan
817580;L04OP808M;nan
817597;4940079;nan
817613;5700602;nan
817633;B0501;nan
817637;B0681;nan
817677;B122112;nan
817681;B122202;nan
817693;B122304;nan
817697;B122312;nan
817717;B151140;nan
817753;B301100;nan
817757;B302102;nan
817761;B302107;nan
817785;B401042;nan
817789;B401060;nan
817793;B401080;nan
817801;B401160;nan
817817;B402111;nan
817853;B601060;nan
817861;B601160;nan
817865;B602012;nan
817869;B602103;nan
817877;B602114;nan
817885;B602212;nan
817889;B602304;nan
817905;B801020;nan
817913;B801090;nan
817929;B802208;nan
817933;B901010;nan
154620;DPB2080L120.00;nan
817961;GS1035-0G120.00;nan
817973;H1552;nan
817985;H2002;nan
817993;H2802;nan
817997;H3003;nan
818013;NC1040L120.00;nan
818033;NC3635L120.00;nan
818049;T121095;nan
818069;T122704;nan
818081;T151260;nan
818097;T301032;nan
818101;T301065;nan
818105;T301110;nan
818113;T301200;nan
818117;T301280;nan
818125;T302202;nan
818129;T302212;nan
818133;T302308;nan
818137;T302407;nan
818145;T302715;nan
818149;T401048;nan
818153;T401300;nan
818157;T401380;nan
818169;T402500;nan
818173;T402714;nan
818193;T601190;nan
818197;T601280;nan
818201;T601360;nan
818205;T602209;nan
818209;T602315;nan
818213;T602715;nan
818229;T8075;nan
818233;T8100;nan
818237;T82014;nan
818241;T82112;nan
818245;T82203;nan
818257;T82312;nan
818261;T901011;nan
1435806;4999230;nan
1435814;4999013;nan
1435818;4912073;nan
1435822;4912066C;nan
1435834;4999344;nan
1435838;4905710;nan
1435842;4905704;nan
1435846;4905715;nan
1435866;TTQM0516;nan
1435882;4940118;nan
1435886;4940122;nan
1435890;4999423;nan
1435894;6410031;nan
1435906;L04C85BR;nan
1435910;L04BE95BBR;nan
1435914;L04BL853L;nan
1435918;L04BR809.5M;nan
1435922;L04G8912.5M;nan
1435930;L04G89ARC;nan
1435934;L04OP808MR;nan
1435942;L04I85ARXH;nan
1435946;L04R9018;nan
1435950;4905018;nan
1435954;4905319;nan
1435958;4908002;nan
1435962;4910200;nan
1435966;4999011;nan
1435974;4999250;nan
1435978;4912069C;nan
1435986;L04OG85BRX;nan
1435990;4999533;nan
1435994;L04OP80CRXX;nan
1435998;L04C852T;nan
1436026;6202835UP;nan
1436038;4927008;nan
1436058;6202430UP;nan
1436070;4941104;nan
1436074;4940136;nan
1436094;4940118C;nan
1436098;B171180;nan
1436106;B171340;nan
1436110;B171440;nan
1436114;B171520;nan
1436118;B171600;nan
1436122;L04BE956M;nan
1436126;L04BE9510R;nan
1436138;L04BR805M;nan
1436142;L04BR80Z;nan
1436146;L04C852M;nan
1436150;L04C858;nan
1436174;L04OP8010M;nan
1436178;L04OP807M;nan
1436182;L04OP80BR;nan
1436186;L04OG8585;nan
1436194;L04R906M;nan
1436202;L04G8915MRS;nan
1436206;L04G898MS;nan
1436210;L04C856.3M;nan
1436214;L04OG859M;nan
1436218;L04G89BRXH;nan
1436226;L04BL8510M;nan
1436234;L04G8910MRS;nan
1436238;6202570UP;nan
1436242;L14R90AX;nan
1436246;5700362;nan
1436250;L04OG858R;nan
154905;4816019;nan
817837;B402408;nan
818165;T402312;nan
153736;CS4003;nan
153752;63JA0050;nan
153756;63JA0075;nan
153780;63SF0175;nan
153796;63SH0125;nan
153816;6980160X;nan
153840;RB0001;nan
153844;SB0002;nan
153848;SB0006;nan
153852;SB0018;nan
153856;SB0033;nan
153880;TLK1101523;nan
153900;TLK1102434;nan
154004;TLK13270110;nan
154096;TLK200112;nan
154172;TLK2006090;nan
154344;TLK4507;nan
154380;HR1504;nan
154392;FA2001;nan
154396;FA2010;nan
154400;FA2751;nan
154404;FA3250;nan
154408;FA3502;nan
154421;RA2004;nan
154425;RA3002;nan
154453;VA6001;nan
154457;CS4002;nan
154477;6202200;nan
154485;6202360;nan
154489;6202440;nan
154493;6202520;nan
154501;6202572;nan
154509;6202592;nan
154513;6202645;nan
154517;6202680;nan
154521;6202720;nan
154525;6202770;nan
154533;6202820;nan
154537;6202840;nan
154553;6940320;nan
154569;CT1101-L;nan
154573;CT1104;nan
154585;CT1206;nan
154589;CT2102;nan
154593;CT2201;nan
154601;CT3102;nan
154605;CT3201;nan
154621;DPB2100L120.00;nan
154633;DPE2040L120.00;nan
154649;GB2002-5G120.00;nan
154657;GC1050-3G120.00;nan
817960;GC1100-9G120.00;nan
154673;GC3550-5G120.00;nan
154689;GR1100-3G120.00;nan
154701;GS1060-0G120.00;nan
154713;LT3001;nan
154717;LX0002;nan
154721;LX0015;nan
154749;NC1140L120.00;nan
818020;NC2001L120.00;nan
818036;NC3660L120.00;nan
154781;RT1601;nan
154789;1448000;nan
154797;5700208;nan
154813;5700355;nan
154817;5700380;nan
154833;5800350;nan
154841;5850300;nan
154845;6202990032;nan
154857;6202990058;nan
154869;1032018;nan
154889;1032133;nan
154893;1032143;nan
154897;1032155;nan
154909;4905302;nan
154925;4907024;nan
154933;4908015;nan
154957;4912066;nan
154981;4934015;nan
154994;4935018;nan
155006;4940009;nan
155026;4940030;nan
155030;4940050;nan
155038;4940058;nan
155042;4940062;nan
155050;4940071;nan
155054;4940075;nan
155062;5050003;nan
155070;5050012;nan
155074;5050911;nan
155078;5218018;nan
155082;5218033;nan
155086;5260200;nan
155098;5260572;nan
155102;5299010;nan
155106;0202003;nan
155110;0202007;nan
155114;0405020;nan
155119;0405082;nan
668050;0410100;nan
155139;0418030;nan
155147;4081050;nan
155151;0410300-25;nan
1435807;4905006;nan
1435815;4999014;nan
1435823;4999143;nan
1435839;4905703;nan
1435843;4905706;nan
1435871;4909069;nan
1435875;4940095;nan
1435879;4940111;nan
1435883;4940119;nan
1435887;4940123;nan
1435891;6410013;nan
1435903;6410131;nan
1435911;L04BE96.3;nan
1435919;L04BR80ZX;nan
1435923;L04G8916M;nan
1435927;L04G8964;nan
1435931;L04G89BXL;nan
1435935;L04R855;nan
1435951;4905033;nan
1435955;4905402;nan
1435959;4909063;nan
1435963;4910300;nan
1435967;4999023;nan
1435971;4999031;nan
1435975;4910100C;nan
1435979;L04BR806X4;nan
1435983;L04G8916MR;nan
1435987;4999514;nan
1435991;4999557;nan
1435995;L04I85BX;nan
1436019;6202845UP;nan
1436031;4927001;nan
1436035;4927005;nan
1436047;4928007;nan
1436055;6202350UP;nan
1436059;6202440UP;nan
1436067;4941101;nan
1436071;4941105;nan
1436075;1232179;nan
1436079;6202566UP;nan
1436087;6202594UP;nan
1436095;L04BE95Z;nan
1436099;B171190;nan
1436103;B171260;nan
1436111;B171460;nan
1436115;B171540;nan
1436119;L04BE9510M;nan
1436127;L04BE958R;nan
1436131;L04BL858M;nan
1436135;L04BL85Z;nan
1436139;L04BR8058;nan
1436143;L04C8510M;nan
1436155;L04G89C;nan
1436159;L04G89ARSG;nan
1436163;L04I85C;nan
1436175;L04OP8012M;nan
817527;0408500;nan
817531;0430100;nan
817539;04090302M;nan
817543;493040030M;nan
817559;L01Z20;nan
817564;L02B5;nan
817568;L03Z10;nan
817572;L04G89ASG;nan
817585;0408501;nan
817589;0430101;nan
817593;04081080;nan
817605;5700366;nan
817609;5700541;nan
817617;5700606;nan
817621;5700612;nan
817629;B0241;nan
817645;B1001;nan
817649;B121030;nan
817653;B121050;nan
817657;B121070;nan
817661;B121110;nan
817665;B121150;nan
817669;B121240;nan
817689;B122212;nan
817701;B122408;nan
817705;B122507;nan
817709;B122700;nan
817713;B1403;nan
817721;B151180;nan
817725;B151240;nan
817729;B152315;nan
817733;B152615;nan
817737;B1851;nan
817741;B2403;nan
817745;B301035;nan
817749;B301060;nan
817765;B302115;nan
817769;B302207;nan
817773;B302307;nan
817777;B401024;nan
817781;B401032;nan
817797;B401110;nan
817805;B401200;nan
817809;B402012;nan
817813;B402104;nan
817841;B402608;nan
817845;B601025;nan
817857;B601100;nan
817881;B602204;nan
817897;B602607;nan
817901;B801014;nan
817909;B801030;nan
817925;B802108;nan
817941;DPA2080L120.00;nan
817949;DPC2060L120.00;nan
817953;DPD2060L120.00;nan
154636;DPE2080L120.00;nan
817965;H0443;nan
817969;H1103;nan
817977;H1653;nan
817981;H1853;nan
817989;H2402;nan
818001;L04CON13S;nan
818005;NC1002L120.00;nan
818009;NC1006L120.00;nan
154746;NC1081L120.00;nan
818025;NC2035L120.00;nan
154762;NC2080L120.00;nan
818041;T121024;nan
818045;T121042;nan
818053;T121260;nan
818057;T122111;nan
818065;T122508;nan
818073;T122715;nan
818077;T151090;nan
818085;T152408;nan
818089;T152607;nan
818093;T301020;nan
818109;T301160;nan
818121;T301360;nan
818141;T302515;nan
818161;T402209;nan
818177;T601015;nan
818181;T601024;nan
818185;T601048;nan
818189;T601085;nan
818217;T8012;nan
818221;T8042;nan
818225;T8055;nan
818249;T82214;nan
818253;T82306;nan
818265;T901016;nan
818269;T901024;nan
818273;T901032;nan
818277;T902006;nan
818281;T902103;nan
668050;0410100;nan
668054;0410070;"""Color ""=>""Red"", ""Material""=>""Composite Polyester/Polyurethane"", ""Top Width""=>""1 1/4\"", 32mm"", ""Compliancy""=>""RoHS"", ""Profile Size""=>""C/22"", ""Profile shape""=>""Vee"", ""Minimum Pulley Diameter""=>""13.2\"", 335mm"", ""Maximum Ride Height Above Rim""=>""0.21\"" (5.3mm)"", ""Minimum Ride Height Above Rim""=>""0.08\"" (2.0mm)"""
668058;0410090;"""Color""=>""Red"", ""Material""=>""Composite Polyester/Polyurethane"", ""Top Width""=>""1 1/4\"", 32mm"", ""Compliancy""=>""RoHS"", ""Profile size""=>""D/32"", ""Profile shape""=>""Vee"", ""Minimum Pulley Diameter""=>""13.2\"", 335mm"", ""Maximum Ride Height Above Rim""=>""0.21\"" (5.3mm)"", ""Minimum Ride Height Above Rim""=>""0.08\"" (2.0mm)"""
155112;0314050;nan
668066;0411300;nan
668070;04151070;nan
668074;0419270;nan
668078;PowerTwist;nan
1436179;L04OP8010MR;nan
1436183;L04OP80BRXH;nan
1436195;L04R900604;nan
1436199;L04G8915MS;nan
1436207;L04I85Z;nan
1436211;L04BL8512.7;nan
1436215;L04OG8514M;nan
1436219;L04OG855MR;nan
1436231;L04G8913M;nan
1436239;6202580UP;nan
