id,catalog_number,dxf
773819,LP83000OLS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_LP80000 TW.dxf
773807,F83000OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.dxf
773803,83050OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.dxf
773904,H18005M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_H16 18 19000 .dxf
773896,HS18000M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_H16 18 19000 .dxf
773884,DP7650OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.dxf
773860,D83075OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D83000 TW.dxf
773411,L40351631,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 4000 SERIES TW.dxf
773924,TH7445OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TH7000 SERIES TW.dxf
773439,L5700,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 5700-X .dxf
773483,CA38106M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_CA3X106 X.dxf
773667,EA33112M12D,https://mro-host.herokuapp.com/file_download/?name=reelcraft_EA38112 M12D HOSE REEL ASSY.dxf
773455,TW84100OLPT,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW80000 OLPT SW.dxf
773627,4435OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_4000 OXP TW.dxf
773567,RT402-OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.dxf
773531,TW7450OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW7000 SERIES SW.dxf
773715,A5825EMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.dxf
773719,5630EMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.dxf
773707,4600OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_4000 OXP TW.dxf
773579,RT605-OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.dxf
773735,5600OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.dxf
773740,5435OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5X05 OXP TW.dxf
773731,5400OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.dxf
773591,RT803-OLB,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.dxf
773603,RT625-OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.dxf
773765,7925OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 SERIES OLP TW.dxf
773761,7650OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 SERIES OXP TW.dxf
773797,81075OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.dxf
773805,FD83000OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D83000 TW.dxf
773806,FD84000OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D84000 TW.dxf
773903,H18000M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_H16 18 19000 .dxf
773891,DP7600OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.dxf
773887,DP7850OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.dxf
773810,82000OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.dxf
773895,DP7400OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.dxf
773879,DP5800OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP5000 OXP NARROW.dxf
773883,DP7450OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.dxf
773951,5600OMS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.dxf
773955,5635ELSSW5,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.dxf
773947,82000OMS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.dxf
773718,5625EHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.dxf
773991,4420OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_4000 OXP TW.dxf
773710,5400EHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.dxf
773927,TH86000OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TH80000 OMP TW.dxf
773759,7650OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 SERIES OXP TW.dxf
773568,RT402-OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.dxf
773728,5635OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.dxf
773722,A5825OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.dxf
773768,7600OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 SERIES OXP TW.dxf
773901,H16000H,https://mro-host.herokuapp.com/file_download/?name=reelcraft_H16 18 19000 .dxf
773796,F83050OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.dxf
773869,DP5400OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP5000 OXP NARROW.dxf
773808,81000OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.dxf
773804,83050OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.dxf
773889,DP7400OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.dxf
773772,7800OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 SERIES OXP TW.dxf
773873,DP5600OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP5000 OXP NARROW.dxf
773905,H19000M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_H16 18 19000 .dxf
773881,DP5835OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP5000 OXP NARROW.dxf
773925,TH86050OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TH80000 OMP TW.dxf
2793405,G 3050,https://mro-host.herokuapp.com/file_download/?name=reelcraft_G3050 SERIES.dxf
2793449,L 5750 103 4,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 5700-X .dxf
773949,83000OMS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.dxf
773921,THA7600OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TH7000 SERIES TW.dxf
2793469,L 5700,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 5700-X .dxf
773945,D84000OLS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D84000 TW.dxf
773953,7800OMS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 SERIES OXP TW.dxf
2793457,L 4050 163 X,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 4000 SERIES TW.dxf
2207994,SD13000 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_SD13000 OXP.dxf
773734,5600OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.dxf
773812,83000OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.dxf
