id,catalog_number,attributes
2793551,S6-260044,Part Number:S6-260044|Hose Type:Grease|Weight (lbs):5.2 |Hose I.D. (in):1/4|Hose O.D. (in):0.580 |Hose Length (ft):20|Pressure (psi):5000|End Fitting:1/4 NPT(M) |End Fitting:1/4 NPT(M) |Max Temperature (F):210 
2793555,S8-260044,Part Number:S8-260044|Hose Type:Grease|Weight (lbs):10.2|Hose I.D. (in):1/4|Hose O.D. (in):0.580 |Hose Length (ft):40|Pressure (psi):5000|End Fitting:1/4 NPT(M) |End Fitting:3/8 NPT(M) |Max Temperature (F):210 
2793547,S24-260043,Part Number:S24-260043|Hose Type:Oil |Weight (lbs):22|Hose I.D. (in):1/2|Hose O.D. (in):0.850 |Hose Length (ft):75|Pressure (psi):3250|End Fitting:1/2 NPT(M) |End Fitting:1/2 NPT(M) |Max Temperature (F):210 
5029887,GC7925OLP,"Part Number:GC7925 OLP|Series:7000|Weight (lbs):53 |Hose I.D. (in):3/4""|Hose O.D. (in):1.075 |Hose Length (ft):25|Pressure (psi):250|Hose End (in):3/4 NH(M)|Inlet (in):3/4 NH (F)|Reel Outlet (in):3/4 NPT(F)|Hose Included:Yes|Max Temperature (F):150 |Warehouse: |UPC:699567012702"
2207974,B5625 OHP,"Part Number:B5625 OHP |Series:5000|Weight (lbs):32|Hose I.D. (in):3/8""|Hose O.D. (in):.730|Hose Length (ft):25|Pressure (psi):4800|Hose End (in):1/4 NPT(M)|Inlet (in):1/4 NPT(F)|Reel Outlet (in):1/4 NPT(F)|Hose Included:Yes|Max Temperature (F):210 |Warehouse: |UPC:699567009313"
2208162,E8850 OMP,"Part Number:E8850 OMP |Series:8000 |Weight (lbs):57|Hose I.D. (in):1/2""|Hose O.D. (in):.820|Hose Length (ft):50|Pressure (psi):3250|Hose End (in):1/2 NPT(M)|Inlet (in):1/2 NPT(F)|Reel Outlet (in):1/2 NPT(F)|Hose Included:Yes|Max Temperature (F):210 |Warehouse:CA|UPC: "
2208166,D9175 OHPBW,"Part Number:D9175 OHP |Series:9000 |Weight (lbs):153 |Hose I.D. (in):3/8""|Hose O.D. (in):.730|Hose Length (ft):75|Pressure (psi):4800|Hose End (in):3/8 NPT(M)|Inlet (in):1/2 NPT(F)|Reel Outlet (in):1/2 NPT(F)|Hose Included:Yes|Max Temperature (F):210 |Warehouse: |UPC:699567001973"
2793497,S601015-50,Part Number:S601015-50|Hose Type:Air/Water |Weight (lbs):6.5 |Hose I.D. (in):3/8|Hose O.D. (in):0.600 |Hose Length (ft):50|Pressure (psi):300|End Fitting:3/8 NPT(M) |End Fitting:1/2 NPT(M) |Max Temperature (F):150 
2208186,E9275 OMPBW,"Part Number:E9275 OMP |Series:9000 |Weight (lbs):131 |Hose I.D. (in):1/2""|Hose O.D. (in):.820|Hose Length (ft):75|Pressure (psi):3250|Hose End (in):1/2 NPT(M)|Inlet (in):1/2 NPT(F)|Reel Outlet (in):1/2 NPT(F)|Hose Included:Yes|Max Temperature (F):210 |Warehouse: |UPC:699567001935"
2208234,H26000 H,"Part Number:H26000 H|Series:H|Weight (lbs):34|Hose I.D. (in):3/8""|Hose O.D. (in):.730|Hose Length (ft):400|Pressure (psi):5000|Hose End (in): |Inlet (in):1/2 NPT(F)|Reel Outlet (in):3/8 NPT(F)|Hose Included:No|Max Temperature (F):210 |Warehouse: |UPC:699567003793"
2208210,EB37122L12D,"Part Number:EB37122 L12D|Series:37000|Weight (lbs):73|Hose I.D. (in):1""|Hose O.D. (in):1.375 |Hose Length (ft):125|Pressure (psi):300|Hose End (in): |Inlet (in):1 NPT(F)|Reel Outlet (in):1 NPT(M)|Hose Included:No|Max Temperature (F):250 |Warehouse: |UPC:699567020769"
2208154,D8840 OMP,"Part Number:D8840 OMP |Series:8000 |Weight (lbs):53|Hose I.D. (in):1/2""|Hose O.D. (in):.820|Hose Length (ft):40|Pressure (psi):3250|Hose End (in):1/2 NPT(M)|Inlet (in):1/2 NPT(F)|Reel Outlet (in):1/2 NPT(F)|Hose Included:Yes|Max Temperature (F):210 |Warehouse: |UPC: "
2208014,URD9275 OLBBW70,"Part Number:URD9275 OLBBW70|Series:9000|Weight (lbs):125 |Hose I.D. (in):1/2""|Hose O.D. (in):.844|Hose Length (ft):75|Pressure (psi):300|Hose End (in):1/2 BSPP(M)|Inlet (in):1/2 BSPP(F)|Reel Outlet (in):1/2 NPT(F)|Hose Included:Yes|Max Temperature (F):150 |Warehouse: |UPC:699567021513"
2208006,SD14005 OVP,"Part Number:SD14005 OVP |Series:SD |Weight (lbs):92|Hose I.D. (in):1""|Hose O.D. (in):1.496 |Hose Length (ft):50|Pressure (psi):250|Hose End (in): |Inlet (in):1 NPT(F)|Reel Outlet (in):1 NPT(F)|Hose Included:No|Max Temperature (F):210 |Warehouse: |UPC:699567008743"
2208310,DP5600 OLP,"Part Number:DP5600 OLP|Series:DP5000 |Weight (lbs):37|Hose I.D. (in):3/8""|Hose O.D. (in):.600|Hose Length (ft):35|Pressure (psi):500|Hose End (in): |Inlet (in):1/2 NPT(F)|Reel Outlet (in):1/2 NPT(F)|Hose Included:No|Max Temperature (F):210 |Warehouse: |UPC:699567007258"
2208318,DP5835 OMP,"Part Number:DP5835 OMP|Series:DP5000 |Weight (lbs):54|Hose I.D. (in):1/2""|Hose O.D. (in):.820|Hose Length (ft):35|Pressure (psi):3250|Hose End (in):1/2 NPT(M)|Inlet (in):1/2 NPT(F)|Reel Outlet (in):1/2 NPT(F)|Hose Included:Yes|Max Temperature (F):210 |Warehouse: |UPC:699567007234"
2208326,3-HS1005,"Part Number:3-HS1005|UPC:699567007692|For Reel Series:D9000, E9000, FE9000, 3100, 4800 and SD |Weight (lbs):0.95|Diameter A (in):1.06 - 1.38 |Diameter B-C-E:3.5""|Diameter D:2.875""|Hose I.D. (in):3/4|AWG / Conductors:NA "
2793525,S600451-35,Part Number:S600451-35|Hose Type:Fuel|Weight (lbs):30|Hose I.D. (in):1|Hose O.D. (in):1.500 |Hose Length (ft):35|Pressure (psi):50|End Fitting:1 NPT(M) |End Fitting:1 NPT(M) |Max Temperature (F):140 
2793517,S601027-40,Part Number:S601027-40|Hose Type:Air/Water |Weight (lbs):17.7|Hose I.D. (in):1|Hose O.D. (in):1.375 |Hose Length (ft):40|Pressure (psi):250|End Fitting:3/4 NPT(M) |End Fitting:1 NPT(M) |Max Temperature (F):150 
2793416,CA32112 M,"Part Number:CA32112 M |Series:30000|Weight (lbs):46|Hose I.D. (in):1/2""|Hose O.D. (in):.850|Hose Length (ft):200|Pressure (psi):3000|Hose End (in): |Inlet (in):1/2 NPT(F)|Reel Outlet (in):1/2 NPT(F)|Hose Included:No|Max Temperature (F):250 |Warehouse:IN, CA, CN|UPC:699567000372"
2793533,S12-260043,Part Number:S12-260043|Hose Type:Oil |Weight (lbs):6 |Hose I.D. (in):3/8|Hose O.D. (in):0.710 |Hose Length (ft):25|Pressure (psi):2250|End Fitting:3/8 NPT(M) |End Fitting:3/8 NPT(M) |Max Temperature (F):210 
2208150,D8650 OMP,"Part Number:D8650 OMP |Series:8000 |Weight (lbs):47|Hose I.D. (in):3/8""|Hose O.D. (in):.690|Hose Length (ft):50|Pressure (psi):2600|Hose End (in):3/8 NPT(M)|Inlet (in):1/2 NPT(F)|Reel Outlet (in):1/2 NPT(F)|Hose Included:Yes|Max Temperature (F):210 |Warehouse: |UPC:699567001423"
2793553,S7-260044,Part Number:S7-260044|Hose Type:Grease|Weight (lbs):7.7 |Hose I.D. (in):1/4|Hose O.D. (in):0.580 |Hose Length (ft):30|Pressure (psi):5000|End Fitting:1/4 NPT(M) |End Fitting:1/4 NPT(M) |Max Temperature (F):210 
