id,catalog_number,dxf
773542,D9400OLBBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
773554,5635OLPSW5,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
773526,TW7400OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW7000 SW.igs
773590,RT802-OLB,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.igs
773606,RT635-OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.igs
773630,G3050Y,https://mro-host.herokuapp.com/file_download/?name=reelcraft_G3050.igs
2208165,D9100 OHPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
773530,STW3450OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_strata.igs
2208309,DP5600 OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP5000 OXP NARROW.igs
773574,RT602-OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.igs
2208345,D9300 OLSBW-S,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
773586,RT405-OLB,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.igs
773622,SCA3850OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_strata.igs
2208185,E9275 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
773409,L4035A1635,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 4000 SERIES TW.igs
773449,TW84000OLPT,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW80000 OLPT SW.igs
773485,H18006M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_H16 18 19000 .igs
773545,7600OLB,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 OLP TW.igs
773717,5450ELP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
773709,A5800EMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
773737,A5835OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_A5X05 OXP TW.igs
773729,A5800OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
773767,7400OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 OXP TW.igs
773689,CA32128L,https://mro-host.herokuapp.com/file_download/?name=reelcraft_CA3X128 X.igs
773581,RT802-OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.igs
773807,F83000OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.igs
773721,A5825OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
773803,83050OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.igs
773713,5600EMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
773819,LP83000OLS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_LP80000 TW.igs
773811,82000OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.igs
773860,D83075OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D83000 TW.igs
773904,H18005M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_H16 18 19000 .igs
773924,TH7445OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TH7000 TW.igs
773884,DP7650OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.igs
773896,HS18000M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_H16 18 19000 .igs
773411,L40351631,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 4000 SERIES TW.igs
773439,L5700,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 5700-X .igs
773455,TW84100OLPT,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW80000 OLPT SW.igs
773531,TW7450OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW7000 SW.igs
773483,CA38106M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_CA3X106 X.igs
773567,RT402-OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.igs
773579,RT605-OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.igs
773591,RT803-OLB,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.igs
773627,4435OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_4000 OXP TW.igs
773707,4600OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_4000 OXP TW.igs
773731,5400OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
773667,EA33112M12D,https://mro-host.herokuapp.com/file_download/?name=reelcraft_EA3X112 X12D.igs
773740,5435OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5X05 OXP TW.igs
773719,5630EMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
773735,5600OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
773765,7925OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 OLP TW.igs
773761,7650OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 OXP TW.igs
773715,A5825EMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
