dxf,pdf,igs,catalog_number,ids
https://www.reelcraft.com/images/drawings/5000EDXF.zip,https://www.reelcraft.com/images/drawings/5000EPDF.pdf,https://www.reelcraft.com/images/drawings/5000EIGS.zip,5430 EHP,2208041
,,,S22-260043,2793544
https://www.reelcraft.com/images/drawings/DP7000-1.zip,https://www.reelcraft.com/images/drawings/DP7000-2.zip,https://www.reelcraft.com/images/drawings/DP7000-3.zip,DP7400 OHP,2208089
,,,S601034-3,2793484
https://www.reelcraft.com/images/drawings/5005-DXF.zip,https://www.reelcraft.com/images/drawings/5005-PDF.pdf,https://www.reelcraft.com/images/drawings/5005-IGS.zip,B5435 OHP,2207971
https://www.reelcraft.com/images/drawings/5000EDXF.zip,https://www.reelcraft.com/images/drawings/5000EPDF.pdf,https://www.reelcraft.com/images/drawings/5000EIGS.zip,A5825 EMP,2208051
,,,S40-260043,2793540
,,,S601015-75,2793498
https://www.reelcraft.com/images/drawings/D9300DXF.zip,https://www.reelcraft.com/images/drawings/D9300PDF.zip,https://www.reelcraft.com/images/drawings/D9300IGS.zip,E9200 OLPBW,2208183
,,,D8450 OHP,2208144
,,,S44-260043,2793536
,,,S600451-2,2793524
,,,BA36106 L,2208280
,,,S601026-40,2793510
,,,1-HS1004,2208320
,,,S3-260043,2793534
,,,S28-260043,2793550
,,,S6-260043,2793542
,,,S601001-25,2793490
,,,S25-260044,2793558
https://www.reelcraft.com/images/drawings/SD130001.zip,https://www.reelcraft.com/images/drawings/SD130002.pdf,https://www.reelcraft.com/images/drawings/SD130003.zip,SD13000 OMP,2207995
,,,S33-260043,2793530
,,,S23-260044,2793566
,,,S20-260044,2793554
,,,7650 EHP,2208071
,,,S4-260044,2793562
,,,2-HS1005,2208324
,,,S600160-2,2793522
,,,S46-260043,2793538
,,,600521,773380
,,,S601013-100,2208392
,,,601027-45,773248
,,,20-260044,773268
,,,6-260043,773252
,,,S602133-2U,773276
https://www.reelcraft.com/images/drawings/L4000DXF.zip,https://www.reelcraft.com/images/drawings/L4000PDF.pdf,https://www.reelcraft.com/images/drawings/L4000IGS.zip,L45451233B,773420
,,,S601027-45,2793518
,,,601026-150,773304
,,,601026-2,773308
,,,22-260044,773316
,,,TBL 15,2208304
https://www.reelcraft.com/images/drawings/TW7000-1.zip,https://www.reelcraft.com/images/drawings/TW7000-2.zip,https://www.reelcraft.com/images/drawings/TW7000-3.zip,TW7400OLPT,773452
,,,601021-35,773256
https://www.reelcraft.com/images/drawings/TW800001.zip,https://www.reelcraft.com/images/drawings/TW800002.zip,https://www.reelcraft.com/images/drawings/TW800003.zip,TW86075OLPT,773456
,,,4-260044,773328
,,,S600692-5U,773300
,,,S602132-1U,773360
,,,S600693-3,773356
,,,BA36112L,773528
,,,601015-50,773332
,,,601026-40,773312
https://www.reelcraft.com/images/drawings/TW7000-1.zip,https://www.reelcraft.com/images/drawings/TW7000-2.zip,https://www.reelcraft.com/images/drawings/TW7000-3.zip,TW7460OLP,773532
,,,AA36112L4A,773524
https://www.reelcraft.com/images/drawings/7000OHP1.zip,https://www.reelcraft.com/images/drawings/7000OHP2.zip,https://www.reelcraft.com/images/drawings/7000OHP3.zip,PW7600OHP,773556
https://www.reelcraft.com/images/drawings/RT-DXF-1.zip,https://www.reelcraft.com/images/drawings/RT-PDF-2.zip,https://www.reelcraft.com/images/drawings/RT-IGS-3.zip,RT802-OLP,773580
,,,LD20401632,773448
,,,T-1535-103-200,773548
,,,S602132-2,773280
,,,S600692-1U,773364
,,,44-260043,773324
https://www.reelcraft.com/images/drawings/5000-DXF.zip,https://www.reelcraft.com/images/drawings/5000-PDF.zip,https://www.reelcraft.com/images/drawings/5000-IGS.zip,5600OLB,773544
,,,S600692-4,773352
https://www.reelcraft.com/images/drawings/RT-DXF-1.zip,https://www.reelcraft.com/images/drawings/RT-PDF-2.zip,https://www.reelcraft.com/images/drawings/RT-IGS-3.zip,RT602-OHP,773572
,,,7-260043,773488
https://www.reelcraft.com/images/drawings/SREELDXF.zip,https://www.reelcraft.com/images/drawings/SREELPDF.pdf,https://www.reelcraft.com/images/drawings/SREELIGS.zip,SHA3850OLP,773620
,,,13-260044,773464
,,,260450,773444
,,,EA33118L10A,773656
,,,EA33112M10AX,773640
,,,EA32122L12D,773664
https://www.reelcraft.com/images/drawings/3X118DXF.zip,https://www.reelcraft.com/images/drawings/3X118PDF.pdf,https://www.reelcraft.com/images/drawings/3X118IGS.zip,CA30118L,773676
https://www.reelcraft.com/images/drawings/GA3100-1.zip,https://www.reelcraft.com/images/drawings/GA3100-2.pdf,https://www.reelcraft.com/images/drawings/GA3100-3.zip,GA3100N,773628
,,,601026-50,773480
https://www.reelcraft.com/images/drawings/5000EDXF.zip,https://www.reelcraft.com/images/drawings/5000EPDF.pdf,https://www.reelcraft.com/images/drawings/5000EIGS.zip,A5800ELP,773708
https://www.reelcraft.com/images/drawings/5000EDXF.zip,https://www.reelcraft.com/images/drawings/5000EPDF.pdf,https://www.reelcraft.com/images/drawings/5000EIGS.zip,5635ELP,773720
https://www.reelcraft.com/images/drawings/5000-DXF.zip,https://www.reelcraft.com/images/drawings/5000-PDF.zip,https://www.reelcraft.com/images/drawings/5000-IGS.zip,5400OLP,773732
https://www.reelcraft.com/images/drawings/5000-DXF.zip,https://www.reelcraft.com/images/drawings/5000-PDF.zip,https://www.reelcraft.com/images/drawings/5000-IGS.zip,5435OMP,773724
,,,601022-100,773472
,,,7600ELP,773749
https://www.reelcraft.com/images/drawings/3X122DXF.zip,https://www.reelcraft.com/images/drawings/3X122PDF.pdf,https://www.reelcraft.com/images/drawings/3X122IGS.zip,CA32122L,773688
https://www.reelcraft.com/images/drawings/4000-DXF.zip,https://www.reelcraft.com/images/drawings/4000-PDF.pdf,https://www.reelcraft.com/images/drawings/4000-IGS.zip,4425OLP,773704
https://www.reelcraft.com/images/drawings/7000OHP1.zip,https://www.reelcraft.com/images/drawings/7000OHP2.zip,https://www.reelcraft.com/images/drawings/7000OHP3.zip,7600OMP,773770
,,,D8450OHP,773774
https://www.reelcraft.com/images/drawings/5005-DXF.zip,https://www.reelcraft.com/images/drawings/5005-PDF.pdf,https://www.reelcraft.com/images/drawings/5005-IGS.zip,5405OHP,773745
,,,7850EMP,773757
https://www.reelcraft.com/images/drawings/7000OXP1.zip,https://www.reelcraft.com/images/drawings/7000OXP2.zip,https://www.reelcraft.com/images/drawings/7000OXP3.zip,UR7800 OLB70,2208362
,,,7650EHP,773753
https://www.reelcraft.com/images/drawings/5000EDXF.zip,https://www.reelcraft.com/images/drawings/5000EPDF.pdf,https://www.reelcraft.com/images/drawings/5000EIGS.zip,5600ELP,773712
https://www.reelcraft.com/images/drawings/5000EDXF.zip,https://www.reelcraft.com/images/drawings/5000EPDF.pdf,https://www.reelcraft.com/images/drawings/5000EIGS.zip,5430EHP,773716
https://www.reelcraft.com/images/drawings/5000-DXF.zip,https://www.reelcraft.com/images/drawings/5000-PDF.zip,https://www.reelcraft.com/images/drawings/5000-IGS.zip,5600OMP,773736
,,,BA32112 M,2208342
,,,LB312123,773386
https://www.reelcraft.com/images/drawings/L5005DXF.zip,https://www.reelcraft.com/images/drawings/L5005PDF.pdf,https://www.reelcraft.com/images/drawings/L5005IGS.zip,L5550124X,773274
https://www.reelcraft.com/images/drawings/L4000DXF.zip,https://www.reelcraft.com/images/drawings/L4000PDF.pdf,https://www.reelcraft.com/images/drawings/L4000IGS.zip,L40351622,773410
https://www.reelcraft.com/images/drawings/TW800001.zip,https://www.reelcraft.com/images/drawings/TW800002.zip,https://www.reelcraft.com/images/drawings/TW800003.zip,TW86000OLPT,773450
https://www.reelcraft.com/images/drawings/TW7000-1.zip,https://www.reelcraft.com/images/drawings/TW7000-2.zip,https://www.reelcraft.com/images/drawings/TW7000-3.zip,TW7450OLPT,773458
,,,40-260043,773250
,,,601027-30,773246
,,,37-260043,773254
,,,20-260043,773266
,,,43-260043,773270
,,,S602133-3,773290
,,,3-260043,773322
,,,5-260043,773330
https://www.reelcraft.com/images/drawings/L5000DXF.zip,https://www.reelcraft.com/images/drawings/L5000PDF.pdf,https://www.reelcraft.com/images/drawings/L5000IGS.zip,L5245A1636X,773418
,,,27-260044,773334
,,,S600533-4U,2208358
,,,S600693-1U,773362
,,,260428,773382
https://www.reelcraft.com/images/drawings/TW7000-1.zip,https://www.reelcraft.com/images/drawings/TW7000-2.zip,https://www.reelcraft.com/images/drawings/TW7000-3.zip,TW7400OLP,773526
https://www.reelcraft.com/images/drawings/SREELDXF.zip,https://www.reelcraft.com/images/drawings/SREELPDF.pdf,https://www.reelcraft.com/images/drawings/SREELIGS.zip,STW3450OLP,773530
,,,S600533-4,773342
,,,S600692-4U,773294
https://www.reelcraft.com/images/drawings/D9300DXF.zip,https://www.reelcraft.com/images/drawings/D9300PDF.zip,https://www.reelcraft.com/images/drawings/D9300IGS.zip,D9400OLBBW,773542
,,,S600693-5,773358
https://www.reelcraft.com/images/drawings/5000-DXF.zip,https://www.reelcraft.com/images/drawings/5000-PDF.zip,https://www.reelcraft.com/images/drawings/5000-IGS.zip,5635OLPSW5,773554
,,,601001-20,773262
,,,601026-30,773310
,,,28-260043,773314
