id,catalog_number,additional_description
2936913,8MPCC400036,8MPCC-4000-36
2936901,8MPCC224036,8MPCC-2240-36
2936937,14MPCC245090,14MPCC-2450-90
2936949,SS07534,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936981,SS1001,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936989,14MPCC156820,14MPCC-1568-20
2936917,14MPCC112020,14MPCC-1120-20
2936997,14MPCC441090,14MPCC-4410-90
2937005,L22555MM,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2937025,14MPCC3500125,14MPCC-3500-125
2935470,14MPCC1750125,14MPCC-1750-125
2935494,14MPCC3304125,14MPCC-3304-125
2935550,8MPCC176012,8MPCC-1760-12
2935582,8MPCC96021,8MPCC-960-21
2935606,14MPCC119020,14MPCC-1190-20
2935614,14MPCC3850125,14MPCC-3850-125
2935638,SS110138,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2935634,8MPCC104012,8MPCC-1040-12
2935642,8MPCC440021,8MPCC-4400-21
2935710,8MPCC400012,8MPCC-4000-12
2935718,14MPCC2450125,14MPCC-2450-125
2935722,14MPCC432637,14MPCC-4326-37
2935746,14MPCC189020,14MPCC-1890-20
2935794,14MPCC350037,14MPCC-3500-37
2935814,8MPCC320021,8MPCC-3200-21
2935854,8MPCC96012,8MPCC-960-12
2935878,8MPCC320036,8MPCC-3200-36
2935978,14MPCC238020,14MPCC-2380-20
2935982,8MPCC72062,8MPCC-720-62
2935990,14MPCC3136125,14MPCC-3136-125
2935994,8MPCC448021,8MPCC-4480-21
2936030,14MPCC161090,14MPCC-1610-90
2936082,8MPCC304812,8MPCC-3048-12
2936078,8MPCC160021,8MPCC-1600-21
2936118,SS07578,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936146,8MPCC448012,8MPCC-4480-12
