id,catalog_number,cad
1060737,H3612RB,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_H3612RB.dxf
1071755,QOM22225NRB,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_QOM22225NRB.dxf
1075163,TSXDSY16S5,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_TSXDSY16S5.dxf
1034883,140DAO84220,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_140DAO84220.dxf
1046115,9001KS46BH28,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_9001KS46BH28.dxf
1058086,EZMH314125CA,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_EZMH314125CA.dxf
1055071,ATV312HU40M3,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_ATV312HU40M3.dxf
1035121,170ARM37030,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_170ARM37030.dxf
5226351,EX15T3H,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_EX15T3H.dxf
1034879,140DAO84010,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_140DAO84010.dxf
1052028,9070T500D50,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_9070T500D50.dxf
1075073,TSXCAY21,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_TSXCAY21.dxf
1072298,RC12L200C,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_RC12L200C.dxf
1063971,LC1D099G7,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_LC1D099G7.dxf
1061861,HLA225S4,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_HLA225S4.dxf
1052611,9080LBA1652021,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_9080LBA1652021.dxf
1058203,EZMR116125X,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_EZMR116125X.dxf
1053492,9T75F,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_9T75F.dxf
1397652,ABE7R16S111,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_ABE7R16S111.dxf
1064223,LC1D32X7,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_LC1D32X7.dxf
1057971,EZM32000TB,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_EZM32000TB.dxf
1043783,9001K1L38G,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_9001K1L38G.dxf
5219431,LC1F1700,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_LC1F1700.dxf
1061951,HMISTO511,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_HMISTO511.dxf
1045536,9001KR8P1G,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_9001KR8P1G.dxf
1052314,9070TF350D23,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_9070TF350D23.dxf
1062420,HU364DS,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_HU364DS.dxf
