"id","catalog_number","description"
"2181027","NU1011M1.C3","FAG NU1011M1.C3 SINGLE ROW CYLINDRICAL ROLLER BEARI"
"2181026","NU1011M1","FAG NU1011M1 SINGLE ROW CYLINDRICAL ROLLER BEARI"
"2181025","NU1010M1.C3","FAG NU1010M1.C3 SINGLE ROW CYLINDRICAL ROLLER BEARI"
"2181024","NU1010M1","FAG NU1010M1 SINGLE ROW CYLINDRICAL ROLLER BEARI"
"2181023","NU1009M1.C3","FAG NU1009M1.C3 SINGLE ROW CYLINDRICAL ROLLER BEARI"
"2181022","NU1009M1","FAG NU1009M1 SINGLE ROW CYLINDRICAL ROLLER BEARI"
"2181021","NU1008M1.C3","FAG NU1008M1.C3 SINGLE ROW CYLINDRICAL ROLLER BEARI"
"2181020","NU1008M1","FAG NU1008M1 SINGLE ROW CYLINDRICAL ROLLER BEARI"
"2181019","NU1007M1.C3","FAG NU1007M1.C3 SINGLE ROW CYLINDRICAL ROLLER BEARI"
"2181018","NU1007M1","FAG NU1007M1 SINGLE ROW CYLINDRICAL ROLLER BEARI"
"2181017","NU1006M1.C2","FAG NU1006M1.C2 SINGLE ROW CYLINDRICAL ROLLER BEARI"
"2181016","NU1006M1","FAG NU1006M1 SINGLE ROW CYLINDRICAL ROLLER BEARI"
"2181015","NU1005M1","FAG NU1005M1 SINGLE ROW CYLINDRICAL ROLLER BEARI"
"2181014","NNU4968S.M.SP","FAG NNU4968S.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2181013","NNU4952SK.M.SP","FAG NNU4952SK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2181012","NNU4944SK.M.SP","FAG NNU4944SK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2181011","NNU4944S.M.SP","FAG NNU4944S.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2181010","NNU4940SK.M.SP","FAG NNU4940SK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2181009","NNU4940S.M.SP","FAG NNU4940S.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2181008","NNU4938S.M.SP","FAG NNU4938S.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2181007","NNU4936SK.M.SP","FAG NNU4936SK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2181006","NNU4936S.M.SP.C3","FAG NNU4936S.M.SP.C3 SUPER PRECISION CYLINDRICAL ROLLER"
"2181005","NNU4936S.M.SP","FAG NNU4936S.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2181004","NNU4934SK.M.SP","FAG NNU4934SK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2181003","NNU4934S.M.SP","FAG NNU4934S.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2181002","NNU4932SK.M.SP","FAG NNU4932SK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2181001","NNU4930SK.M.SP","FAG NNU4930SK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2181000","NNU4930S.M.SP","FAG NNU4930S.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180999","NNU4928SK.M.SP","FAG NNU4928SK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180998","NNU4928S.M.SP","FAG NNU4928S.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180997","NNU4926SK.M.SP","FAG NNU4926SK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180996","NNU4926S.M.SP","FAG NNU4926S.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
