catalog_number,industry_crossover_numbers,id
620312,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>HSS312</td>
    </tr>

    </table>",2538033
620332,blank value,2538034
620390,blank value,2538035
620270,blank value,2538032
56273,blank value,2534322
56272,blank value,2534321
56271,blank value,2534320
56270,blank value,2534319
48076,blank value,2533056
20295,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02669-0606</td>
    </tr>

        <tr>
        <td>1269x6x6</td>
    </tr>

        <tr>
        <td>1269X8X4</td>
    </tr>

        <tr>
        <td>169P-6-6</td>
    </tr>

        <tr>
        <td>269-P-06x06</td>
    </tr>

        <tr>
        <td>269P06X06</td>
    </tr>

        <tr>
        <td>269PF-6C</td>
    </tr>

        <tr>
        <td>69PF-6-6</td>
    </tr>

        <tr>
        <td>F269-6-6</td>
    </tr>

        <tr>
        <td>MP69-66</td>
    </tr>

        <tr>
        <td>PG69EE</td>
    </tr>

    </table>",2530520
20294,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02669-0604</td>
    </tr>

        <tr>
        <td>1269x6</td>
    </tr>

        <tr>
        <td>1269X6X6</td>
    </tr>

        <tr>
        <td>169P-6-4</td>
    </tr>

        <tr>
        <td>269-P-06x04</td>
    </tr>

        <tr>
        <td>269P06X04</td>
    </tr>

        <tr>
        <td>269PF-6B</td>
    </tr>

        <tr>
        <td>69PF-6-4</td>
    </tr>

        <tr>
        <td>F269-6-4</td>
    </tr>

        <tr>
        <td>MP69-64</td>
    </tr>

        <tr>
        <td>PG69EE</td>
    </tr>

    </table>",2530519
20293,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02669-0602</td>
    </tr>

        <tr>
        <td>1269X6</td>
    </tr>

        <tr>
        <td>1269x6x2</td>
    </tr>

        <tr>
        <td>169P-6-2</td>
    </tr>

        <tr>
        <td>269P06X02</td>
    </tr>

        <tr>
        <td>269PF-6A</td>
    </tr>

        <tr>
        <td>69PF-6-2</td>
    </tr>

        <tr>
        <td>F269-6-2</td>
    </tr>

        <tr>
        <td>MP69-62</td>
    </tr>

        <tr>
        <td>PG69E</td>
    </tr>

    </table>",2530518
