id;catalog_number;description;add_descr;attributes
2887399;534AV-43;Durham 534AV-43 #9 ADJ VERT#43 WHITE;nan;nan
2887403;539-43;Durham 539-43 #15 FX #43 WHITE;nan;nan
2887407;564-H721;Durham 564-H721 12 POCKET POUCH W/ ADHESIVE #9FX 05-7012-RED;nan;nan
2887411;576-95;Durham 576-95 ART FILE DIVIDER#95GRAY;nan;nan
2887415;582-95;Durham 582-95 2 SHELF HYD. HOSE CABINET #95 GRAY;nan;nan
2887419;5WT-2448-12MR-95;Durham 5WT-2448-12MR-95 5TH WH TRK 24X48 12^MR 2K #95;nan;nan
2887423;5WT-3672-12MR-95;Durham 5WT-3672-12MR-95 5TH WH TRK 36X72 12^MR 2K #95;nan;nan
2887427;720/15-95;Durham 720/15-95 15^ LEG #95 GRAY;nan;nan
2887435;802-95;Durham 802-95 DOOR TRAY-1#95 GRAY;nan;nan
2887439;921-95;Durham 921-95 WELDING ROD CAB#95 GRAY;nan;nan
2887443;AF-3048-PB-95;Durham AF-3048-PB-95 AF 30X48 2K SH PB 6PH RS SB 95;nan;nan
2887447;AF-3672-95;Durham AF-3672-95 A FRAME 36X72 #95 GRAY;nan;nan
2887451;APT-3060-95;Durham APT-3060-95 ADJUSTABLE PLATFORM TRUCK 30X60 #95 GRAY;nan;nan
2887455;BCT-2896-10K-95;Durham BCT-2896-10K-95 BAR CRADLE TRK 28X96 4 CRADLE 10K #95;nan;nan
2887459;C286DI;Durham C286DI LG CPT INDSTOCK ECT 44 C;nan;nan
2887463;DC36-48-4S6DS-1795;Durham DC36-48-4S6DS-1795 DDC 36X24X72 48B #17 4S 6DS KH 95;nan;nan
2887467;DC36-642S6DS-1795;Durham DC36-642S6DS-1795 DDC 36X24X72 64B #17 2S 6DS KH 95;nan;nan
2887471;DC48-114-6DS-1795;Durham DC48-114-6DS-1795 DDC 48X24X72 114B 2S 6DS KH #17 RED BINS 95;nan;nan
2887475;DC48-128-4S-5295;Durham DC48-128-4S-5295 DDC 48X24X72 128B #52 4S KH 95;nan;nan
2887479;DC48-176-95;Durham DC48-176-95 DDC 48X24X72 176B KH 95;nan;nan
2887483;DC48-724S6DS-1795;Durham DC48-724S6DS-1795 DDC 48X24X72 72B 4S 6DS KH 95;nan;nan
2887487;DC48-842S6DS-5295;Durham DC48-842S6DS-5295 DDC 48X24X72 84B #52 2S 6DS KH 95;nan;nan
2887491;DC-BDLP-132-95;Durham DC-BDLP-132-95 DDC 36X24X72 132B KH 95;nan;nan
2887495;DCBDLP584RDR-1795;Durham DCBDLP584RDR-1795 DDC 36X24X72 58B #17 1S 4D 12DS KH 95;nan;nan
2887499;DCBDLP694RDR-5295;Durham DCBDLP694RDR-5295 DDC 48X24X72 69B #52 1S 4D 12DS KH 95;nan;nan
2887503;DCBDLP724RDR-95;Durham DCBDLP724RDR-95 DDC 48X24X72 72B 1S 4D 12DS KH 95;nan;nan
2887507;DWB-3048-177-95;Durham DWB-3048-177-95 DUR WK BCH 30X48X34 12GA. TOP 177D #95 GRAY;nan;nan
2887515;DWB-3072-BE-PB-95;Durham DWB-3072-BE-PB-95 DUR WK BCH 30X72 BE PB #95 GRAY;nan;nan
2887519;DWBM-3060-BE-95;Durham DWBM-3060-BE-95 MOB DUR WK BCH 30X60 BE #95 GRAY;nan;nan
2887523;DWBM-3072-BE-95;Durham DWBM-3072-BE-95 MOB DUR WK BCH 30X72 BE #95 GRAY;nan;nan
2887527;EAS-1836-95;Durham EAS-1836-95 2SC 18X36 1.2K SH TLD 5PU RS 95;nan;nan
2887531;EGCC4-50;Durham EGCC4-50 ECON GAS CYL CAB 4CYL 30X30X35 #50 YELLOW;nan;nan
2887539;EMDC-2602-BLP-2S-95;Durham EMDC-2602-BLP-2S-95 CVC 16GA 18X36X72 BLP PH 2S 95;nan;nan
2887543;EMDC36182S15B95;Durham EMDC36182S15B95 CVC 36X18X72 15B 2S KH 95;nan;nan
2887547;EMDC-361848-95;Durham EMDC-361848-95 CVC 36X18X48 2S KH 95;nan;nan
2887551;EMDC-361872-18B-2S-95;Durham EMDC-361872-18B-2S-95 CVC 36X18X72 BLP 18B 2S KH 95;nan;nan
2887555;EMDC-361872-95;Durham EMDC-361872-95 CVC 36X18X72 4S KH 95;nan;nan
2887559;EMDC36242S15B95;Durham EMDC36242S15B95 CVC 36X24X72 15B 2S KH 95;nan;nan
2887563;EMDC-362472-18B-2S-95;Durham EMDC-362472-18B-2S-95 CVC 36X24X72 BLP 18B 2S KH 95;nan;nan
2887567;EMDC-362472-4S-95;Durham EMDC-362472-4S-95 CVC 36X24X72 4S KH 95;nan;nan
2887571;EMDC-481872-24B-2S-1795;Durham EMDC-481872-24B-2S-1795 CVC 48X18X72 BLP 24B #17 2S KH 95;nan;nan
2887575;EMDC-481872-42B-5295;Durham EMDC-481872-42B-5295 CVC 48X18X72 BLP 42B #52 KH 95;nan;nan
2887579;EMDC-481872-6B-3S-95;Durham EMDC-481872-6B-3S-95 CVC 48X18X72 BLP 6B 3S KH 95;nan;nan
2887583;EMDC-482472-24B-2S-95;Durham EMDC-482472-24B-2S-95 CVC 48X24X72 BLP 24B 2S KH 95;nan;nan
2887587;EMDC-482472-6B-3S-1795;Durham EMDC-482472-6B-3S-1795 CVC 48X24X72 BLP 6B #17 3S KH 95;nan;nan
2887591;EMDC-482472-PB-2S-95;Durham EMDC-482472-PB-2S-95 CVC 48X24X72 2S PB KH 95;nan;nan
2887595;EX-3048-2SC-6PH-95;Durham EX-3048-2SC-6PH-95 MSH STCK TRK 4 ADJ SH 30X48 6^PH #95;nan;nan
2887599;FDC-SH-3624-95;Durham FDC-SH-3624-95 21 3/8^ X 35 1/2^ .071 ADJ SHELF #95 GRAY;nan;nan
2887603;FDC-SH-6024-95;Durham FDC-SH-6024-95 21 3/8^ X 59 1/2^ .071 ADJ SHELF #95 GRAY;nan;nan
2887607;FS-SH-1439;Durham FS-SH-1439 FSC GAL SH 13 7/16^ X 39 5/8^ .055^;nan;nan
2887611;H1068;Durham H1068 CAM LOCK #10476-000;nan;nan
2887615;H1237;Durham H1237 LG CAB IRON HANDLE RIGHT;nan;nan
2887619;H1334;Durham H1334 18^ DRW SLIDE RIVET HOLES 100# 1 PR#71010;nan;nan
2887623;H1344;Durham H1344 LOCK ROD SET 34.25^ R-SDB34.25S;nan;nan
2887627;H1371;Durham H1371 LOCK ROD SET 36.25^ R-SDB36.25S;nan;nan
2887631;H319;Durham H319 X44UB MED CAB KEY 2 PER;nan;nan
2887643;HC1165W;Durham HC1165W 10 X 2 1/2^ PHENOLIC 3/4^ ROLLER BEARING 2500# CAP;nan;nan
2887647;HDC-183678-4S95;Durham HDC-183678-4S95 12G-HDC 18X36X78 4S 6^BA CH 95;nan;nan
2887651;HDC-203678-4S95;Durham HDC-203678-4S95 12G-HDC STORAGE 20X36X78 4S 6^BA CH 95;nan;nan
2887655;HDC-243678-4S95;Durham HDC-243678-4S95 12G-HDC STORAGE 24X36X78 4S 6^BA CH 95;nan;nan
2887659;HDC-246066-3S95;Durham HDC-246066-3S95 12G-HDC STORAGE 24X60X66 3S 6^BA CH 95;nan;nan
2887663;HDC36-102-3S1795;Durham HDC36-102-3S1795 12G-HDC BDLP 24X36X78 102B #17 3S 6^BA CH 95;nan;nan
2887667;HDC36-108-3S5295;Durham HDC36-108-3S5295 12G-HDC BDLP 24X36X78 108B #52 3S 6^BA CH 95;nan;nan
2887671;HDC36-126-95;Durham HDC36-126-95 12G-HDC BDLP 24X36X78 126B 6^BA CH 95;nan;nan
2887675;HDC36-60-2S6D5295;Durham HDC36-60-2S6D5295 12G-HDC BDLP 24X36X78 60B #52 2S 6DS 6^BA CH 95;nan;nan
2887683;HDC48-134-3S1795;Durham HDC48-134-3S1795 12G-HDC BDLP 24X48X78 134B #17 3S 6^BA CH 95;nan;nan
2887687;HDC48-162-5295;Durham HDC48-162-5295 12G-HDC BDLP 24X48X78 162B #52 6^BA CH 95;nan;nan
2887691;HDC48-84-2S6D5295;Durham HDC48-84-2S6D5295 12G-HDC BDLP 24X48X78 84B #52 2S 6DS 6^BA CH 95;nan;nan
2887695;HDC60-156-3S95;Durham HDC60-156-3S95 12G-HDC BDLP 24X60X78 156B 3S 6^BA CH 95;nan;nan
2887699;HDC60-72DC18TB5B95;Durham HDC60-72DC18TB5B95 12G-HDC DLP 35-1/2X60X60 DC 18TB 5B 3DR 6^BA CH 95;nan;nan
2887703;HDC72-240-1795;Durham HDC72-240-1795 12G-HDC BDLP 24X72X78 240B #17 6^BA CH 95;nan;nan
2887707;HDCC203636-2S95;Durham HDCC203636-2S95 12G-HDC COUNTER TOP CV 20X36X36 2S CH 95;nan;nan
2887711;HDCC244842-2S95;Durham HDCC244842-2S95 12G-HDC COUNTER TOP CV 24X48X42 2S CH 95;nan;nan
2887715;HDCD243678-120-4M95;Durham HDCD243678-120-4M95 12G-HDC 4DR MID 24X36X78 1S 120B 6^BA CH 95;nan;nan
2887719;HDCD243678-8M95;Durham HDCD243678-8M95 12G-HDC 8DR MID 24X36X78 1S 6^BA CH 95;nan;nan
2887723;HDCM36-12-2S1795;Durham HDCM36-12-2S1795 12G-HDC STORAGE 24X36X80 MOBILE BLP 12B #17 2S CH 6PH RS SB 95;nan;nan
2887727;HDCM36-30-5295;Durham HDCM36-30-5295 12G-HDC STORAGE 24X36X80 MOBILE BLP 30B #52 CH 6PH RS SB 95;nan;nan
2887731;HDCM48-18-2S5295;Durham HDCM48-18-2S5295 12G-HDC STORAGE 24X48X80 MOBILE BLP 18B #52 2S CH 6PH RS SB 95;nan;nan
2887735;HDCM48-42-95;Durham HDCM48-42-95 12G-HDC STORAGE 24X48X80 MOBILE BLP 42B CH 6PH RS SB 95;nan;nan
2887739;HDCO246078-4S95;Durham HDCO246078-4S95 12G-HDC OUTDOOR 24X60X78 4S 6^BA CH 95;nan;nan
2887743;HDC-SH-1836-95;Durham HDC-SH-1836-95 HDC CAB SHELF 15 27/32^ X 33 15/16^ #95 GRAY;nan;nan
2887747;HDC-SH-2024-95;Durham HDC-SH-2024-95 HDC CAB SHELF 16 27/32^ X 21 15/16^ #95 GRAY;nan;nan
2887751;HDC-SH-2430-95;Durham HDC-SH-2430-95 HDC CAB SHELF 20 27/32^ X 27 9/16^ #95 GRAY;nan;nan
2887755;HDC-SH-2460-95;Durham HDC-SH-2460-95 HDC CAB SHELF 20 27/32^ X 57 15/16^ #95 GRAY;nan;nan
2887759;HDCV246078-4S95;Durham HDCV246078-4S95 12G-HDC VENTILATED 24X60X78 4S 6^BA CH 95;nan;nan
2887763;HDCV36-30B-1795;Durham HDCV36-30B-1795 12G-HDC VENTILATED 24X36X78 BLP 30B #17 6^BA CH 95;nan;nan
2887767;HDCV36-6B-3S5295;Durham HDCV36-6B-3S5295 12G-HDC VENTILATED 24X36X78BLP 6B 3S 6^BA CH 95;nan;nan
2887771;HDCV48-18B-3S95;Durham HDCV48-18B-3S95 12G-HDC VENTILATED 24X48X78 BLP 18B 3S 6^BA CH 95;nan;nan
2887775;HDCV48-42B-1795;Durham HDCV48-42B-1795 12G-HDC VENTILATED 24X48X78 BLP 42B #17 6^BA CH 95;nan;nan
2887779;HDCV60-12B-3S5295;Durham HDCV60-12B-3S5295 12G-HDC VENTILATED 24X60X78 BLP 12B #52 3S 6^BA CH 95;nan;nan
2887783;HDCV60-54B-95;Durham HDCV60-54B-95 12G-HDC VENTILATED 24X60X78 BLP54B 6^BA CH 95;nan;nan
2887787;HDDS244878-8S95;Durham HDDS244878-8S95 12G-HDDS DBL SHFT 24X48X78 8S 6^BA CH 95;nan;nan
2887791;HDDS247278-8S95;Durham HDDS247278-8S95 12G-HDC DBL SHFT 24X72X78 8S 6^BA CH 95;nan;nan
2887795;HDJC244878-156-4S1795;Durham HDJC244878-156-4S1795 12G-HDC JANITORIAL BDLP 24X48X78 156B 4S 6^BA CH #17 BINS 95;nan;nan
2887799;HDJC246078-4S95;Durham HDJC246078-4S95 12G-HDC JANITORIAL 24X60X78 4S 6^BA CH 95;nan;nan
2887803;HDS-HUP-72;Durham HDS-HUP-72 72^ HDS UPRIGHT;nan;nan
2887807;HDWB-3660-177-95;Durham HDWB-3660-177-95 HVY DTY WK BCH 36X60X34 177D #95 GRAY;nan;nan
2887811;HDWC243678-5S95;Durham HDWC243678-5S95 12G-HDC WARDROBE 24X36X78 5S 6^BA CH 95;nan;nan
2887815;HDWC246078-5S95;Durham HDWC246078-5S95 12G-HDC WARDROBE 24X60X78 5S 6^BA CH 95;nan;nan
2887819;HET-2436-3-5K-95;Durham HET-2436-3-5K-95 3SC 24X36 5K SH LD 8PH RS 95;nan;nan
2887823;HET-3048-2-5K-95;Durham HET-3048-2-5K-95 2SC 30X48 5K LD 8PH RS 95;nan;nan
2887827;HET-3060-2-95;Durham HET-3060-2-95 2SC 30X60 4K SH LD 6PH RS 95;nan;nan
2887831;HET-3672-2-95;Durham HET-3672-2-95 2SC 36X72 4K SH LD 6PH RS 95;nan;nan
2887835;HMT-2436-2-95;Durham HMT-2436-2-95 2SC 24X36 1.2K LD 5PU RS 95;nan;nan
2887839;HMT-3048-2-95;Durham HMT-3048-2-95 2SC 30X48 1.2K LD 5PU RS 95;nan;nan
2887843;HMT-3672-2-95;Durham HMT-3672-2-95 2SC 36X72 1.2K LD 5PU RS 95;nan;nan
2887847;HTL-3060-DD-2AS-95;Durham HTL-3060-DD-2AS-95 SEC TRK 30X60 2K 2 ADJ SH 6PH RS 95;nan;nan
2887851;HTL-4474-DD-95;Durham HTL-4474-DD-95 SEC TRK 44X74 2K 6PH RS 95;nan;nan
2887855;HTLS-3672-DD-95;Durham HTLS-3672-DD-95 SEC TRK SOLID 36X72 2K 6PH RS 95;nan;nan
2887859;HWB-3660-177D-95;Durham HWB-3660-177D-95 14000# HD WORK BENCH W/ #177 DRAWER #95 GRAY;nan;nan
2887863;HWBMT-364824-95;Durham HWBMT-364824-95 HD WB MACH TABLE 36X48X24 14K #95 GRAY;nan;nan
2887867;HWBMT-366030-95;Durham HWBMT-366030-95 HD WB MACH TABLE 36X60X30 14K #95 GRAY;nan;nan
2887871;HWBMT-367234-95;Durham HWBMT-367234-95 HD WB MACH TABLE 36X72X34 14K #95 GRAY;nan;nan
2887875;JC-171-1795;Durham JC-171-1795 FDC 48X24X78 171B #17 6^BA KH 95;nan;nan
2887879;JC-482478-4S-95;Durham JC-482478-4S-95 FDC 48X24X78 4S 6^BA KH 95;nan;nan
2887883;JCBDLP694RDR-5295;Durham JCBDLP694RDR-5295 FDC 48X24X78 69B #52 1S 4D 12DS KH 95;nan;nan
2887887;JCBDLP724RDR-95;Durham JCBDLP724RDR-95 FDC 48X24X78 72B 1S 4D 12DS KH 95;nan;nan
2887891;LDO-2436-2-95;Durham LDO-2436-2-95 2SC 24X36 1.2K OH BLU 5PU RS SB 95;nan;nan
2887895;LDO-2448-2-95;Durham LDO-2448-2-95 2SC 24X48 1.2K OH BLU 5PU  RS SB 95;nan;nan
2887899;LDO-3048-2-95;Durham LDO-3048-2-95 2SC 30X48 1.2K OH BLU 5PU RSSB 95;nan;nan
2887903;LDO-3060-2-ALU-95;Durham LDO-3060-2-ALU-95 2SC 30X60 1.2K OH ALU 5PU RS SB 95;nan;nan
2887907;LIC-3036-2-95;Durham LIC-3036-2-95 2SC 30X36 1.2K OH BLU 8PN RS RM 95;nan;nan
2887911;LPRDS-34.5X68-95;Durham LPRDS-34.5X68-95 LOUVERED PANEL STAND DOUBLE 34-1/2^ X 68^ #95 GRAY;nan;nan
2887923;LPW-46X64-95;Durham LPW-46X64-95 LOUVERED PANEL WALL (2) 23^ X 64^ PANELS #95 GRAY;nan;nan
2887927;MAS-3060-95;Durham MAS-3060-95 MOBILE ADJ SHELF 27 3/8^ X 59 1/2^ #95 GRAY;nan;nan
2887931;MBC-3060-95;Durham MBC-3060-95 MOB BNCH CAB 4-4^2-6^2-8^ DRW #95;nan;nan
2887935;MSB9-2036-95;Durham MSB9-2036-95 MOBILE STORAGE BIN9 CPT 20^X36^X45 1/2^ 6PH RS SB 95;nan;nan
2887939;MT182430-2K195;Durham MT182430-2K195 MACH TBL 182430 2K 1SH #95;nan;nan
2887947;MT243630-2K295;Durham MT243630-2K295 MACH TBL 243630 2K 2SH #95;nan;nan
2887951;MT244818-2K195;Durham MT244818-2K195 MACH TBL 244818 2K 1SH #95;nan;nan
2887955;MT244836-2K195;Durham MT244836-2K195 MACH TBL 244836 2K 1SH #95;nan;nan
2887963;MTD182424-2K195;Durham MTD182424-2K195 MACH TBL DRW 182424 2K 1SH #95;nan;nan
2887967;MTD243618-2K195;Durham MTD243618-2K195 MACH TBL DRW 243618 2K 1SH #95;nan;nan
2887971;MTD243642-2K195;Durham MTD243642-2K195 MACH TBL DRW 243642 2K 1SH #95;nan;nan
2887975;MTD244836-2K195;Durham MTD244836-2K195 MACH TBL DRW 244836 2K 1SH #95;nan;nan
2887979;MTDM182430-2K195;Durham MTDM182430-2K195 MACH TBL DRW MBL 182430 2K 1SH 3PL #95;nan;nan
2887983;MTDM243624-2K195;Durham MTDM243624-2K195 MACH TBL DRW MBL 243624 2K 1SH 3PL #95;nan;nan
2887987;MTDM244818-2K195;Durham MTDM244818-2K195 MACH TBL DRW MBL 244818 2K 1SH 3PL #95;nan;nan
2887991;MTDM244842-2K195;Durham MTDM244842-2K195 MACH TBL DRW MBL 244842 2K 1SH 3PL #95;nan;nan
2887995;MTM182436-2K195;Durham MTM182436-2K195 MACH TBL MBL 182436 2K 1SH 3PL #95;nan;nan
2887999;MTM243618-2K195;Durham MTM243618-2K195 MACH TBL MBL 243618 2K 1SH 3PL #95;nan;nan
2888003;MTM243630-2K395;Durham MTM243630-2K395 MACH TBL MBL 243630 2K 3SH 3PL #95;nan;nan
2888007;MTM244824-2K195;Durham MTM244824-2K195 MACH TBL MBL 244824 2K 1SH 3PL #95;nan;nan
2888011;MTM244836-3K295;Durham MTM244836-3K295 MACH TBL MBL 244836 3K 2SH 3PL #95;nan;nan
2888015;MTM364836-3K295;Durham MTM364836-3K295 MACH TBL MBL 364836 3K 2SH 3PL #95;nan;nan
2888023;OPC-2448-3-95;Durham OPC-2448-3-95 3SC 24X48X37 5/8 1.2K SH WS 5PU RS SB 95;nan;nan
2888027;OPT-4224-95;Durham OPT-4224-95 OPEN PORTABLE TRUCK 42X24 #95 GRAY;nan;nan
2888031;OPT-7224-95;Durham OPT-7224-95 OPEN PORTABLE TRUCK 72X24 #95 GRAY;nan;nan
2888035;PAT-24-6-9-95;Durham PAT-24-6-9-95 PAN & TRAY RACK 24^ D 9 TRAY #95 GRAY;nan;nan
2888039;PM-2831-OD-95;Durham PM-2831-OD-95 PANEL MOVER SQ FRAME 28X28 #95 GRAY;nan;nan
2888043;PSD-2430-4-D-95;Durham PSD-2430-4-D-95 4SC 24X30 1.2K LU 1D 5PU RS 95;nan;nan
2888051;RB28-8-95;Durham RB28-8-95 RB28 8 SEC STEM ASY 52 7/8^ #95 GRAY;nan;nan
2888055;RB34-5-95;Durham RB34-5-95 RB34 5 SEC STEM ASY 42^ #95 GRAY;nan;nan
2888059;RB34-95;Durham RB34-95 RB34 #95 GRAY;nan;nan
2888063;RB44-5-95;Durham RB44-5-95 RB44 5 SEC STEM ASY 57 1/4^ #95 GRAY;nan;nan
2888075;RIC-306050-3-95;Durham RIC-306050-3-95 3SC 30X60X50 1.2K SH LD 8PN RS RM 95;nan;nan
2888079;RSC12-2436-2-3.6K-95;Durham RSC12-2436-2-3.6K-95 2SC 24X36X38-5/8 3.6K 12^LU SH 6PH RS 95;nan;nan
2888083;RSC-1830-4-95;Durham RSC-1830-4-95 4SC 18X30 1.2K SH LU 5PU RS 95;nan;nan
2888087;RSC-1836-5-95;Durham RSC-1836-5-95 5SC 18X36 1.2K SH LU 5PU RS 95;nan;nan
2888091;RSC-2430-2-95;Durham RSC-2430-2-95 2SC 24X30 1.2K SH LU 5PU RS 95;nan;nan
2888095;RSC-2436-2-95;Durham RSC-2436-2-95 2SC 24X36 1.2K SH LU 5PU RS 95;nan;nan
2888099;RSC-2436-3-3K-TLD-95;Durham RSC-2436-3-3K-TLD-95 3SC 24X36 3K SH TLD 6PH RS 95;nan;nan
2888103;RSC-2436-5-95;Durham RSC-2436-5-95 5SC 24X36 1.2K SH LU 5PU RS 95;nan;nan
2888107;RSC-2448-2-2.4K-ALU-FL-95;Durham RSC-2448-2-2.4K-ALU-FL-95 2SC 24X48 2.4K SH ALU 6PH RS FL 95;nan;nan
2888115;RSC-2448-5-3K-95;Durham RSC-2448-5-3K-95 5SC 24X48 3K SH LU 6PH RS #95;nan;nan
2888119;RSC-3048-2-2.4K-ALU-FL-95;Durham RSC-3048-2-2.4K-ALU-FL-95 2SC 30X48 2.4K SH ALU 6PH RS FL 95;nan;nan
2888123;RSC-3048-5-95;Durham RSC-3048-5-95 5SC 30X48 1.2K SH LU 5PU RS 95;nan;nan
2888127;RSC-3060-3-3K-95;Durham RSC-3060-3-3K-95 3SC 30X60 3K SH LU 6PH RS #95;nan;nan
2888131;RSC-3060-5-3K-95;Durham RSC-3060-5-3K-95 5SC 30X60 3K SH LU 6PH RS #95;nan;nan
2888135;RSC3-1836-2-95;Durham RSC3-1836-2-95 2SC 18X36X35 1.2K 3^LU SH 5PU RS 95;nan;nan
2888139;RSC-3672-5-95;Durham RSC-3672-5-95 5SC 36X72 1.2K SH LU 5PU RS 95;nan;nan
2888143;RSC6-2436-2-3.6K-95;Durham RSC6-2436-2-3.6K-95 2SC 24X36X38-5/8 3.6K  6^ LU SH 6PH RS 95;nan;nan
2888147;RSCE-1830-2-3.6K-ALD-95;Durham RSCE-1830-2-3.6K-ALD-95 2SC 18X30 3.6K ERG ALD 6PH RSSB 95;nan;nan
2888151;RSCE-1836-2-3.6K-95;Durham RSCE-1836-2-3.6K-95 2SC 18X36 3.6K ERG ALU 6PH RS SB 95;nan;nan
2888159;RSCE-2436-2-95;Durham RSCE-2436-2-95 2SC 24X36 1.2K ERG ALU 5PU RS  SB 95;nan;nan
2888163;RSCE-2448-2-3.6K-TLD-95;Durham RSCE-2448-2-3.6K-TLD-95 2SC 24X48 3.6K ERG TLD 6PH RS SB 95;nan;nan
2888167;RSCE-3048-2-3.6K-ALD-95;Durham RSCE-3048-2-3.6K-ALD-95 2SC 30X48 3.6K ERG ALD 6PH RS SB95;nan;nan
2888171;RSCE-3060-2-3.6K-95;Durham RSCE-3060-2-3.6K-95 2SC 30X60 3.6K ERG ALU 6PH RS SB 95;nan;nan
2888175;RSCE-3060-2-TLD-95;Durham RSCE-3060-2-TLD-95 2SC 30X60 1.2K ERG TLD 5PU RS SB 95;nan;nan
2888179;RSCR-2448-ALD-95;Durham RSCR-2448-ALD-95 2SC 24X48 1.5K RH SH LD 8PN RS 95;nan;nan
2888183;RSCR-3060-ALD-95;Durham RSCR-3060-ALD-95 2SC 30X60 1.5K RH SH LD 8PN RS 95;nan;nan
2888187;SJC-BDLP-192-1795;Durham SJC-BDLP-192-1795 DDC 48X24X84 192B #17 KH 95;nan;nan
2888195;SSC-185-3S-95;Durham SSC-185-3S-95 FDC 60X24X84 185B 3S 6^BA PH 95;nan;nan
2888199;SSC-227-1795;Durham SSC-227-1795 FDC 60X24X84 227B #17 6^BA PH 95;nan;nan
2888203;SSC-227-NL-5295;Durham SSC-227-NL-5295 FDC 60X24X78 227B #52 NL PH 95;nan;nan
2888207;SSC-602484-5S-95;Durham SSC-602484-5S-95 FDC 60X24X84 5S 6^BA PH 95;nan;nan
2888211;SSC-722484-BDLP-2123S5295;Durham SSC-722484-BDLP-2123S5295 FDC 72X24X84 212B #52 3SH 6^BA PH 95;nan;nan
2888215;SSC-722484-BDLP-264-95;Durham SSC-722484-BDLP-264-95 FDC 72X24X84 264B 6^BA PH 95;nan;nan
2888223;TRS-3630-95;Durham TRS-3630-95 TRAY-SOLID 36X30 #95 GRAY;nan;nan
2888227;WBF-3060-95;Durham WBF-3060-95 ERGO FOLDING LEG WORK BENCH 30X60 #95 GRAY;nan;nan
2888231;WBF-3660-95;Durham WBF-3660-95 ERGO FOLDING LEG WORK BENCH 36X60 #95 GRAY;nan;nan
2888235;WBF-4896-95;Durham WBF-4896-95 ERGO FOLDING LEG WORK BENCH 48X96 #95 GRAY;nan;nan
2888239;WBF-TH-3096-95;Durham WBF-TH-3096-95 FOLDING LEG WORKBENCH TEMP HDBD 30X96 #95 GRAY;nan;nan
2888243;WBF-TH-3696-95;Durham WBF-TH-3696-95 FOLDING LEG WORKBENCH TEMP HDBD 36X96 #95 GRAY;nan;nan
2888247;WB-SHELF-60-95;Durham WB-SHELF-60-95 12^ X 56 1/2^ WK BENCH SH FOR 60^ #95;nan;nan
2888255;109-95;Durham 109-95 DL 21 W/C #95 GRAY;nan;nan
2888259;117-95;Durham 117-95 DL 6 W/C VERT #95 GRAY;nan;nan
2888263;124-95-12-4/PK;Durham 124-95-12-4/PK SCOOP DL12 #195 4-PACK;nan;nan
2888267;124-95-32-4/PK;Durham 124-95-32-4/PK SCOOP DL32 #195 4-PACK;nan;nan
2888271;314-95-DIV;Durham 314-95-DIV MPB 36 DIVIDER #95 GRAY;nan;nan
2888279;020-95;Durham 020-95 8D/9D DIVBAG OF 6;nan;nan
2888283;209-95;Durham 209-95 DS 16-C #95 GRAY;nan;nan
2888287;226-95;Durham 226-95 DS SHELL W/C #95 GRAY;nan;nan
2888291;510-43-A;Durham 510-43-A 36 UNIT METAL KIT 3 1/8^ PARTITION;nan;nan
2888295;DSH-184-95;Durham DSH-184-95 ADJUSTABLE DOOR SHELF 18^ X 4^ #95;nan;nan
2888299;PB30171-08;Durham PB30171-08 PB DIVVERT PKG OF 6 BLACK PB30230 BIN;nan;nan
2888307;B576-43-HIPS;Durham B576-43-HIPS 36 UHIPSPP HDL/HGRS;nan;nan
2888311;SP6-CLEAR;Durham SP6-CLEAR 6 CMPT.CLEAR POLYPRO;nan;nan
2888315;036-95;Durham 036-95 18/24/30DR11&17BAG OF 12;nan;nan
2888323;B276-43-HIPS;Durham B276-43-HIPS 10 UHIPSWTPP HDL/HGR;nan;nan
2888335;018-45-20/PK;Durham 018-45-20/PK DIV PLAS BFC 20/PK;nan;nan
2888339;445;Durham 445 DURA-HANG PANEL HANGER;nan;nan
2888343;H716;Durham H716 CR TUBE 5/8X25 3/4;nan;nan
2888347;520-43;Durham 520-43 50 KIT#43W/HANGERS;nan;nan
2888355;511-43;Durham 511-43 16P#43 WHITENO GASKET;nan;nan
2888359;525G-43;Durham 525G-43 10P#43 WHTWITH GASKET;nan;nan
2888367;224-D844;Durham 224-D844 DL-21 COVER LABEL;nan;nan
2888371;224-D850;Durham 224-D850 DL-16 COVER LABEL;nan;nan
2888375;224-D857;Durham 224-D857 DS-21 COVER LABEL;nan;nan
2888379;224-D863;Durham 224-D863 DL6V COVER LABEL;nan;nan
2888383;H309;Durham H309 DS-1/PC221 CATCH & PLATE;nan;nan
2886906;1012SL-50;Durham 1012SL-50 FSC 12 GAL. 1 SC DR 23^X18^X42-3/8^ W/LEGS #50 YEL;nan;nan
2886918;1030SL-50;Durham 1030SL-50 FSC 30 GAL. 2 SC DR 43^X18^X51-3/8^ W/LEGS #50 YEL;nan;nan
2886922;1045SL-50;"Durham 1045SL-50 FSC 45 GAL. 2 SC DR 43\ X 18\"" X 72-3/8\"" WITH LEGS #50 YEL""";nan;nan
2886946;1241-95;Durham 1241-95 RB28 ADJ. MET. DIV. 20 PACK #95 GRAY;nan;nan
2887006;2501-4S-95;Durham 2501-4S-95 FDC 16GA 24X36X72 4S KH 95;nan;nan
2887066;304-95;Durham 304-95 BLR STAND #95 GRAY;nan;nan
2887086;317-95;Durham 317-95 BFC 64 #95 GRAY;nan;nan
