id;catalog_number;description;add_descr;attributes
2887232;394-95;Durham 394-95 9^ 20 BIN #95 GRAY;nan;nan
2887236;3953-4S-95;Durham 3953-4S-95 BFD 24X36X84 4S PLDH 95;nan;nan
2887244;3SLT-2436-1.2K-95;Durham 3SLT-2436-1.2K-95 THREE SIDED LOW TRUCK 24X36 RS SB #95 GRAY;nan;nan
2887248;3SLT-3048-1.2K-95;Durham 3SLT-3048-1.2K-95 THREE SIDED LOW TRUCK 30X48 RS SB #95 GRAY;nan;nan
2887252;3ST-EX3048-1AS-95;Durham 3ST-EX3048-1AS-95 3 SIDED TRK EXP MTL30X48 1 ADJ SH #95 GRAY;nan;nan
2887256;3ST-EX3060-1AS-95;Durham 3ST-EX3060-1AS-95 3 SIDED TRK EXP MTL30X60 1 ADJ SH #95 GRAY;nan;nan
2887260;3ST-EX3660-1AS-95;Durham 3ST-EX3660-1AS-95 3 SIDED TRK EXP MTL36X60 1 ADJ SH #95 GRAY;nan;nan
2887264;3ST-EX3672-1AS-95;Durham 3ST-EX3672-1AS-95 3 SIDED TRK EXP MTL36X72 1 ADJ SH #95 GRAY;nan;nan
2887268;400-08;Durham 400-08 #20 LIT RACK #8 BLACK;nan;nan
2887272;400-75;Durham 400-75 #20 LIT RACK #75 TAN;nan;nan
2887276;401-54;Durham 401-54 #31 LIT RACK #54 PUTTY;nan;nan
2887280;402-08;Durham 402-08 #32 LIT RACK#8 BLACK;nan;nan
2887284;402-75;Durham 402-75 #32 LIT RACK#75 TAN;nan;nan
2887288;403-54;Durham 403-54 #33 LIT RACK #54 PUTTY;nan;nan
2887292;4050-3S-95;Durham 4050-3S-95 12GA-BFD 24X36X78 6^BA 3S PLDH 95;nan;nan
2887296;405-95;Durham 405-95 #32-12 LIT RACK#95 GRAY;nan;nan
2887300;406-95;Durham 406-95 #34-12 LIT RACK#95 GRAY;nan;nan
2887304;407-95-A;Durham 407-95-A 3212/2012 LEG#95 GRAY;nan;nan
2887308;408-55-A;Durham 408-55-A LIT RACK LEGASSEM #55;nan;nan
2887312;411-54;Durham 411-54 #20-12 LIT RACK54 PUTTY;nan;nan
2887316;422-54;Durham 422-54 2033/8020/8831BASE ONLY;nan;nan
2887320;423-54;Durham 423-54 4032#54 PUTTYBASE ONLY;nan;nan
