id,catalog_number,attributes
248672,SDS 1 9/16,"""Keyway""=>""3/8\"" x 3/16\"""", ""Bore Size""=>""1-9/16\"""""
248676,SDS 15/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""15/16\"""""
248700,SF 1 3/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1-3/16\"""""
248704,SF 1 3/8 3/8K,nan
248716,SF 2 1/16,"""Keyway""=>""1/2\"" x 1/4\"""", ""Bore Size""=>""2-1/16\"""""
248824,SK 2 1/16,"""Keyway""=>""1/2\"" x 1/4\"""", ""Bore Size""=>""2-1/16\"""""
248615,S,nan
248627,SD 1 3/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1-3/16\"""""
248631,SD 1 5/16,"""Keyway""=>""5/16\"" x 5/32\"""", ""Bore Size""=>""1-5/16\"""""
248635,SD 1 9/16,"""Keyway""=>""3/8\"" x 3/16\"""", ""Bore Size""=>""1-9/16\"""""
248639,SD 15/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""15/16\"""""
259151,1.20E+20,nan
259167,1.20E+28,nan
259171,1.20E+32,nan
248711,SF 1/2,"""Keyway""=>""1/8\"" x 1/16\"""", ""Bore Size""=>""1/2\"""""
248719,SF 2 1/4 5/8K,nan
248727,SF 2 5/16,"""Keyway""=>""5/8\"" x 3/16\"""", ""Bore Size""=>""2-5/16\"""""
248731,SF 2 9/16,"""Keyway""=>""5/8\"" x 1/16\"""", ""Bore Size""=>""2-9/16\"""""
248775,SH 11/16,"""Keyway""=>""3/8\"" x 3/16\"""", ""Bore Size""=>""11/16\"""""
248811,SK 1 3/4 1/2K,nan
248827,SK 2 1/4 5/8K,nan
248831,SK 2 5/16,"""Keyway""=>""5/8\"" x 1/16\"""", ""Bore Size""=>""2-5/16\"""""
249089,W-BOLTS,nan
249225,10S 1 1/4,nan
249237,10S 2 1/2,nan
249241,10S 2 3/4,nan
249261,1008 11/16,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""11/16\"""""
249273,1008  9/16,"""Keyway""=>""1/8\"" x 1/16\"""", ""Bore Size""=>""9/16\"""""
249293,11S 1 3/8,nan
249297,11S 1 9/16,nan
249301,11S 2 1/8,nan
248946,S25-8,nan
248998,U1 2 9/16,nan
259426,1.40E+18,nan
259430,1.40E+20,nan
259438,1.40E+24,nan
249114,WS-A,nan
259432,1.40E+21,nan
259436,1.40E+23,nan
249088,W-A,nan
248995,U1 2 5/8,nan
249003,U1 3 11/16,nan
249317,1108 1/2,"""Keyway""=>""1/8\"" x 1/16\"""", ""Bore Size""=>""1/2\"""""
249373,1210 11/16,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""11/16\"""""
249397,1215 11/16,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""11/16\"""""
249413,1215  9/16,"""Keyway""=>""1/8\"" x 1/16\"""", ""Bore Size""=>""9/16\"""""
249433,1310 1 1/4,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1-1/4\"""""
249437,1310 1 5/16,"""Keyway""=>""5/16\"" x 5/32\"""", ""Bore Size""=>""1-5/16\"""""
249441,1310 15/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""15/16\"""""
249445,1310  9/16,nan
249457,14S 2 7/8,nan
249469,1610 1 5/16,"""Keyway""=>""5/16\"" x 5/32\"""", ""Bore Size""=>""1-5/16\"""""
249493,1610  9/16,nan
249501,1615 1 5/16,"""Keyway""=>""5/16\"" x 5/32\"""", ""Bore Size""=>""1-5/16\"""""
249509,1615 15/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""15/16\"""""
249525,1615  9/16,"""Keyway""=>""1/8\"" x 1/16\"""", ""Bore Size""=>""9/16\"""""
249537,2012 1 5/16,"""Keyway""=>""5/16\"" x 5/32\"""", ""Bore Size""=>""1-5/16\"""""
249541,2012 1 9/16,"""Keyway""=>""3/8\"" x 3/16\"""", ""Bore Size""=>""1-9/16\"""""
249585,2517 13/16,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""13/16\"""""
249621,2525 1 11/16,"""Keyway""=>""3/8\"" x 3/16\"""", ""Bore Size""=>""1-11/16\"""""
249625,2525 1 3/4,"""Keyway""=>""3/8\"" x 3/16\"""", ""Bore Size""=>""1-3/4\"""""
249637,2525 2 1/4,"""Keyway""=>""1/2\"" x 1/4\"""", ""Bore Size""=>""2-1/4\"""""
249641,2525 2 5/16,"""Keyway""=>""5/8\"" x 3/16\"""", ""Bore Size""=>""2-5/16\"""""
249681,3020 2 5/16,"""Keyway""=>""5/8\"" x 5/16\"""", ""Bore Size""=>""2-5/16\"""""
249701,3030 1,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1\"""""
249705,3030 1 1/8,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1-1/8\"""""
249713,3030 1 5/8,"""Keyway""=>""3/8\"" x 3/16\"""", ""Bore Size""=>""1-5/8\"""""
249226,10S 1 1/8,nan
249230,10S 1 3/8,nan
249234,10S 1 9/16,nan
249238,10S 2 1/4,nan
259594,16BTB80,nan
249262,1008 13/16,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""13/16\"""""
249294,11S 1 5/8,nan
249302,11S 2 3/4,nan
249306,11S 3 3/8,nan
249314,1108 1,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1\"""""
249318,1108 11/16,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""11/16\"""""
249330,1108 7/8,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""7/8\"""""
249346,12S 1 7/8,nan
249354,12S 3 7/8,nan
249374,1210 13/16,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""13/16\"""""
249390,1210  9/16,"""Keyway""=>""1/8\"" x 1/16\"""", ""Bore Size""=>""9/16\"""""
249398,1215 13/16,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""13/16\"""""
249438,1310 1/2,"""Keyway""=>""1/8\"" x 1/16\"""", ""Bore Size""=>""1/2\"""""
249474,1610 11/16,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""11/16\"""""
249498,1615 1 1/8,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1-1/8\"""""
249506,1615 11/16,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""11/16\"""""
249538,2012 1 5/8,"""Keyway""=>""3/8\"" x 3/16\"""", ""Bore Size""=>""1-5/8\"""""
249566,2012  9/16,"""Keyway""=>""1/8\"" x 1/16\"""", ""Bore Size""=>""9/16\"""""
249574,2517 1 15/16,"""Keyway""=>""1/2\"" x 1/4\"""", ""Bore Size""=>""1-15/16\"""""
249228,10S 1 15/16,nan
249236,10S 2 1/16,nan
249240,10S 2 3/16,nan
249244,10S 2 7/8,nan
249264,1008 15/16,"""Keyway""=>""1/4\"" x 1/16\"""", ""Bore Size""=>""15/16\"""""
249300,11S 2 1/4,nan
249304,11S 2 5/8,nan
249352,12S 3 15/16,nan
249368,1210 1 1/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1-1/16\"""""
249376,1210 15/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""15/16\"""""
249392,1215 1 1/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1-1/16\"""""
249396,1215 1/2,"""Keyway""=>""1/8\"" x 1/16\"""", ""Bore Size""=>""1/2\"""""
259551,16A60,nan
249239,10S 2 1/8,nan
249243,10S 2 7/16,nan
249291,11S 1 1/4,nan
249295,11S 1 7/16,nan
249331,1108  9/16,"""Keyway""=>""1/8\"" x 1/16\"""", ""Bore Size""=>""9/16\"""""
249347,12S 2 1/8,nan
249351,12S 2 7/8,nan
249371,1210 1 3/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1-3/16\"""""
249395,1215 1 3/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1-3/16\"""""
249431,1310 1,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1\"""""
249435,1310 1 3/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1-3/16\"""""
249439,1310 11/16,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""11/16\"""""
249443,1310 5/8,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""5/8\"""""
249463,1610 1 1/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1-1/16\"""""
249467,1610 1 3/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1-3/16\"""""
