id,catalog_number,attributes
2851205,SKTL10021,"Catalog Number:SKTL7521, SKTL10021, SKTL12524, SKTL15025, SKTL20027, SKTL25030, SKTL30033, SKTL35036"
2851194,SKR7510,"Catalog Number:SKR506, SKR628, SKR7510, SKR10012, SKR12514, SKR15015, SKR17516, SKR20019, SKR25020, SKR30021, SKR35024"
2851197,SKT15025,"Catalog Number:SKT7520, SKT10020, SKT12523, SKT15025, SKT20026, SKT25029, SKT30032, SKT35025"
2851195,SKT10015,"Catalog Number:SKT7512, SKT10015, SKT12516, SKT15017, SKT17518, SKT20019, SKT25020, SKT30021, SKT35022"
2851196,SKT12516,"Catalog Number:SKT7512, SKT10015, SKT12516, SKT15017, SKT17518, SKT20019, SKT25020, SKT30021, SKT35022"
2851192,SKR30021,"Catalog Number:SKR506, SKR628, SKR7510, SKR10012, SKR12514, SKR15015, SKR17516, SKR20019, SKR25020, SKR30021, SKR35024"
2851193,SKR506,"Catalog Number:SKR506, SKR628, SKR7510, SKR10012, SKR12514, SKR15015, SKR17516, SKR20019, SKR25020, SKR30021, SKR35024"
2851190,SKR15015,"Catalog Number:SKR506, SKR628, SKR7510, SKR10012, SKR12514, SKR15015, SKR17516, SKR20019, SKR25020, SKR30021, SKR35024"
2851191,SKR17516,"Catalog Number:SKR506, SKR628, SKR7510, SKR10012, SKR12514, SKR15015, SKR17516, SKR20019, SKR25020, SKR30021, SKR35024"
2851189,SKR10012,"Catalog Number:SKR506, SKR628, SKR7510, SKR10012, SKR12514, SKR15015, SKR17516, SKR20019, SKR25020, SKR30021, SKR35024"
2851167,SGUR75,"Catalog Number:SGUR50, SGUR63, SGUR75, SGUR100, SGUR125, SGUR150, SGUR175, SGUR200, SGUR250, SGUR300, SGUR350"
2851165,SGUR350,"Catalog Number:SGUR50, SGUR63, SGUR75, SGUR100, SGUR125, SGUR150, SGUR175, SGUR200, SGUR250, SGUR300, SGUR350"
2851166,SGUR63,"Catalog Number:SGUR50, SGUR63, SGUR75, SGUR100, SGUR125, SGUR150, SGUR175, SGUR200, SGUR250, SGUR300, SGUR350"
2851164,SGUR300,"Catalog Number:SGUR50, SGUR63, SGUR75, SGUR100, SGUR125, SGUR150, SGUR175, SGUR200, SGUR250, SGUR300, SGUR350"
2851162,SGUR125,"Catalog Number:SGUR50, SGUR63, SGUR75, SGUR100, SGUR125, SGUR150, SGUR175, SGUR200, SGUR250, SGUR300, SGUR350"
