id,catalog_number,add_descr,attributes
2887119,3501-BDLP-102-3S-5295,,Model:3501-BDLP-102-3S-5295|Weight:468 lbs. / 212 kgs.|Shelves:(3) Adjustable|Dimensions Overall:in: 36 x 24 x 72   mm: 915 x 610 x 1829|Bins:102|Dimensions Bins:(48)   in: 4 x 5 x 3   (48)   in: 4 x 7 x 3   (6)   in: 16 x 15 x 7
2887135,3501-HDL-50,Spill Control Cabinet with Wardrobe/Broom Storage,Model:3501-HDL-50|Weight:408 lbs. / 185 kgs.|Shelves:4 adjustable  1 fixed|Capacity:Adjustable shelves:   300 lbs. / 136 kgs.  Fixed shelf:   900 lbs. / 408 kgs.|Dimensions Overall:in: 36 x 24 x 78   mm: 914 x 610 x 198|Colors:Durable safety yellow powder coat finish
2887139,3501M-BLP-30-1795,Mobile Cabinet with Hook-On Bins ,"Model:3501M-BLP-30-1795|Weight:446 lbs. / 202 kgs.|Dimensions Overall:in: 36 x 24 x 80  mm: 915 x 610 x 2032|Material:14 Gauge Mobile Cabinet Bins|Colors:Durable, textured, gray powder coat finish|No of Bins:in:   (12) 6 x 11 x 5   (12) 8 x 15 x 7   (6) 16 x 15 x 7"
2887143,3502-138-3S-1795,,Model:3502-138-3S-1795|Weight:416 lbs. / 189 kgs.|Shelves:(3) Adjustable|Dimensions Overall:in: 48 x 24 x 72   mm: 1219 x 610 x 1829|Bins:138|Dimensions Bins:in:  (48) 4 x 5 x 3  (72) 4 x 7 x 3  (12) 8 x 15 x 7  (6) 16 x 15 x 7
2887095,3400-95,,"Model:3400-95|Weight:267 lbs. / 121 kgs.|Dimensions Overall:in: 48 x 24 x 37-3/4  mm: 1219 x 610 x 959  * handle adds 6"" to width|Colors:Durable, textured, gray powder coat finish|Drawer Dimensions:N/A"
2887151,3502M-BLP-18-2S-1795,Mobile Cabinet with Hook-On Bins and Shelves,"Model:3502M-BLP-18-2S-1795|Weight:514 lbs. / 233 kgs.|Shelves:2|Capacity:Overall Capacity of 3,600 lbs. / 1633 kgs  Shelf Capacity of 700 lbs. / 318 kgs|Dimensions Overall:in: 48 x 24 x 80  mm: 1219 x 610 x 2032|Material:14 Gauge All Welded Steel|Colors:Durable, textured, gray powder coat finish|No of Bins:in:  (12) 8 x 15 x 7  (6) 16 x 15 x 7"
2887155,3502M-BLP-42-5295,Mobile Cabinet with Hook-On Bins ,"Model:3502M-BLP-42-5295|Weight:504 lbs. / 229 kgs.|Dimensions Overall:in: 48 x 24 x 80  mm: 1219 x 610 x 2032|Material:14 Gauge Mobile Cabinet Bins|Colors:Durable, textured, gray powder coat finish|No of Bins:in:  (24) 6 x 11 x 5   (12) 8 x 15 x 7   (6) 16 x 15 x 7"
2887167,3600-95,14 Gauge Cabinet with,"Model:3600-95|Weight:232 lbs. / 105 kgs.|Shelves:2 Adjustable|Dimensions Overall:in: 36 x 18 x 48   mm: 915 x 457 x 1219|Colors:Durable, textured, gray powder coat finish"
2887184,362-95,"Base for 032, 033, 035",Model:362-95|Weight:19 lbs. / 9 kgs.|Drawers:N/A|Carton Pk:1|Material:Prime Cold Rolled Steel |Colors:gray |Depth:in: 17-1/4  mm: 438|Height:in: 5-3/4  mm: 146|Width:in: 34-1/8  mm: 867
2887159,350-95,72 Opening Bin ,Model:350-95|Weight:70 lbs | 31 kgs|Dimensions Overall:in: 33-3/4 x 8-1/2 x 41-1/2 mm: 858 x 216 x 1054|Bins:72|Dimensions Bins:in: 4 x 8 3/8 x 4 1/2  mm: 102 x 213 x 114|Carton Pk:1|Material:Prime Cold Rolled Steel-Interlocking and Welded Construction|Colors:Durable gray powder coat finish  
2887147,3502-186-5295,,Model:3502-186-5295|Weight:416 lbs. / 189 kgs.|Dimensions Overall:in: 48 x 24 x 72  mm: 1219 x 610 x 1829|Bins:186|Dimensions Bins:in:  (48) 4-3/16 x 5-7/16 x 3  (96) 4-3/16 x 7-7/16 x 3  (24) 5-1/2 x 11-3/8 x 5  (12) 8-1/4 x 14-5/8 x 7  (6) 16-3/4 x 14-5/8 x 7
2887171,3602-BLP-14-2S-5295,,Model:3602-BLP-14-2S-5295|Weight:417 lbs. / 189 kgs. |Shelves:(2) Adjustable|Dimensions Overall:in: 36 x 18 x 72   mm: 915 x 457 x 1829|Bins:14|Dimensions Bins:(12)   in: 8 x 15 x 7   (2)   in: 16 x 15 x 7 
2887176,3602-BLP-36-95,,Model:3602-BLP-36-95|Weight:413 lbs. / 187 kgs.|Dimensions Overall:in: 36 x 18 x 72  mm: 915 x 457 x 1829|Bins:36|Dimensions Bins:in:  (18) 6 x 11 x 5  (12) 8 x 15 x 7  (6) 16  x 15 x 7
2887200,3702-132-95,,Model:3702-132-95|Weight:472 lbs / 214 kgs.|Dimensions Overall:in: 36 x 24 x 78  mm: 915 x 610 x 1981|Bins:132|Dimensions Bins:in:  (96) 4 x 5 x 3  (36) 8 x 15 x 7
2887196,3700-2S-95,14 Gauge Cabinet with,"Model:3700-2S-95|Weight:272 lbs. / 123 kgs.|Shelves:2 Adjustable|Dimensions Overall:in: 36 x 24 x 42   mm: 915 x 610 x 1067|Colors:Durable, textured, gray powder coat finish"
2887192,366-95,"Hinged door set with padlock attachment is available for models 329-95, 330-95, 356-95, and 359-95. They are shipped separately and attached using sheet metal screws or pop rivets. Padlock not provided","Model:366-95|Weight:11 lbs/5 kgs|Dimensions Overall:33-3/4""W x 23-7/8""D = 857mm x 606mm|Material:Steel"
2887163,356-95,,"Model:356-95|Weight:35 lbs. / 16 kgs.|Bins:24|Dimensions Bins:5 3/8"" x 11 7/8"" x 5 1/2"" = 137mm x 302mm x 180 mm|Material:Prime Cold Rolled Steel-Interlocking and Welded Construction|Colors:Durable, gray powder coat finish|Depth:12 in | 304 mm|Height:23 7/8 in | 606 mm|Width:33 3/4 in | 857 mm"
2887204,3702-4S-95,14 Gauge Cabinet with,"Model:3702-4S-95|Weight:396 lbs. / 180 kgs.|Shelves:4 Adjustable|Dimensions Overall:36""W x 24""D x 78""H = 914mm x 610mm 1981mm|Colors:Durable, textured, gray powder coat finish"
2887208,3702CXC-30B-95,Access Control Cabinet with Audit Trail - Hook-On Bins Included,Model:3702CXC-30B-95|Weight:403 lbs.  183 kgs.|Dimensions Overall:in: 36 x 24 x 78  mm: 914.4 x 609.6 x 1219.2|Bins:in:   (12) 5-1/2 x 11-3/8 x 5  (12) 8-1/4 x 14-5/8 x 7  (6) 16-3/4 x 14-5/8 x 7|Material:Heavy duty all welded 14 gauge steel construction 
2887212,3703CXC-42B-1795,Access Control Cabinet with Audit Trail - Hook-On Bins Included,Model:3703CXC-42B-1795|Weight:472 lbs.  214.1 kgs.|Dimensions Overall:in: 48 x 24 x 78  mm: 1219.2 x 609.6 x 1219.2|Bins:in:   (24) 5-1/2 x 11-3/8 x 5  (12) 8-1/4 x 14-5/8 x 7  (6) 16-3/4 x 14-5/8 x 7|Material:Heavy duty all welded 14 gauge steel construction 
2887216,3704-4S-95,,Model:3704-4S-95|Weight:564 lbs. / 256 kgs.|Shelves:(4) - Adjustable Shelves|Dimensions Overall:in: 60 x 24 x 78   mm: 1524 x 610 x 1981
2887220,3704CXC-54B-95,Access Control Cabinet with Audit Trail - Hook-On Bins Included,Model:3704CXC-54B-95|Weight:560 lbs.  254.1 kgs.|Dimensions Overall:in: 60 x 24 x 78  mm: 1524 x 609.6 x 1219.2|Bins:in:   (36) 5-1/2 x 11-3/8 x 5  (12) 8-1/4 x 14-5/8 x 7  (6) 16-3/4 x 14-5/8 x 7|Material:Heavy duty all welded 14 gauge steel construction 
2887228,383-95,Single Rod Rack,Model:383-95 |Weight:10 lbs. / 6 kgs.|Carton Pk:1|Material:All Welded Cold Rolled Steel|Colors:Gray Powder Coated Finish|Depth:in: 5-7/8  mm: 149|Height:in: 14  mm: 356|Width:in: 26-1/8   mm: 664
2887244,3SLT-2436-1.2K-95,3 Sided Low Deck Stock Truck,"Model:3SLT-2436-1.2K-95|Weight:126 lbs. / 57 kgs.|Dimensions Overall:in: 36 x 24 x 40  mm: 915 x 610 x 1016|Colors:Durable, textured, gray powder coat finish"
