id,catalog_number,add_descr,attributes
2886872,016-95,20 bin plastic drawer cabinet. Overall Bin dimensions are 2-13/16 x 5-15/32 x 1-7/8,"Model:016-95|Weight:10 lbs/4.54|Dimensions Overall:16-3/4""W x 6-3/8""D x 12""H = 425mm x 162mm x 305mm|Bins:20|Carton Pk:1"
2886880,027-95,"30 Drawer Cabinet Systems-with 17"" Deep Extra large capacity drawers","Model:027-95|Weight:131 lbs/60 kgs|Carton Pk:1|Material:Prime cold rolled steel, interlocking and all welded construction|Colors:Gray Powder Coat Finish|Depth:17-1/4 in = 438 mm|Height:26-7/8 in = 683 mm|Width:34 in = 864 mm|Drawer Dimensions:in: 4-7/8 x 17 x 3-1/2  mm: 124 x 432 x 89"
2886908,1016ML-50,"FM Approved, 16 Gallon, manual closing, Flammable Storage Cabinet with Legs ",Model:1016ML-50|Weight:196 lbs. / 89 kgs.|Shelves:1|Capacity:16 Gallons (61 Liters)|Dimensions Overall:in: 23 x 18 x 50  mm: 584 x 457 x 1270|Colors:Safety yellow powder coat finish
2886924,1060M-50,FM Approved Manual Closing Safety Cabinet ,Model:1060M-50|Weight:506 lbs. / 230 kgs.|Shelves:2|Capacity:60 Gallons / 227 Liters|Dimensions Overall:in: 34 x 34 x 65  mm: 864 x 864 x 1651|Colors:Safety Yellow
2886932,1090S-50,FM Approved Self Closing Safety Cabinet,Model:1090S-50|Weight:620 lbs. / 282 kgs.|Shelves:2|Capacity:90 Gallons / 341 Liters|Dimensions Overall:in: 43 x 34 x 66-3/8  mm: 1092 x 864 x 1686|Colors:Safety Yellow
2886884,031-95,24 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.,Model:031-95|Weight:67 lbs / 30 kgs.|Drawers:(24)  in: 4-7/8 x 11-1/4 x 3-1/2  mm: 124 x 286 x 89|Carton Pk:1|Material:Prime Cold Rolled Steel-Interlocking and Welded Construction|Colors:Durable gray powder coat finish  |Depth:in: 11 3/4   mm: 298 |Height:in: 17   mm: 431 |Width:in: 33 3/4   mm: 857 
2886936,1106-95,"17""(432mm) Diameter Rotabin®",Model:1106-95|Weight:30 lbs. / 14 kgs.|Shelves:6|Capacity:360 lbs. / 163 kgs.|Carton Pk:1|Material:All Welded Prime Cold Rolled Steel|Colors:Gray Powder Coated Finish is Rust and Acid Resistant|Height:in: 25-3/8   mm: 645
2886892,056-95,Utility Cabinet AU3 with adjustable shelves,"Model:056-95|Weight:35 lbs. / 16 kgs.|Dimensions Overall:in: 19-7/8 x 14-1/4 x 32-3/4   mm: 505 x 362 x 832|Carton Pk:1|Material:Prime Cold Rolled Steel-Interlocking Construction|Colors:Durable. textured, gray powder coat finish"
2886900,1004S-50,Flammable Safety Cabinet,Model:1004S-50|Weight:110 lbs. / 50 kgs.|Shelves:1|Capacity:4 Gallons|Dimensions Overall:in:   17-3/8 x 18-1/8 x 23-3/8  mm: 441 x 461 x 593|Colors:Yellow
2886920,1045ML-50,"FM Approved, 45 Gallon, manual closing, Flammable Storage Cabinet with Legs ",Model:1045ML-50|Weight:428 lbs. / 194 kgs.|Shelves:2|Capacity:45 Gallons (170 Liters)|Dimensions Overall:in: 43 x 18 x 71   mm: 1092 x 457 x 1803|Colors:Safety yellow powder coat finish
2886868,007-95,24 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.,Model:007-95|Weight:57 lbs / 26 kgs.|Drawers:(24)  in: 4-7/8 x 11-1/4 x 2-3/4  mm: 124 x 286 x 70|Carton Pk:1|Material:Prime Cold Rolled Steel-Interlocking and Welded Construction|Colors:Durable gray powder coat finish  |Depth:in: 11 5/8   mm: 295 |Height:in: 14 3/8  mm: 365 |Width:in: 33 3/4   mm: 857 mm
2886896,060-95-WSS,Wall Mountable Cabinet with Slotted Shelf,Model:060-95-WSS|Weight:40 lbs.|Shelves:1|Capacity:150 lbs.|Dimensions Overall:33-3/4 x 11-7/8 x 23-7/8|Colors:Durable gray powder coat paint
2886980,2210A-PB-LU-95,,"Model:2210A-PB-LU-95|Weight:184 lbs. / 84 kgs.|Dimensions Overall:in: 36 x 18-1/4 x 67  mm: 915 x 464 x 1702|Colors:Durable, textured, gray powder coat finish|Drawer Dimensions:Pegboard Panel "
2886972,2200-95,,"Model:2200-95|Weight:102 lbs. / 46 kgs.|Dimensions Overall:in: 24 x 18 x 36-1/2  mm: 610 x 457 x 927  * handle adds 6"" to width|Side Compartment:Compartment Size: 21-7/16 x 18 x 11|Colors:Durable, textured, gray powder coat finish|Drawer Dimensions:N/A"
2886888,035-95,30 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.,Model:035-95|Weight:109 lbs. / 50 kgs.|Drawers:(30)  in: 4-7/8 x 17 x 3-1/2  mm: 124 x 432 x 89|Carton Pk:1|Material:Prime Cold Rolled Steel-Interlocking and Welded Construction|Colors:Durable gray powder coat finish  |Depth:in: 17 1/4   mm: 438 |Height:in: 21 1/8   mm: 537 |Width:in: 33 3/4   mm: 857 
2886960,1341-95,Adjustable Steel Divider,Model:1341-95|Weight:18 lbs/ 8.18 kgs|Carton Pk:20
2887004,2500-138B-95,16 Gauge Cabinets with Hook-On Bins,"Model:2500-138B-95|Weight:364 lbs. / 165 kgs.|Dimensions Overall:in: 36 x 24 x 84  mm: 915 x 610 x 2134|Dimensions Bins:in:  (48) 4-3/16 x 5-7/16 x 3  (48) 4-3/16 x 7-7/16 x 3  (24) 5-1/2 x 11-3/8 x 5  (12) 8-1/4 x 14-5/8 x 7  (6) 16-3/4 x 14-5/8 x 7|Colors:Durable, textured, gray powder coat finish"
2886988,2212A-TH-LU-95,,"Model:2212A-TH-LU-95|Weight:206 lbs. / 94 kgs.|Shelves:1|Dimensions Overall:in: 36 x 18 x 38-3/8  mm: 915 x 457 x 975|Colors:Durable, textured, gray powder coat finish|Drawer Dimensions:(1) in: 20-7/16 x 14-11/16 x 5-7/8   mm: 508 x 502 x 127"
2886984,2211-DLP-6DR-RM-9B-95,,"Model:2211-DLP-6DR-RM-9B-95|Weight:226 lbs. / 103 kgs.|Drawers:(2) 20-7/16 x 14-11/16 x 4-7/8  (4) 20-7/16 x 14-11/16 x 2-7/8|Capacity:1200 lbs. / 544 kgs.  (also holds 6' ladder on back)|Dimensions Overall:in: 48 x 18 x 36-1/2  mm: 1219 x 457 x 927|Colors:Durable, textured, gray powder coat finish|No of Bins:(9) in: 4 x 5 x 3  mm: 102 x 127 x 76.2"
2887008,2501-BDLP-102-3S-5295,16 Gauge Cabinets with Hook-On Bins and Shelves,"Model:2501-BDLP-102-3S-5295|Weight:354 lbs. / 161 kgs.|Shelves:2|Capacity:Shelf Capacity 700 lbs. / 318 kgs.|Dimensions Overall:in: 36 x 24 x 72  mm: 915 x 610 x 1829|Dimensions Bins:in:  (48) 4-3/16 x 5-7/16 x 3  (48) 4-3/16 x 7-7/16 x 3  (6) 16-3/4 x 14-5/8 x 7|Colors:Durable, textured, gray powder coat finish"
2887016,2501M-BLP-30-1795,Mobile Cabinet with Hook-On Bins ,"Model:2501M-BLP-30-1795|Weight:437 lbs. / 198 kgs.|Dimensions Overall:in: 36 x 24 x 80  mm: 915 x 610 x 2032|Material:16 Gauge Mobile Cabinet Bins|Colors:Durable, textured, gray powder coat finish|No of Bins:in:   (12) 6 x 11 x 5   (12) 8 x 15 x 7   (6) 16 x 15 x 7  "
2887012,2501-BDLP-126-95,16 Gauge Cabinets with Hook-On Bins,"Model:2501-BDLP-126-95|Weight:354 lbs. / 161 kgs.|Dimensions Overall:in: 36 x 24 x 72  mm: 915 x 610 x 1829|Dimensions Bins:in:  (48) 4-3/16 x 5-7/16 x 3  (48) 4-3/16 x 7-7/16 x 3  (12) 5-1/2 x 11-3/8 x 5  (12) 8-1/4 x 14-5/8 x 7  (6) 16-3/4 x 14-5/8 x 7|Colors:Durable, textured, gray powder coat finish"
2887024,2502-186-5295,16 Gauge Cabinets with Hook-On Bins,"Model:2502-186-5295|Weight:394 lbs. / 179 kgs.|Dimensions Overall:in: 48 x 24 x 72  mm: 1219 x 610 x 1829|Dimensions Bins:in:  (48) 4-3/16 x 5-7/16 x 3  (96) 4-3/16 x 7-7/16 x 3  (24) 5-1/2 x 11-3/8 x 5  (12) 8-1/4 x 14-5/8 x 7  (6) 16-3/4 x 14-5/8 x 7|Colors:Durable, textured, gray powder coat finish"
2887020,2502-138-3S-1795,16 Gauge Cabinets with Hook-On Bins and Shelves,"Model:2502-138-3S-1795|Weight:570 lbs. / 259 kgs.|Shelves:3|Capacity:Shelf Capacity 700 lbs. / 318 kgs.|Dimensions Overall:in: 48 x 24 x 72  mm: 1219 x 610 x 1829|Dimensions Bins:in:  (48) 4-3/16 x 5-7/16 x 3  (72) 4-3/16 x 7-7/16 x 3  (12) 8-1/4 x 14-5/8 x 7  (6) 16-3/4 x 14-5/8 x 7|Colors:Durable, textured, gray powder coat finish"
2887028,2502M-BLP-18-2S-5295,Mobile Cabinet with Hook-On Bins and Shelves,"Model:2502M-BLP-18-2S-5295|Weight:406 lbs. / 184 kgs|Shelves:2|Capacity:Overall Capacity of 2,800 lbs. / 1,270 kgs.  Shelf Capacity of 500 lbs. / 227 kgs.|Dimensions Overall:in: 48 x 24 x 80  mm: 1219 x 610 x 2032|Material:16 Gauge All Welded Steel|Colors:Durable, textured, gray powder coat finish|No of Bins:in:  (12) 8 x 15 x 7  (6) 16 x 15 x 7"
2887032,2502M-BLP-42-95,Mobile Cabinet with Hook-On Bins ,"Model:2502M-BLP-42-95|Weight:378 lbs. / 172 kgs.|Dimensions Overall:in: 48 x 24 x 80  mm: 1219 x 610 x 2032|Material:16 Gauge Mobile Cabinet Bins|Colors:Durable, textured, gray powder coat finish|No of Bins:in:   (24) 6 x 11 x 5   (12) 8 x 15 x 7   (6) 16 x 15 x 7"
2887036,2505-4S-95,,"Model:2505-4S-95|Weight:444 lbs. / 201 kgs.|Shelves:4|Capacity:500 lbs. / 227 kgs. per shelf|Dimensions Overall:in: 48 x 24 x 78  mm: 1219 x 610 x 1981|Colors:Durable, textured, gray powder coat finish"
2887040,2602-4S-95,,"Model:2602-4S-95|Weight:304 lbs. / 138 kgs.|Shelves:4|Capacity:700 lbs. / 318 kgs. per shelf|Dimensions Overall:36""W x 18""D x 72""H = 914mm x 457mm x 1829mm|Colors:Durable, textured, gray powder coat finish"
2887076,3100-BLP-18-95,,"Model:3100-BLP-18-95|Weight:212 lbs. / 96 kgs.|Dimensions Overall:in: 36 x 24 x 37-3/4   mm: 915 x 610 x 959  * handle adds 6"" to width|Colors:Durable, textured, gray powder coat finish|Drawer Dimensions:N/A"
2887056,2SPT-3060-2-2K-95,"All welded, heavy duty 14 gauge steel stock truck with phenolic casters, (2) swivel and (2) rigid and 2 shelves, tubular handle allows easy mobility. Ships fully assembled and ready for use. ","Model:2SPT-3060-2-2K-95|Weight:210 lbs. / 96 kgs.|Capacity:2,000 lbs. / 908 kgs.|Dimensions Overall:in: 60 x 30 x 57  mm: 762 x 1524 x 934|Colors:Durable, gray, textured powder coat finish"
2887084,315-95,"Large Rack base (15 1/2"" W X 15 1/8"" H X 12 1/8"" D; weight 12 lbs.) is available for all small slide racks (models 306-95, 307-95 and 308-95).",Model:315-95|Weight:12 lbs / 6 kgs|Dimensions Overall:in: 15-1/2 x 12-1/8 x 15-1/8  mm: 394 x 308 x 384|Carton Pk:1|Material:Prime Cold Rolled Steel-Interlocking and Welded Construction|Colors:Durable gray powder coat finish
2887092,329-95,,"Model:329-95|Weight:26 lbs. / 12 kgs.|Bins:4|Dimensions Bins:16 3/4"" x 11 7/8"" x 11 7/8"" = 425mm x 302mm x 302mm|Material:Prime Cold Rolled Steel-Interlocking and Welded Construction|Colors:Durable, gray powder coat finish|Depth:12 in | 304 mm|Height:23 7/8 in | 606 mm|Width:33 3/4 in | 857 mm"
2887096,3401-95,,"Model:3401-95|Weight:305 lbs. / 138 kgs.|Dimensions Overall:in: 48 x 24 x 37-3/4  mm: 1219 x 610 x 959  * handle adds 6"" to width|Colors:Durable, textured, gray powder coat finish|Drawer Dimensions:(4) in: 20-7/16 x 14-11/16 x 5-7/8"
2887100,3405-95,Stationary Workstation with 5 Drawers,"Model:3405-95|Weight:279 lbs. / 127 kgs.|Dimensions Overall:in: 48 x 24 x 36-1/4   mm: 1219 x 610 x 921  *width does not include 12"" vice grip shelf. (Vice not included)|Colors:Durable, textured, gray powder coat finish|No of Drawers:5|Drawer Dimensions:in:(4) 24-7/8 x 19-5/16 x 4   in:(1) 24-7/8 x 19-5/16 x 6 "
2887108,3500-95,14 Gauge Cabinet with,"Model:3500-95|Weight:397 lbs. / 180 kgs.|Shelves:3 Adjustable|Dimensions Overall:in: 36 x 24 x 84   mm: 915 x 610 x 2134|Colors:Durable, textured, gray powder coat finish"
2887104,349-95,40 Opening BIn ,Model:349-95|Weight:40 lbs | 18 kgs|Dimensions Overall:in: 33-3/4 x 8-1/2 x 22-1/4 mm: 858 x 216 x 565|Bins:40|Dimensions Bins:in: 4 x 8 3/8 x 4 1/2  mm: 102 x 213 x 114|Carton Pk:1|Material:Prime Cold Rolled Steel-Interlocking and Welded Construction|Colors:Durable gray powder coat finish  
2887044,2603-4S-95,,"Model:2603-4S-95|Weight:309 lbs. / 140 kgs.|Shelves:4|Capacity:700 lbs. / 318 kgs. per shelf|Dimensions Overall:36""W x 18""D x 84""H = 914mm x 457mm x 2133mm|Colors:Durable, textured, gray powder coat finish"
2887112,3501524RDR-5295,"36"" Wide Cabinet with 52 Bins, 1 Shelf, 12 Door Shelves & 4 Drawers ","Model:3501524RDR-5295|Weight:482 lbs. / 219 kgs.|Drawers:4|Shelves:2 - Shelves (1 Adjustable)  12 - Door Shelves|Capacity:Shelf Capacity: 700 lbs. / 318 kgs.|Dimensions Overall:in: 36 x 24 x 72   mm: 915 x 610 x 1829|Bins:52|Material:14 Gauge|Colors:Durable, textured, gray powder coat finish"
2887116,3501584RDR-95,"36"" Wide Cabinet with 58 Bins, 1 Shelf, 12 Door Shelves & 4 Drawers ","Model:3501584RDR-95|Weight:486 lbs. / 221 kgs.|Drawers:4|Shelves:2 - Shelves (1 Adjustable)  12 - Door Shelves|Capacity:Shelf Capacity: 700 lbs. / 318 kgs.|Dimensions Overall:in: 36 x 24 x 72   mm: 915 x 610 x 1829|Bins:58|Material:14 Gauge|Colors:Durable, textured, gray powder coat finish"
2887052,2SPT-2448-2-2K-95,"All welded, heavy duty 14 gauge steel stock truck with phenolic casters, (2) swivel and (2) rigid and 2 shelves, tubular handle allows easy mobility. Ships fully assembled and ready for use. ","Model:2SPT-2448-2-2K-95|Weight:166 lbs. / 75 kgs.|Capacity:2,000 lbs. / 908 kgs.|Dimensions Overall:in: 48 x 24 x 57  mm: 1219 x 610 x 1448|Colors:Durable, gray, textured powder coat finish"
2887136,3501M-BLP-12-2S-1795,Mobile Cabinet with Hook-On Bins and Shelves,"Model:3501M-BLP-12-2S-1795|Weight:456 lbs. / 207 kgs.|Shelves:2|Capacity:Overall Capacity of 3,600 lbs. / 1633 kgs  Shelf Capacity of 700 lbs. / 318 kgs|Dimensions Overall:in: 36 x 24 x 80  mm: 915 x 610 x 2032|Material:14 Gauge All Welded Steel|Colors:Durable, textured, gray powder coat finish|No of Bins:in:  (12) 8 x 15 x 7"
2887148,3502-186-95,,Model:3502-186-95|Weight:416 lbs. / 189 kgs.|Dimensions Overall:in: 48 x 24 x 72  mm: 1219 x 610 x 1829|Bins:186|Dimensions Bins:in:  (48) 4-3/16 x 5-7/16 x 3  (96) 4-3/16 x 7-7/16 x 3  (24) 5-1/2 x 11-3/8 x 5  (12) 8-1/4 x 14-5/8 x 7  (6) 16-3/4 x 14-5/8 x 7
2887140,3501M-BLP-30-5295,Mobile Cabinet with Hook-On Bins ,"Model:3501M-BLP-30-5295|Weight:446 lbs. / 202 kgs.|Dimensions Overall:in: 36 x 24 x 80  mm: 915 x 610 x 2032|Material:14 Gauge Mobile Cabinet Bins|Colors:Durable, textured, gray powder coat finish|No of Bins:in:   (12) 6 x 11 x 5   (12) 8 x 15 x 7   (6) 16 x 15 x 7"
2887144,3502-138-3S-5295,,Model:3502-138-3S-5295|Weight:416 lbs. / 189 kgs.|Shelves:(3) Adjustable|Dimensions Overall:in: 48 x 24 x 72   mm: 1219 x 610 x 1829|Bins:138|Dimensions Bins:in:  (48) 4 x 5 x 3  (72) 4 x 7 x 3  (12) 8 x 15 x 7  (6) 16 x 15 x 7
2887132,3501-DLP-PB-96-2S-1795,"36 Wide 5-S Storage Cabinet with Steel Pegboard, 96 Bins and 2 Adjustable Shelves","Model:3501-DLP-PB-96-2S-1795|Weight:431 lbs. / 196 kgs.|Drawers:N/A|Shelves:2|Capacity:900 lbs. / 408 kgs. per shelf|Dimensions Overall:in: 36 x 24 x 72  mm: 915 x 610 x 1829|Bins:96|Dimensions Bins:in: 4 x 5 x 3 |Material:14 Gauge All Welded Steel|Colors:Durable, textured, gray powder coat finish|No of Drawers:N/A|Drawer Dimensions:N/A"
2887120,3501-BDLP-102-3S-95,,Model:3501-BDLP-102-3S-95|Weight:468 lbs. / 212 kgs.|Shelves:(3) Adjustable|Dimensions Overall:in: 36 x 24 x 72   mm: 915 x 610 x 1829|Bins:102|Dimensions Bins:(48)   in: 4 x 5 x 3   (48)   in: 4 x 7 x 3   (6)   in: 16 x 15 x 7
2887152,3502M-BLP-18-2S-5295,Mobile Cabinet with Hook-On Bins and Shelves,"Model:3502M-BLP-18-2S-5295|Weight:514 lbs. / 233 kgs.|Shelves:2|Capacity:Overall Capacity of 3,600 lbs. / 1633 kgs  Shelf Capacity of 700 lbs. / 318 kgs|Dimensions Overall:in: 48 x 24 x 80  mm: 1219 x 610 x 2032|Material:14 Gauge All Welded Steel|Colors:Durable, textured, gray powder coat finish|No of Bins:in:  (12) 8 x 15 x 7  (6) 16 x 15 x 7"
2887156,3502M-BLP-42-95,Mobile Cabinet with Hook-On Bins ,"Model:3502M-BLP-42-95|Weight:504 lbs. / 229 kgs.|Dimensions Overall:in: 48 x 24 x 80  mm: 1219 x 610 x 2032|Material:14 Gauge Mobile Cabinet Bins|Colors:Durable, textured, gray powder coat finish|No of Bins:in:  (24) 6 x 11 x 5   (12) 8 x 15 x 7   (6) 16 x 15 x 7"
2887168,3601-95,14 Gauge Cabinet with,"Model:3601-95|Weight:289 lbs. / 131 kgs.|Shelves:3 Adjustable|Dimensions Overall:in: 36 x 18 x 60   mm: 915 x 457 x 1524|Colors:Durable, textured, gray powder coat finish"
2887177,3602-BLP-95,,Model:3602-BLP-95|Weight:361 lbs. /164 kgs|Dimensions Overall:in: 36 x 18 x 72   mm: 915 x 457 x 1829
2887160,351-95,,"Model:351-95|Weight:46 lbs. / 21 kgs.|Bins:20|Dimensions Bins:8"" x 11 7/8"" x 8 1/2"" = 203mm x 302mm x 216mm|Material:Prime Cold Rolled Steel-Interlocking and Welded Construction|Colors:Durable, gray powder coat finish|Depth:12 in | 304 mm|Height:42 in | 1066 mm|Width:33 3/4 in | 857 mm"
2887164,357-95,,"Model:357-95|Weight:35 lbs. / 16 kgs.|Bins:32|Dimensions Bins:4"" x 11 7/8"" x 4 1/2"" = 102mm x 302mm x 114mm|Material:Prime Cold Rolled Steel-Interlocking and Welded Construction|Colors:Durable, gray powder coat finish|Depth:12 in | 304 mm|Height:19 1/4 in | 488 mm|Width:33 3/4 in | 857 mm"
2887181,3603-95,14 Gauge Cabinet with,"Model:3603-95|Weight:376 lbs. / 171 kgs.|Shelves:4 Adjustable|Dimensions Overall:in: 36 x 18 x 84   mm: 915 x 457 x 2134|Colors:Durable, textured, gray powder coat finish"
2887193,367-95,Threaded Rod Rack,Model:367-95|Weight:16 lbs. / 7 kgs.|Carton Pk:1|Material:All Welded Prime Cold Rolled Steel|Colors:Gray Powder Coated Finish and Rust and Acid Resistant.|Depth:in: 6-7/8   mm: 175 |Height:in: 24   mm: 610|Width:in: 24-1/8  mm: 613 
2887185,363-95,,"Model:363-95|Weight:69 lbs. / 31 kgs.|Bins:72|Dimensions Bins:4"" x 11 7/8"" x 4 1/2"" = 102mm x 302mm x 114mm|Material:Prime Cold Rolled Steel-Interlocking and Welded Construction|Colors:Durable, gray powder coat finish|Depth:12 in | 304 mm|Height:42 in | 1066 mm|Width:33 3/4 in | 857 mm"
2887189,364-95,"Base for 12""(305mm) Deep Parts Bins","Model:364-95|Weight:13 lbs/5.90 kgs|Dimensions Overall:33 3/4""W x 12 1/4""D x 5 3/4""H = 857mm x 311mm x 146mm|Material:Steel"
2887197,3701-3S-95,14 Gauge Cabinet with,"Model:3701-3S-95|Weight:347 lbs. / 157 kgs.|Shelves:3 Adjustable|Dimensions Overall:in: 36 x 24 x 60   mm: 915 x 610 x 1524|Colors:Durable, textured, gray powder coat finish"
2887172,3602-BLP-14-2S-95,,Model:3602-BLP-14-2S-95|Weight:417 lbs. / 189 kgs. |Shelves:(2) Adjustable|Dimensions Overall:in: 36 x 18 x 72   mm: 915 x 457 x 1829|Bins:14|Dimensions Bins:(12)   in: 8 x 15 x 7   (2)   in: 16 x 15 x 7 
2887205,3702CX-BLP4S-95,Heavy Duty Access Control Cabinet with Electronic Lock and Audit Trail Software. ,"Model:3702CX-BLP4S-95|Weight:426 lbs. / 193 kgs.|Shelves:4|Capacity:1900 lbs. / 862 kgs.|Dimensions Overall:in: 36 x 24 x 78    mm: 915 x 610 x 1981|Colors:Durable, textured, gray powder coat finish"
2887209,3702CXC-BLP4S-95,Heavy Duty Access Control Cabinet with Electronic Lock and Audit Trail Software. ,"Model:3702CXC-BLP4S-95|Weight:426 lbs. / 193 kgs.|Shelves:4|Capacity:1900 lbs. / 862 kgs.|Dimensions Overall:in: 36 x 24 x 78  mm: 915 x 610 x 1981|Colors:Durable, textured, gray powder coat finish"
2887201,3702-16-3S-1795,,Model:3702-16-3S-1795|Weight:443 lbs. / 201 kgs. |Shelves:(3) Adjustable|Dimensions Overall:in: 36 x 24 x 78   mm: 915 x 610 x 1981|Bins:16|Dimensions Bins:(16)   in: 8 x 15 x 7 
2887217,3704CX-BLP4S-95,Heavy Duty Access Control Cabinet with Electronic Lock and Audit Trail Software. ,"Model:3704CX-BLP4S-95|Weight:650 lbs. / 295 kgs.|Shelves:4|Capacity:1650 lbs. / 749 kgs.|Dimensions Overall:in: 60 x 24 x 78  mm: 1524 x 610 x 1981|Colors:Durable, textured, gray powder coat finish"
2887213,3703CXC-42B-5295,Access Control Cabinet with Audit Trail - Hook-On Bins Included,Model:3703CXC-42B-5295|Weight:472 lbs.  214.1 kgs.|Dimensions Overall:in: 48 x 24 x 78  mm: 1219.2 x 609.6 x 1219.2|Bins:in:   (24) 5-1/2 x 11-3/8 x 5  (12) 8-1/4 x 14-5/8 x 7  (6) 16-3/4 x 14-5/8 x 7|Material:Heavy duty all welded 14 gauge steel construction 
2887225,379-95,"Bin Topper - Fits Models: 329, 330, 351, 353, 354, 356, 357, 359, 360, 361, 363, 396, 397, 398, 399, 725, 730, 735, 740, 745.",Model:379-95|Weight:10 lbs. / 5 kgs.|Dimensions Overall:in: 33-3/4 x 12 x 8-5/8  mm: 857 x 305 x 219|Material:Steel
2887221,3704CXC-BLP4S-95,Heavy Duty Access Control Cabinet with Electronic Lock and Audit Trail Software. ,"Model:3704CXC-BLP4S-95|Weight:650 lbs. / 295 kgs.|Shelves:4|Capacity:1650 lbs. / 749 kgs.|Dimensions Overall:in: 60 x 24 x 78  mm: 1524 x 610 x 1981|Colors:Durable, textured, gray powder coat finish"
2887233,3950-3S-95,* Features space-saving bi-folding doors ,"Model:3950-3S-95|Weight:294 lbs. / 133 kgs.|Shelves:3|Capacity:900 lbs. / 408 kgs. per shelf|Dimensions Overall:in: 36 x 18 x 72  mm: 915 x 457 x 1829|Material:14 Gauge Steel|Colors:Durable, textured, gray powder coat finish"
2887245,3SLT-2436-2K-95,3 Sided Low Deck Stock Truck,"Model:3SLT-2436-2K-95|Weight:142 lbs. / 65 kgs.|Dimensions Overall:in: 36 x 24 x 41-1/4  mm: 915 x 610 x 1048|Colors:Durable, textured, gray powder coat finish"
2887229,384-95,2 Rod Rack,Model:384-95 |Weight:12 lbs. / 6 kgs.|Carton Pk:1|Material:All Welded Cold Rolled Steel|Colors:Gray Powder Coated Finish|Depth:in: 5-7/8  mm: 149|Height:in: 21-1/2  mm: 546|Width:in: 26-1/8   mm: 664
2887241,399-95,,"Model:399-95|Weight:59 lbs. / 27 kgs.|Bins:48|Dimensions Bins:40 - 4"" x 11-7/8"" x 4-1/2"" = 102mm x 302mm x 114mm  8 - 8"" x 11-7/8"" x 7-3/4"" = 203mm x 302mm x 197mm|Material:Prime Cold Rolled Steel-Interlocking and Welded Construction|Colors:Durable, gray powder coat finish|Depth:12 in | 304 mm|Height:42 in | 1066 mm|Width:33 3/4 in | 857 mm"
2887249,3SLT-3048-2K-95,3 Sided Low Deck Stock Truck,"Model:3SLT-3048-2K-95|Weight:169 lbs. / 77 kgs.|Dimensions Overall:in: 48 x 30 x 41-1/4  mm: 1219 x 762 x 1048|Colors:Durable, textured, gray powder coat finish"
2887257,3ST-EX3060-2AS-95,3 Sided Mesh Stock Truck,"Model:3ST-EX3060-2AS-95|Weight:228 lbs. / 104 kgs.|Shelves:2|Capacity:2,000 lbs. / 907 kgs.|Dimensions Overall:in: *60-1/2 x 30-3/8 x 56-7/16  mm: 1537 x 772 x 1434  *handle add 6"" to width|Colors:Durable, textured, gray powder coat finish"
2887261,3ST-EX3660-2AS-95,3 Sided Mesh Stock Truck,"Model:3ST-EX3660-2AS-95|Weight:256 lbs. / 116 kgs.|Shelves:2|Capacity:2,000 lbs. / 907 kgs.|Dimensions Overall:in: *60-1/2 x 36-3/8 x 56-7/16  mm: 1537 x 924 x 1434  *handle add 6"" to width|Colors:Durable, textured, gray powder coat finish"
2887277,401-55,23 Pocket ,Model:401-55|Weight:28 lbs. / 13 kgs.|Dimensions Overall:in: 9-3/4 x 4-1/8 x 65-1/2  mm: 248 x 105 x 1664|Carton Pk:1|Material:Prime cold rolled steel has a powder coated finish that is rust and acid resistant|Colors:Burgundy
2887265,3ST-EX3672-2AS-95,3 Sided Mesh Stock Truck,"Model:3ST-EX3672-2AS-95|Weight:383 lbs. / 174 kgs.|Shelves:2|Capacity:2,000 lbs. / 907 kgs.|Dimensions Overall:in: *72-1/2 x 36-3/8 x 56-7/16  mm: 1842 x 924 x 1434  *handle add 6"" to width|Colors:Durable, textured, gray powder coat finish"
2887253,3ST-EX3048-2AS-95,3 Sided Mesh Stock Truck,"Model:3ST-EX3048-2AS-95|Weight:174 lbs. / 79 kgs.|Shelves:2|Capacity:2,000 lbs. / 907 kgs.|Dimensions Overall:in: *48-1/2 x 30-3/8 x 56-7/16  mm: 1232 x 772 x 1434  *handle add 6"" to width|Colors:Durable, textured, gray powder coat finish"
2887269,400-10,20 Pocket ,Model:400-10|Weight:24 lbs. / 11 kgs.|Dimensions Overall:in: 9-3/4 x 4-1/8 x 58  mm: 248 x 105 x 1473|Carton Pk:1|Material:Prime cold rolled steel has a powder coated finish that is rust and acid resistant|Colors:Blue
